Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFI97_RS17600, 9468.7, 28, 7.25, 2.21, 8.41616
FFI97_RS05880, 2890.7, 27, 2.21, 6.97, 19.6419
FFI97_RS06455, 3005.7, 27, 2.30, 6.70, 19.2212
FFI97_RS16390, 2139.0, 24, 1.64, 8.37, 19.3284
FFI97_RS17565, 2163.3, 23, 1.66, 7.93, 18.0561
FFI97_RS08735, 2683.3, 21, 2.06, 5.84, 13.9877
FFI97_RS24550, 1554.7, 21, 1.19, 10.08, 18.6083
FFI97_RS33040, 2101.0, 21, 1.61, 7.46, 16.0347
FFI97_RS24535, 1249.3, 20, 0.96, 11.94, 19.1634
FFI97_RS33090, 1444.3, 20, 1.11, 10.33, 17.9653
FFI97_RS33335, 1613.3, 20, 1.24, 9.25, 17.0575
FFI97_RS04635, 969.7, 19, 0.74, 14.62, 19.8451
FFI97_RS08135, 1283.7, 19, 0.98, 11.04, 17.6294
FFI97_RS13275, 1794.0, 19, 1.37, 7.90, 15.0282
FFI97_RS30440, 1132.7, 19, 0.87, 12.51, 18.6144
FFI97_RS07240, 1323.0, 18, 1.01, 10.15, 16.1186
FFI97_RS31815, 1286.7, 18, 0.99, 10.44, 16.3248
FFI97_RS04850, 1855.3, 17, 1.42, 6.84, 12.5377
FFI97_RS06160, 1236.3, 17, 0.95, 10.26, 15.3408
FFI97_RS08180, 1052.3, 17, 0.81, 12.05, 16.4728
FFI97_RS12575, 1087.3, 17, 0.83, 11.66, 16.2422
FFI97_RS13940, 771.0, 17, 0.59, 16.45, 18.6813
FFI97_RS14905, 1531.3, 17, 1.17, 8.28, 13.8533
FFI97_RS15215, 1940.0, 17, 1.49, 6.54, 12.2347
FFI97_RS17825, 1382.3, 17, 1.06, 9.17, 14.5624
FFI97_RS27495, 1150.7, 17, 0.88, 11.02, 15.8441
FFI97_RS11765, 939.0, 16, 0.72, 12.71, 15.904
FFI97_RS21320, 700.0, 16, 0.54, 17.05, 17.8704
FFI97_RS23385, 1056.7, 16, 0.81, 11.30, 15.1204
FFI97_RS29695, 1319.7, 16, 1.01, 9.05, 13.658
FFI97_RS31855, 1051.0, 16, 0.81, 11.36, 15.156
FFI97_RS01840, 903.3, 15, 0.69, 12.39, 14.7967
FFI97_RS02065, 806.7, 15, 0.62, 13.87, 15.504
FFI97_RS08185, 934.7, 15, 0.72, 11.97, 14.5844
FFI97_RS09230, 896.7, 15, 0.69, 12.48, 14.8429
FFI97_RS12320, 1022.3, 15, 0.78, 10.95, 14.0276
FFI97_RS21530, 4310.3, 15, 3.30, 2.60, 5.67059
FFI97_RS26170, 792.3, 15, 0.61, 14.12, 15.6163
FFI97_RS30420, 1151.0, 15, 0.88, 9.72, 13.2953
FFI97_RS30615, 1128.7, 15, 0.86, 9.92, 13.416
