Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFH21_RS29455, 4892.3, 11, 0.18, 1.64, 15.8883
FFH21_RS13950, 1211.3, 9, 0.04, 5.41, 17.7554
FFH21_RS20785, 1159.0, 9, 0.04, 5.66, 17.9273
FFH21_RS22410, 2449.3, 9, 0.09, 2.68, 15.0211
FFH21_RS15755, 945.7, 6, 0.03, 4.62, 11.6343
FFH21_RS23160, 946.3, 4, 0.03, 3.08, 7.23372
FFH21_RS28440, 939.0, 4, 0.03, 3.10, 7.24714
FFH21_RS08410, 2559.3, 3, 0.09, 0.85, 3.89346
FFH21_RS19075, 752.3, 3, 0.03, 2.90, 5.46713
FFH21_RS19980, 976.3, 3, 0.04, 2.24, 5.13023
FFH21_RS22490, 1418.0, 3, 0.05, 1.54, 4.64925
FFH21_RS24600, 1620.7, 3, 0.06, 1.35, 4.47761
FFH21_RS10380, 850.7, 2, 0.03, 1.71, 3.32334
FFH21_RS10825, 184.3, 2, 0.01, 7.90, 4.6446
