Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFG40_RS12710, 3379.0, 9, 0.18, 1.89, 12.2803
FFG40_RS04740, 399.0, 8, 0.02, 14.24, 17.9468
FFG40_RS10615, 609.0, 6, 0.03, 7.00, 11.7674
FFG40_RS02640, 647.7, 5, 0.03, 5.48, 9.37305
FFG40_RS11890, 482.3, 5, 0.03, 7.36, 10.0098
FFG40_RS15170, 1057.0, 5, 0.06, 3.36, 8.31742
FFG40_RS05780, 317.0, 4, 0.02, 8.96, 8.4523
FFG40_RS12200, 617.7, 4, 0.03, 4.60, 7.29915
FFG40_RS14065, 878.7, 4, 0.05, 3.23, 6.69176
FFG40_RS01105, 590.3, 3, 0.03, 3.61, 5.27802
FFG40_RS02180, 1066.7, 3, 0.06, 2.00, 4.51558
FFG40_RS12750, 296.3, 2, 0.02, 4.79, 3.89729
FFG40_RS12935, 268.7, 2, 0.01, 5.29, 3.98199
