Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFI11_RS02040, 1227.7, 6, 0.11, 3.65, 8.75442
FFI11_RS14070, 480.7, 6, 0.04, 9.33, 11.1739
FFI11_RS16490, 1078.7, 6, 0.09, 4.16, 9.08682
FFI11_RS12805, 597.0, 5, 0.05, 6.26, 8.5448
FFI11_RS08315, 396.0, 4, 0.03, 7.55, 7.26279
FFI11_RS17015, 287.3, 4, 0.02, 10.41, 7.81678
FFI11_RS18785, 2739.0, 4, 0.24, 1.09, 3.97291
FFI11_RS00675, 558.0, 3, 0.05, 4.02, 4.75001
FFI11_RS02750, 757.7, 3, 0.07, 2.96, 4.35706
FFI11_RS05640, 405.0, 3, 0.03, 5.54, 5.16327
FFI11_RS08360, 617.3, 3, 0.05, 3.63, 4.62001
FFI11_RS06730, 396.0, 2, 0.03, 3.78, 3.24625
