Gene,Length,Observed,Expected,Multiplicity,-log10(P)
FFI87_RS31035, 7805.0, 9, 0.10, 0.84, 14.4476
FFI87_RS02870, 501.3, 4, 0.01, 5.81, 10.0836
FFI87_RS19040, 5070.0, 4, 0.07, 0.57, 6.08521
FFI87_RS13180, 1567.0, 3, 0.02, 1.39, 5.82593
FFI87_RS15555, 671.0, 3, 0.01, 3.26, 6.92708
FFI87_RS29810, 870.7, 3, 0.01, 2.51, 6.58856
FFI87_RS01070, 867.0, 2, 0.01, 1.68, 4.17913
FFI87_RS04970, 1298.7, 2, 0.02, 1.12, 3.82983
FFI87_RS08125, 733.0, 2, 0.01, 1.99, 4.32444
FFI87_RS12125, 1138.7, 2, 0.02, 1.28, 3.94342
FFI87_RS15990, 446.7, 2, 0.01, 3.26, 4.75358
FFI87_RS20345, 1060.0, 2, 0.01, 1.37, 4.0053
FFI87_RS27320, 677.3, 2, 0.01, 2.15, 4.39283
FFI87_RS31080, 911.3, 2, 0.01, 1.60, 4.13598
