Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI97_RS17600, 9468.7, 12, 0.41, 0.95, 13.5461
FFI97_RS01795, 1024.7, 9, 0.04, 6.55, 17.7958
FFI97_RS11710, 1990.0, 9, 0.09, 3.37, 15.2175
FFI97_RS06055, 1189.0, 8, 0.05, 5.02, 14.9696
FFI97_RS08250, 967.7, 8, 0.04, 6.17, 15.6816
FFI97_RS10305, 1167.0, 8, 0.05, 5.11, 15.0342
FFI97_RS31825, 570.3, 8, 0.02, 10.46, 17.5118
FFI97_RS21660, 1278.3, 7, 0.05, 4.09, 12.5544
FFI97_RS18535, 724.3, 6, 0.03, 6.18, 11.9187
FFI97_RS21655, 1230.7, 6, 0.05, 3.64, 10.5455
FFI97_RS12175, 1809.3, 5, 0.08, 2.06, 7.6608
FFI97_RS25860, 774.0, 5, 0.03, 4.82, 9.48867
FFI97_RS14670, 602.3, 4, 0.03, 4.95, 7.74278
FFI97_RS17720, 978.7, 4, 0.04, 3.05, 6.90518
FFI97_RS22005, 650.3, 4, 0.03, 4.59, 7.6103
FFI97_RS25450, 6136.3, 4, 0.26, 0.49, 3.79244
FFI97_RS29695, 1319.7, 4, 0.06, 2.26, 6.39093
FFI97_RS11765, 939.0, 3, 0.04, 2.38, 4.97796
FFI97_RS24705, 733.7, 3, 0.03, 3.05, 5.2966
FFI97_RS32730, 914.3, 3, 0.04, 2.45, 5.0123
FFI97_RS33335, 1613.3, 3, 0.07, 1.39, 4.28216
FFI97_RS19970, 721.3, 2, 0.03, 2.07, 3.33017
