Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI16_RS04070, 2129.0, 14, 0.32, 4.99, 41.3178
FFI16_RS03895, 3185.3, 13, 0.48, 3.10, 32.4575
FFI16_RS17690, 1215.7, 13, 0.18, 8.12, 44.703
FFI16_RS13240, 1691.0, 12, 0.26, 5.39, 36.5524
FFI16_RS14710, 3708.3, 12, 0.56, 2.46, 27.4111
FFI16_RS22905, 800.0, 12, 0.12, 11.39, 45.4094
FFI16_RS05250, 2453.7, 11, 0.37, 3.40, 28.716
FFI16_RS13595, 1148.3, 11, 0.17, 7.27, 36.8869
FFI16_RS23195, 567.0, 11, 0.09, 14.73, 44.5689
FFI16_RS26755, 2047.0, 11, 0.31, 4.08, 30.6529
FFI16_RS27275, 1304.7, 11, 0.20, 6.40, 35.5046
FFI16_RS00680, 1865.7, 10, 0.28, 4.07, 27.9856
FFI16_RS05365, 1485.0, 10, 0.23, 5.11, 30.2152
FFI16_RS07295, 1044.0, 10, 0.16, 7.27, 33.6781
FFI16_RS28080, 748.3, 10, 0.11, 10.14, 36.967
FFI16_RS28895, 1043.0, 10, 0.16, 7.28, 33.6875
FFI16_RS00785, 1164.0, 9, 0.18, 5.87, 28.5682
FFI16_RS03915, 900.0, 9, 0.14, 7.59, 30.8472
FFI16_RS05835, 723.7, 9, 0.11, 9.44, 32.7857
FFI16_RS00515, 948.3, 8, 0.14, 6.40, 26.2451
FFI16_RS04395, 1159.3, 8, 0.18, 5.24, 24.6663
FFI16_RS04600, 760.3, 7, 0.12, 6.99, 23.7462
FFI16_RS06405, 1289.0, 7, 0.20, 4.12, 20.1212
FFI16_RS06445, 1206.7, 7, 0.18, 4.40, 20.5723
FFI16_RS10380, 1445.0, 7, 0.22, 3.68, 19.3421
FFI16_RS20320, 714.3, 7, 0.11, 7.44, 24.177
FFI16_RS20935, 2078.0, 7, 0.32, 2.56, 16.8828
FFI16_RS21830, 534.0, 7, 0.08, 9.95, 26.1898
FFI16_RS26450, 977.0, 7, 0.15, 5.44, 22.0198
FFI16_RS27180, 555.3, 7, 0.08, 9.57, 25.9184
FFI16_RS28600, 881.3, 7, 0.13, 6.03, 22.7285
FFI16_RS28705, 2033.7, 7, 0.31, 2.61, 17.0279
FFI16_RS00325, 1638.0, 6, 0.25, 2.78, 15.1471
FFI16_RS06465, 1293.0, 6, 0.20, 3.52, 16.5215
FFI16_RS07420, 1078.0, 6, 0.16, 4.23, 17.5848
FFI16_RS09820, 1704.7, 6, 0.26, 2.67, 14.9164
FFI16_RS12625, 1260.7, 6, 0.19, 3.61, 16.6692
FFI16_RS17805, 1308.0, 6, 0.20, 3.48, 16.4542
FFI16_RS18915, 748.0, 6, 0.11, 6.09, 19.7347
FFI16_RS19450, 991.3, 6, 0.15, 4.59, 18.0764
FFI16_RS19455, 1239.7, 6, 0.19, 3.67, 16.7673
FFI16_RS22255, 1237.0, 6, 0.19, 3.68, 16.7799
FFI16_RS25105, 1442.7, 6, 0.22, 3.16, 15.8837
FFI16_RS25730, 1644.0, 6, 0.25, 2.77, 15.1259
FFI16_RS04950, 1178.3, 5, 0.18, 3.22, 13.5458
FFI16_RS07300, 2150.3, 5, 0.33, 1.77, 10.6603
FFI16_RS09775, 1019.0, 5, 0.15, 3.73, 14.2521
FFI16_RS11335, 1143.3, 5, 0.17, 3.32, 13.6922
FFI16_RS21545, 326.0, 5, 0.05, 11.64, 19.8632
FFI16_RS24995, 1956.7, 5, 0.30, 1.94, 11.1079
FFI16_RS27465, 1240.0, 5, 0.19, 3.06, 13.2985
FFI16_RS27875, 566.0, 5, 0.09, 6.71, 17.135
FFI16_RS28595, 1724.0, 5, 0.26, 2.20, 11.7117
FFI16_RS03900, 276.0, 4, 0.04, 11.00, 15.9051
FFI16_RS06585, 1052.3, 4, 0.16, 2.89, 10.6455
FFI16_RS10215, 557.3, 4, 0.08, 5.45, 13.1281
FFI16_RS11100, 1019.3, 4, 0.15, 2.98, 10.769
FFI16_RS11425, 853.0, 4, 0.13, 3.56, 11.4615
FFI16_RS17940, 930.7, 4, 0.14, 3.26, 11.1223
FFI16_RS23560, 1376.7, 4, 0.21, 2.21, 9.61
FFI16_RS00310, 588.7, 3, 0.09, 3.87, 9.10637
FFI16_RS04060, 1114.7, 3, 0.17, 2.04, 7.25047
FFI16_RS04970, 1539.7, 3, 0.23, 1.48, 6.32928
FFI16_RS05345, 444.0, 3, 0.07, 5.13, 9.93609
FFI16_RS05720, 1031.3, 3, 0.16, 2.21, 7.47417
FFI16_RS07000, 2109.0, 3, 0.32, 1.08, 5.44919
FFI16_RS12100, 1470.3, 3, 0.22, 1.55, 6.45972
FFI16_RS12400, 982.3, 3, 0.15, 2.32, 7.61467
FFI16_RS19870, 923.3, 3, 0.14, 2.47, 7.79383
FFI16_RS25510, 1050.0, 3, 0.16, 2.17, 7.42247
FFI16_RS29550, 975.7, 3, 0.15, 2.33, 7.63435
FFI16_RS29695, 587.0, 3, 0.09, 3.88, 9.11469
FFI16_RS29935, 1068.0, 3, 0.16, 2.13, 7.3735
