Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFG40_RS05485, 357.3, 23, 0.02, 45.70, 135.777
FFG40_RS07700, 1239.0, 21, 0.08, 12.03, 96.0074
FFG40_RS14620, 547.3, 17, 0.04, 22.05, 87.9876
FFG40_RS12710, 3379.0, 13, 0.22, 2.73, 42.5173
FFG40_RS02330, 2290.3, 12, 0.15, 3.72, 43.0326
FFG40_RS04740, 399.0, 11, 0.03, 19.58, 55.6246
FFG40_RS00855, 528.0, 10, 0.03, 13.45, 46.8241
FFG40_RS10615, 609.0, 6, 0.04, 7.00, 26.0151
FFG40_RS05780, 317.0, 5, 0.02, 11.20, 24.2376
FFG40_RS05345, 1617.0, 4, 0.10, 1.76, 12.2903
FFG40_RS10545, 857.3, 3, 0.06, 2.48, 10.5083
FFG40_RS14615, 782.7, 3, 0.05, 2.72, 10.7781
