weight.g	max.long.yr
	0.3
	8
	28
	0.5
	100
9325	67
	100
70000	152
63250	46
202400	60
8800	46.1
104500	60
44000	27
220000	100
448800	104
550000	55
1.14E+06	118
27.775	6
49885	55
5362.5	30
3629.45	88
4100	32
	20
13000	60
11275	40
412.5	20
11000	15
8965	41
4031.5	50
	4
	9
	11
	2
	8
	2
	3
	2
	7
	5
330	10
	2
	23
3850	149
	
165	5
1100	5
15400	8
1.1	3
	18
13750	28
3410	7.5
2200	5
110	8
825	25
	4
2200	10
65	7
935	4
330	10
	6
	7
110	8
3025	13
	8
	22
	19
	5
1089	6
	4
	
	6
	3
	11
	15
125.95	7
	7
110	4
267.3	25
	6
	
	6
	4
	6
	3
	3
	7
	3
	7
2524.5	10
1617	11
	11
1800	20
1617	12
	15
	18
	10
	9
	9
	15
1496	41
	40
	13
	33
	18
	6
700	11
	5
20515	15
17545	20
15785	24
676.5	6
5940	10
750	8
3089	12
1250	10
2244	11
2194.5	9
	4
	5
	7
	21.7
3305.5	23
4950	11
	16.3
745.25	9
	6
	5
	41
825	15
	4
	3
	3
	6
	4
	5
24750	21
	4
	4
	2
	5
	3
10600	47
	5.5
	4
	2
	4
	8
	8
1980	9
24750	10
4310.35	12
	3
	2
4400	22
2200	29.8
550	16
	4
	5
	4
	3
	1
	3
	
	4
	4
	4
	5
	5
	9
	3
	3
	4
	4
	4
	3
	2
	2
	3
	
	5
	
	4
	4
	4
	3
	3
	5
	4
	3
	3
	3
	2
13.75	15
5500	40
1100	11
	3
	3
	13
	5
	2
	4
	6
	2
	12
	5
	4
	5
	5
	5
	5
2750	12
1012	14
1153.35	19
	8
	3.7
	3
	1
	1.1
	2.3
	0.8
	1.6
	1.2
	1.5
	2
	2
	5
	5
	3
	2
	3
	2
	2
	3
	5
	1
88550	55
9900	44
15620	30
17490	30
2337.5	9
201.3	8
	4
	7
16500	20
	3
605	12
	9
	3
12485	18
52800	25
	12
18700	20
9240	20
1700	20
456.5	20
16500	25
	20
1947	20
9955	8
17600	25
770	15
	5
	4
11550	23
	56
	73
929.5	54
	25
	19
825	25
	30
1265	12
	13
8250	20
654.5	15
	3
	2
	8
	5
	1
	4.7
	6
	5
	1
	3
7700	15
	3
	12.6
12430	30
	21
31735	24
	11
522.5	7
2475	25
1595	10
4400	16
	8
	1
	3
	8
13750	30
	38
	16
	35
	1
	5
	5
	10
	10
	7
	3
	3
	5
	6
	2
946	14
498.85	10
2915	6
4	29
	11.4
2530	6.5
	8
	10
	7
	8
68.75	8.7
440	7
5170	26
5775	9
	10
	4
	5
3300	9
6050	8
	7
2777.5	11
9955	49
	25
363	
	16
	25
	30
	8
824	18
792	6
308	5
467.25	8
529	9
1181.25	10
	6
434.5	6
121	7
	3
2975.5	26
2557	7
5527.5	23
1292.5	10
1496	15
33000	15
2200	15
	15
13365	7
110000	7.8
	10
	10
	18
	59
	50
	20
	10
	5
2590.5	13
	10
	8
621.5	11
2400	9
	5
1215.5	7
1595	7
1375	9
550	6
825	6
1375	7
165	7
	4
22000	4
	3
1100	9
	8
385	10
	7
	104
	15
8800	16
3300	10
	4
	4
	6
	4
	3
	1
	1
	0.16
	1
	5
	10
	2
	2
	7
	11
	4
	2
	2
	3
	2
	9
412.5	12
500	4
	9
55110	13
93500	28
	6
	8
	4
2392.5	29
	17
	7
	53
	9
6215	34
550	6
	3
	33
	24
	7
	15
	19
	27
5280	22
4620	27
	14
	15
8470	21
	40
8580	29
4785	18
6875	13
12540	57
	20
	8
	23
	18
	11
4350.5	31
3195.5	7.2
5500	18
	31
12650	13
17985	35
1941.5	10
	12
2238.5	14
4484.7	18
	30
1210	11
1743.5	10
687.5	12
3850	15
3168	13
16500	35
6600	15
1210	7
1537.25	9
6050	6
31350	30
550	10
	5
327.8	8
44000	31
	19
5500	16
110	20
	10
	2
62000	48
13200	20
	22
	3
	3
	3
	3
	2
	5
	3
	3
	3
	3
	3
	2
	3
	4
	2
	4
	3
	3
	3
	2
	4
	4
	4
	2
	4
	2
	2
	4
	4
	3
	4
	2
	3
	2
	4
	4
1055.25	12
2612.5	22
	4.5
	4
	3
	4
	4
	4
	3
	3
	6
	3
	4
	3
	4
	2
2000	18
11000	16
11000	29
	5
	9
24750	20
55000	60
140580	75
	13
	11
	15
	14.5
	11
	16
	5
7920	9
1144	9
37400	15
2200	14
	20
	13
	5
	20
13292.5	13
41250	30
22550	20
385	20
4356	18
	15
247.5	4
2145	8
	7
1419	5
28215	43
24750	50
	15
	5
7700	10
18975	12
	4
6050	5
1595	18
1870	17
38500	14
3239.5	5
3300	5
33165	13
	9
