strain rep decay evolvability N0
ATCC13985 1 0.00618319557011111 -3.49374562094033e-06 7.29520414535961
ATCC13985 2 0.0057214067185413 -3.10797735245548e-06 7.20351782779163
ATCC13985 3 0.0026840336613859 0 6.6806069277235
ATCC13985 4 0.00273347249227617 0 6.75237623782987
ATCC43928 1 0.0102467809207449 -7.64457304090179e-06 7.04600130139694
ATCC43928 2 0.0100166760353132 -7.1404090708057e-06 7.02449929446093
ATCC43928 3 0.00183798816330988 0 6.60611646502057
ATCC43928 4 0.00148322108719926 0 6.51875203815242
KBS0701 1 0.0136479313035577 -1.0445974295738e-05 6.03143754331742
KBS0701 2 0.0125242735461459 -9.55500695757263e-06 5.39759893095445
KBS0701 3 0.0320932667096616 -6.76386227058251e-05 6.63237911019651
KBS0701 4 0.0137763998502525 0 6.16108032445487
KBS0701 5 0.00338231569822935 0 4.6068546101411
KBS0701 6 0.0126168346522162 -1.00330106017145e-05 5.55830637961451
KBS0702 1 0.00664188691030813 -2.5834214926539e-06 7.50767744180145
KBS0702 2 0.00618641199358421 -2.68271952149985e-06 7.47374686295202
KBS0702 3 0.00249798151783202 0 7.06334860709164
KBS0702 5 0.00338291373299776 0 7.06080505413551
KBS0702 4 0.00252004808550403 0 6.92655870105922
KBS0702 6 0.00388918878667856 0 6.93443308719455
KBS0703 1 0.00462011679211174 -2.525243276403e-06 7.01765496998876
KBS0703 2 0.00467378447873198 -2.38540705670336e-06 7.12921235689203
KBS0703 3 0.00520095091082628 -3.29804129794222e-06 7.09077167242953
KBS0703 4 0.00492193529439502 -3.04823987506173e-06 7.04229529767421
KBS0703 6 0.0051563676090469 0 7.85143507975325
KBS0703 5 0.00601225111220296 0 7.67350513264122
KBS0704 5 0.533446792794094 0 7.77629556115936
KBS0704 6 1.11027638480999 -0.0403311518047883 8.00169808110838
KBS0704 8 0.530108567378023 0 7.72622188460952
KBS0704 9 0.372262581820124 0 6.20855636147363
KBS0704 10 0.402836030548992 0 6.45046663298911
