strain	rep	hist	active	dead	dormant
KBS0701	A	anc	0.775573466	5.64E-05	0.224370174
KBS0702	A	anc	0.513098754	0.126621292	0.360279954
KBS0703	A	anc	0.784445572	0.130677493	0.084876935
KBS0705	A	anc	0.797313797	0.028083028	0.174603175
KBS0706	A	anc	0.90306713	0.003761574	0.093171296
KBS0707	A	anc	0.410243902	0.353902439	0.235853659
KBS0710	A	anc	0.528115128	0.007300807	0.464584065
KBS0711	A	anc	0.089130435	0.000228833	0.910640732
KBS0711W	A	anc	0.793301014	0.097987366	0.10871162
KBS0712	A	anc	0.569720835	0.15638844	0.273890725
KBS0713	A	anc	0.814041234	0.009971702	0.175987064
KBS0714	A	anc	0.060483871	0.826612903	0.112903226
KBS0715	A	anc	0.026156002	0.451969485	0.521874513
KBS0721	A	anc	0.33315061	0.001781554	0.665067836
KBS0722	A	anc	0.236462797	0.614335801	0.149201402
KBS0724	A	anc	0.754830918	0.04468599	0.200483092
KBS0801	A	anc	0.262794098	0.214409145	0.486906819
KBS0802	A	anc	0.650675676	0.213738739	0.135585586
KBS0812	A	anc	0.045382166	0.258757962	0.695859873
ATCC13985	A	anc	0.549219688	0.334213685	0.116566627
ATCC43928	A	anc	0.541324921	0.355078864	0.103596215
KBS0701	A	der	0	0.047127469	0.952872531
KBS0701	B	der	0.001382488	0.05437788	0.944239631
KBS0701	E	der	0	0.015684908	0.984315092
KBS0701	F	der	0	0.022972599	0.977027401
KBS0702	A	der	0.003140265	0.58897418	0.407885555
KBS0702	B	der	0.002658691	0.659687604	0.337653706
KBS0702	C	der	0.000194326	0.617372717	0.382432958
KBS0702	D	der	0.001321877	0.457149152	0.541528971
KBS0702	E	der	0.004987531	0.262953727	0.732058742
KBS0702	F	der	0.00157679	0.275307474	0.723115736
KBS0703	A	der	0.006862745	0.606862745	0.38627451
KBS0703	B	der	0.002586653	0.529229177	0.46818417
KBS0703	C	der	0.001926782	0.66088632	0.337572254
KBS0703	D	der	0.005269321	0.611241218	0.383489461
KBS0703	E	der	0.001432665	0.2669532	0.731614136
KBS0703	F	der	0.001164144	0.069848661	0.928987194
KBS0705	B	der	0.000392157	0.11372549	0.885882353
KBS0705	C	der	0.002350176	0.089306698	0.908343126
KBS0705	D	der	0.002787734	0.332536838	0.664675428
KBS0706	A	der	0	0.757489301	0.242510699
KBS0706	B	der	0.001187648	0.629453682	0.368171021
KBS0706	C	der	0	0.38974359	0.61025641
KBS0706	D	der	0	0.430693069	0.569306931
KBS0707	A	der	0.000250564	0.134552744	0.865196693
KBS0707	B	der	0.000354988	0.104721335	0.894923678
KBS0707	C	der	0.001035912	0.110497238	0.888466851
KBS0707	D	der	0.000328299	0.084372948	0.915298752
KBS0710	A	der	0.002401537	0.146974063	0.8506244
KBS0710	B	der	0.004329004	0.207792208	0.787878788
KBS0710	C	der	0.003903709	0.34027326	0.655823032
KBS0710	D	der	0.001757028	0.261797189	0.736445783
KBS0711	A	der	0.00140779	0.044580009	0.954012201
KBS0711	B	der	0	0.04048583	0.95951417
KBS0711	C	der	0.000959693	0.056142035	0.942898273
KBS0711	K	der	0	0.130188679	0.869811321
KBS0711	L	der	0.001484781	0.062360802	0.936154417
KBS0711W	A	der	0.000728863	0.269193392	0.730077745
