Gene,mult,mult_syn,mean_freq,mean_freq_syn
B0M43_RS04885, 2.491336, 5.119004, 0.402120, 0.219561
B0M43_RS05565, 2.612002, 1.953913, 0.231843, 0.142666
B0M43_RS06395, 2.720628, 4.906962, 0.165723, 0.122588
B0M43_RS08420, 0.228677, 0.479377, 0.167981, 0.115380
B0M43_RS13040, 0.295396, 1.239562, 0.592667, 0.180712
B0M43_RS15585, 2.083946, 0.537415, 0.130075, 0.097920
B0M43_RS15775, 1.427437, 0.756946, 0.327673, 0.235634
B0M43_RS16475, 0.335069, 0.284544, 0.063653, 0.108129
B0M43_RS19000, 0.296569, 1.554105, 0.262995, 0.227180
B0M43_RS20625, 1.389085, 0.504823, 0.282202, 0.129993
B0M43_RS21085, 0.480218, 1.144196, 0.153547, 0.110808
B0M43_RS23080, 1.298920, 1.936104, 0.135903, 0.160423
