Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFH21_RS02335, 1.132738, 1.575327, 0.060984, 0.063156
FFH21_RS08030, 4.738455, 1.872384, 0.133701, 0.108576
FFH21_RS08410, 0.853758, 4.599518, 0.127726, 0.152856
FFH21_RS10380, 1.712423, 4.505275, 0.059967, 0.060130
FFH21_RS13950, 5.411519, 1.780747, 0.105120, 0.095478
FFH21_RS15755, 4.621187, 1.593229, 0.114357, 0.107648
FFH21_RS20400, 1.179833, 1.185158, 0.053685, 0.052910
FFH21_RS20785, 5.655870, 2.037851, 0.065331, 0.065694
FFH21_RS21095, 1.059676, 2.229001, 0.055745, 0.058036
FFH21_RS22410, 2.676301, 5.464865, 0.072570, 0.071352
FFH21_RS23160, 3.078621, 4.601887, 0.091500, 0.077727
FFH21_RS24600, 1.348242, 3.875719, 0.093020, 0.084984
FFH21_RS24975, 0.632249, 3.830714, 0.083093, 0.072138
FFH21_RS28440, 3.102664, 1.622733, 0.069165, 0.056656
FFH21_RS29455, 1.637635, 0.149727, 0.086346, 0.054287
