Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFI39_RS00015, 0.405260, 0.864331, 0.054429, 0.116445
FFI39_RS00230, 0.713178, 1.123461, 0.053684, 0.055177
FFI39_RS01065, 0.993105, 4.489439, 0.057114, 0.056550
FFI39_RS01420, 3.069067, 2.319771, 0.070694, 0.067706
FFI39_RS01565, 4.302225, 12.243924, 0.058771, 0.055543
FFI39_RS01655, 2.005390, 7.312936, 0.056691, 0.065160
FFI39_RS01665, 0.732670, 8.158650, 0.102482, 0.096311
FFI39_RS01730, 1.880697, 1.009530, 0.074441, 0.112739
FFI39_RS02905, 2.639112, 1.783188, 0.067526, 0.061110
FFI39_RS03105, 0.240725, 2.474723, 0.119044, 0.118989
FFI39_RS03280, 0.953495, 2.640846, 0.069746, 0.069389
FFI39_RS03360, 2.497468, 3.759629, 0.058181, 0.059834
FFI39_RS03460, 1.060796, 1.032753, 0.114875, 0.113009
FFI39_RS03520, 2.678744, 6.285214, 0.131765, 0.124153
FFI39_RS03610, 2.693889, 1.643657, 0.084875, 0.078188
FFI39_RS04125, 2.939036, 3.813299, 0.078588, 0.079331
FFI39_RS05175, 3.586851, 0.782774, 0.063295, 0.069788
FFI39_RS05490, 4.190277, 4.484163, 0.066131, 0.063219
FFI39_RS05630, 2.300495, 3.484952, 0.059409, 0.057512
FFI39_RS05705, 1.202749, 1.224065, 0.199757, 0.215440
FFI39_RS06755, 0.359296, 2.166144, 0.073405, 0.070338
FFI39_RS07830, 2.272317, 0.400632, 0.063196, 0.061271
FFI39_RS10455, 0.703977, 1.500894, 0.103047, 0.102536
FFI39_RS10520, 0.990136, 0.966082, 0.086917, 0.082013
FFI39_RS10745, 2.021708, 8.363886, 0.062882, 0.062588
FFI39_RS10750, 1.199017, 1.184181, 0.096242, 0.089926
FFI39_RS10765, 3.844011, 3.859442, 0.254094, 0.257926
FFI39_RS10805, 1.863693, 1.027885, 0.075469, 0.058629
FFI39_RS11605, 2.414682, 3.929993, 0.067074, 0.069058
FFI39_RS11840, 1.333467, 3.645882, 0.123910, 0.127315
FFI39_RS13030, 3.093516, 2.701609, 0.231147, 0.229638
FFI39_RS13300, 5.321628, 6.021338, 0.122063, 0.119652
FFI39_RS15775, 0.360581, 0.342705, 0.064690, 0.101153
FFI39_RS16000, 0.987186, 1.960705, 0.123468, 0.153027
FFI39_RS16005, 5.819070, 2.179028, 0.136953, 0.109902
FFI39_RS17455, 3.742017, 2.717105, 0.135160, 0.130329
FFI39_RS18110, 0.664441, 1.292472, 0.054263, 0.055086
FFI39_RS19250, 2.428167, 5.156788, 0.076673, 0.074660
FFI39_RS19425, 1.797596, 2.457986, 0.066587, 0.103182
FFI39_RS20315, 1.645777, 3.173408, 0.153846, 0.092799
FFI39_RS20330, 0.878704, 1.335052, 0.061277, 0.056143
FFI39_RS20475, 1.716008, 3.198678, 0.072030, 0.067386
FFI39_RS20535, 9.350401, 18.171538, 0.089030, 0.084979
FFI39_RS21585, 0.127629, 0.745803, 0.074945, 0.084651
FFI39_RS22265, 2.344691, 3.987485, 0.137832, 0.139759
FFI39_RS22645, 6.625427, 2.668548, 0.088619, 0.084379
FFI39_RS23125, 4.706036, 9.045388, 0.069548, 0.077472
FFI39_RS23230, 1.644610, 3.825587, 0.094149, 0.089580
FFI39_RS24205, 2.246996, 10.061077, 0.097764, 0.087686
FFI39_RS24745, 1.481252, 1.512794, 0.052110, 0.053262
FFI39_RS24965, 4.310222, 5.040981, 0.114917, 0.108507
FFI39_RS25950, 1.910918, 3.016619, 0.064819, 0.063873
FFI39_RS26215, 3.644158, 3.266211, 0.068985, 0.068897
FFI39_RS26350, 1.115928, 1.167872, 0.059350, 0.063259
FFI39_RS26810, 8.296599, 7.531624, 0.080601, 0.080999
FFI39_RS27010, 0.556091, 0.537847, 0.056347, 0.057993
