Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFF93_RS00055, 1.111231, 1.006204, 0.050735, 0.065034
FFF93_RS00095, 0.501213, 0.498564, 0.056880, 0.062583
FFF93_RS00250, 0.658768, 0.621503, 0.059742, 0.060354
FFF93_RS00330, 1.298747, 1.246008, 0.074505, 0.051890
FFF93_RS00625, 0.656986, 0.599823, 0.090378, 0.068824
FFF93_RS00640, 0.684772, 0.595667, 0.055661, 0.069021
FFF93_RS00675, 0.778416, 2.086762, 0.116933, 0.063249
FFF93_RS00685, 0.925203, 0.467253, 0.081229, 0.050973
FFF93_RS00830, 0.634574, 0.309756, 0.052168, 0.055435
FFF93_RS00995, 2.081706, 3.632729, 0.120508, 0.216503
FFF93_RS01135, 2.902777, 3.264857, 0.070664, 0.086102
FFF93_RS01190, 0.497110, 0.922254, 0.119808, 0.059606
FFF93_RS01310, 1.901791, 1.178631, 0.066412, 0.059674
FFF93_RS01405, 0.974929, 1.912908, 0.070730, 0.067824
FFF93_RS01620, 1.663464, 1.508326, 0.050639, 0.115025
FFF93_RS01645, 1.801229, 0.901831, 0.096241, 0.070201
FFF93_RS01685, 1.580471, 1.526176, 0.096244, 0.065925
FFF93_RS01710, 1.071204, 0.532167, 0.112220, 0.075864
FFF93_RS01815, 0.939317, 1.860027, 0.067032, 0.070910
FFF93_RS01820, 0.817730, 0.851233, 0.106216, 0.052913
FFF93_RS01860, 0.711752, 0.652421, 0.073731, 0.059883
FFF93_RS02005, 1.620305, 1.824932, 0.058595, 0.087595
FFF93_RS02035, 0.417295, 0.881791, 0.053876, 0.073073
FFF93_RS02055, 0.619731, 0.314669, 0.064413, 0.071059
FFF93_RS02075, 2.012699, 1.896498, 0.053464, 0.058632
FFF93_RS02260, 1.902342, 0.927783, 0.081894, 0.052877
FFF93_RS02285, 2.095677, 0.702789, 0.142191, 0.052638
FFF93_RS02375, 1.562395, 1.468257, 0.056218, 0.057090
FFF93_RS02410, 0.198258, 0.373803, 0.110209, 0.055589
FFF93_RS02510, 1.040358, 3.636997, 0.119474, 1.000000
FFF93_RS02670, 0.216909, 0.218579, 0.062311, 0.078681
FFF93_RS02780, 0.866346, 0.862621, 0.082582, 0.062287
FFF93_RS02945, 0.523919, 0.535853, 0.067717, 0.052381
FFF93_RS03135, 0.651503, 0.564796, 0.121781, 0.108146
FFF93_RS03210, 1.785777, 0.803501, 0.195067, 0.076346
FFF93_RS03410, 0.973626, 0.332376, 0.078339, 0.058289
FFF93_RS03455, 1.319126, 2.391874, 0.051075, 0.058719
FFF93_RS03525, 1.294133, 1.205251, 0.069699, 0.051680
FFF93_RS03805, 0.509152, 0.544143, 0.062500, 0.064131
FFF93_RS03850, 2.245291, 1.065801, 0.088808, 0.059900
FFF93_RS03900, 0.306778, 0.331522, 0.052600, 0.109869
FFF93_RS03970, 1.500200, 1.281078, 0.055961, 0.093163
FFF93_RS03980, 3.195601, 0.976984, 0.056916, 0.076610
FFF93_RS04015, 0.550023, 0.498564, 0.071849, 0.067517
FFF93_RS04080, 0.567002, 0.570628, 0.069671, 0.051298
FFF93_RS04170, 10.593496, 1.523172, 0.949615, 0.215432
FFF93_RS04400, 0.665588, 0.698349, 0.086079, 0.055111
FFF93_RS04450, 0.805080, 0.786353, 0.056922, 0.059058
FFF93_RS04480, 1.711661, 1.505391, 0.081021, 0.065153
FFF93_RS04505, 1.308074, 0.405540, 0.067316, 0.051301
FFF93_RS04580, 0.600492, 0.607356, 0.071796, 0.110546
FFF93_RS04645, 0.761069, 0.789562, 0.052580, 0.074820
FFF93_RS04660, 1.479385, 0.700880, 0.098033, 0.070765
FFF93_RS04665, 0.543864, 0.529255, 0.058905, 0.079874
FFF93_RS04685, 2.791050, 1.439574, 0.309082, 0.302962
FFF93_RS04800, 1.097285, 1.040015, 0.058213, 0.056334
FFF93_RS04805, 0.224737, 0.430591, 0.054427, 0.065245
FFF93_RS04840, 0.635404, 0.602157, 0.117988, 0.095932
FFF93_RS04860, 4.572785, 2.009795, 0.078371, 0.060328
FFF93_RS04880, 0.269418, 0.538088, 0.054425, 0.074851
FFF93_RS04930, 2.038984, 2.052444, 0.063941, 0.079723
FFF93_RS05275, 0.656000, 0.694588, 0.080614, 0.087560
FFF93_RS05305, 0.684343, 0.810232, 0.088505, 0.068253
FFF93_RS05460, 0.828265, 0.769156, 0.066424, 0.059163
FFF93_RS05545, 1.357634, 1.209017, 0.068810, 0.069007
FFF93_RS05630, 0.892160, 0.749052, 0.062641, 0.072904
FFF93_RS05825, 0.836827, 0.749052, 0.103584, 0.060754
FFF93_RS05880, 1.332596, 0.337155, 0.096727, 0.066610
FFF93_RS05920, 0.625226, 0.648593, 0.082009, 0.078682
FFF93_RS06110, 1.039368, 0.984442, 0.051430, 0.078266
FFF93_RS06140, 0.967592, 0.999704, 0.064195, 0.050032
FFF93_RS06195, 1.762024, 0.434947, 0.064314, 0.082704
FFF93_RS06290, 1.312788, 1.302645, 0.050613, 0.056247
FFF93_RS06460, 0.467449, 0.449084, 0.051134, 0.074184
FFF93_RS06555, 0.822654, 0.790369, 0.138620, 0.057556
FFF93_RS06595, 0.541305, 0.298869, 0.069363, 0.078457
FFF93_RS06845, 0.666197, 0.674604, 0.061791, 0.065650
FFF93_RS07085, 1.101709, 1.004898, 0.074747, 0.053844
FFF93_RS07185, 0.634482, 0.220636, 0.074097, 0.050145
FFF93_RS07440, 1.317535, 1.289619, 0.059636, 0.056455
FFF93_RS07445, 0.739692, 0.730662, 0.057582, 0.054905
FFF93_RS07560, 0.898024, 0.846577, 0.085526, 0.050708
FFF93_RS07575, 1.682241, 1.665218, 0.142620, 0.066759
FFF93_RS07615, 0.788525, 0.737979, 0.068056, 0.089570
FFF93_RS07775, 0.707834, 0.735524, 0.059614, 0.062946
FFF93_RS07815, 0.344436, 0.361406, 0.051266, 0.079201
FFF93_RS07985, 1.064163, 1.014117, 0.115877, 0.050382
FFF93_RS07995, 1.209624, 0.583098, 0.070112, 0.052372
FFF93_RS08040, 0.649374, 0.760837, 0.070003, 0.052985
FFF93_RS08085, 1.298747, 1.146328, 0.072943, 0.073357
FFF93_RS08175, 3.197159, 0.885322, 0.061742, 0.093114
FFF93_RS08225, 0.683701, 0.736224, 0.051068, 0.057293
FFF93_RS08235, 0.907344, 0.463059, 0.057730, 0.109756
FFF93_RS08260, 1.706316, 0.848433, 0.080015, 0.081941
FFF93_RS08445, 0.337730, 0.349648, 0.112535, 0.074375
FFF93_RS08495, 0.881723, 0.806852, 0.075096, 0.065194
FFF93_RS08690, 1.289552, 1.216621, 0.056826, 0.090249
FFF93_RS08825, 2.353688, 0.725864, 0.145718, 0.064002
FFF93_RS08850, 0.585767, 0.925195, 0.083853, 0.075387
FFF93_RS09060, 0.791667, 0.787153, 0.071245, 0.121299
FFF93_RS09090, 0.561828, 0.282398, 0.073620, 0.100955
FFF93_RS09095, 2.953772, 3.210669, 0.064299, 0.069352
FFF93_RS09185, 0.758955, 0.754163, 0.051197, 0.073431
FFF93_RS09310, 1.406106, 0.653523, 0.058305, 0.055899
FFF93_RS09455, 1.054410, 1.040015, 0.071286, 0.051759
FFF93_RS09540, 0.301198, 0.318818, 0.055888, 0.066959
FFF93_RS09570, 2.368993, 0.815354, 0.078170, 0.087468
