Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFG40_RS00045, 20.614744, 14.288535, 0.083437, 0.086036
FFG40_RS01105, 3.608453, 4.119552, 0.072788, 0.059530
FFG40_RS01965, 0.242453, 0.539448, 0.111771, 0.097752
FFG40_RS02640, 7.674386, 11.226029, 0.079315, 0.072162
FFG40_RS04740, 14.236860, 16.717021, 0.095766, 0.107104
FFG40_RS05280, 5.811371, 1.330420, 0.100882, 0.084021
FFG40_RS05485, 45.703708, 28.551347, 0.149146, 0.143988
FFG40_RS05780, 42.559005, 24.181854, 0.217795, 0.215013
FFG40_RS07615, 5.785940, 9.332317, 0.070440, 0.069725
FFG40_RS07700, 15.473537, 2.906209, 0.142319, 0.108304
FFG40_RS08235, 0.630981, 0.994375, 0.110834, 0.091090
FFG40_RS09980, 1.054289, 0.520991, 0.392182, 0.359885
FFG40_RS10615, 6.995699, 7.869709, 0.056705, 0.077614
FFG40_RS11890, 30.914993, 24.526661, 0.116835, 0.153465
FFG40_RS12200, 4.598360, 7.962841, 0.131832, 0.142502
FFG40_RS12710, 7.354904, 5.641013, 0.155832, 0.133515
FFG40_RS12935, 5.285832, 2.717254, 0.158782, 0.392682
FFG40_RS13980, 3.243533, 4.470831, 0.095483, 0.078750
FFG40_RS14620, 20.757030, 10.755006, 0.108109, 0.135306
FFG40_RS15935, 1.641133, 1.634395, 0.354506, 0.419039
FFG40_RS16730, 3.153501, 1.463336, 0.133118, 0.197337
