Gene,mult,mult_syn,mean_freq,mean_freq_syn
FFI97_RS00175, 6.085245, 2.505035, 0.069473, 0.072705
FFI97_RS00510, 3.930525, 0.522812, 0.095812, 0.102119
FFI97_RS00650, 2.914262, 2.956524, 0.190824, 0.142436
FFI97_RS01795, 27.667475, 19.215789, 0.241180, 0.223201
FFI97_RS01840, 12.388301, 4.714359, 0.138416, 0.138129
FFI97_RS01845, 8.379458, 4.314385, 0.117152, 0.138562
FFI97_RS01990, 7.858684, 8.801345, 0.336281, 0.330982
FFI97_RS01995, 3.117205, 4.309510, 0.093076, 0.102091
FFI97_RS02065, 13.872850, 15.048745, 0.323674, 0.275087
FFI97_RS02135, 6.457453, 1.884967, 0.146437, 0.134549
FFI97_RS02155, 1.153687, 1.034282, 0.093679, 0.096869
FFI97_RS02185, 1.918691, 3.649681, 0.085602, 0.097548
FFI97_RS02210, 2.745639, 1.432009, 0.187976, 0.200824
FFI97_RS02215, 3.633365, 4.083422, 0.227367, 0.162611
FFI97_RS02235, 16.336884, 9.107860, 0.229984, 0.136894
FFI97_RS02325, 2.478575, 1.240298, 0.225670, 0.256478
FFI97_RS02415, 7.105248, 1.948361, 0.220527, 0.235335
FFI97_RS02420, 11.303804, 12.713054, 0.199595, 0.207544
FFI97_RS02425, 8.899217, 10.819621, 0.237847, 0.267739
FFI97_RS02440, 3.620143, 4.545788, 0.138837, 0.146530
FFI97_RS02535, 1.745829, 0.825970, 0.169267, 0.171748
FFI97_RS02685, 1.261247, 1.144461, 0.219153, 0.139844
FFI97_RS02980, 8.624868, 1.389405, 0.213066, 0.307243
FFI97_RS03195, 5.774016, 2.146670, 0.132400, 0.081711
FFI97_RS03215, 9.893951, 5.334149, 0.241272, 0.206078
FFI97_RS03230, 3.420161, 2.746294, 0.063194, 0.060031
FFI97_RS03405, 11.412679, 11.755222, 0.241290, 0.231607
FFI97_RS03495, 7.041908, 9.838133, 0.209168, 0.298721
FFI97_RS03565, 14.505205, 6.667686, 0.103488, 0.112195
FFI97_RS03605, 11.984756, 5.557619, 0.168906, 0.155716
FFI97_RS04305, 2.458608, 1.636874, 0.055610, 0.052725
FFI97_RS04345, 10.273490, 13.451572, 0.361165, 0.465826
FFI97_RS04450, 5.408780, 2.417697, 0.083647, 0.083203
FFI97_RS04595, 14.814031, 27.038959, 0.152084, 0.135675
FFI97_RS04605, 13.046229, 8.700950, 0.179843, 0.203002
FFI97_RS04635, 14.618394, 11.268389, 0.130245, 0.128748
FFI97_RS04850, 6.835897, 5.018311, 0.301347, 0.215483
FFI97_RS04910, 6.557089, 0.610227, 0.084734, 0.109741
FFI97_RS04920, 6.735629, 3.196019, 0.178014, 0.264560
FFI97_RS04930, 12.039246, 13.996023, 0.143433, 0.219603
FFI97_RS04985, 5.874418, 1.753525, 0.172851, 0.122393
FFI97_RS05200, 4.558357, 6.482577, 0.356138, 0.335682
FFI97_RS05205, 2.081035, 3.259758, 0.197390, 0.201854
FFI97_RS05265, 3.209589, 3.176058, 0.102702, 0.130339
FFI97_RS05385, 10.696072, 9.016351, 0.227328, 0.284248
FFI97_RS05395, 0.563341, 0.508861, 0.399833, 0.356911
FFI97_RS05440, 1.214408, 1.189989, 0.103809, 0.123270
FFI97_RS05445, 3.107467, 1.556701, 0.288629, 0.220171
FFI97_RS05585, 5.544974, 2.034089, 0.075920, 0.072483
FFI97_RS05675, 7.377280, 4.896612, 0.222618, 0.223036
FFI97_RS05880, 6.968420, 7.599009, 0.233819, 0.226386
FFI97_RS06055, 4.392227, 2.295811, 0.209860, 0.102660
FFI97_RS06090, 2.668916, 4.088425, 0.133883, 0.237228
FFI97_RS06160, 10.258453, 7.347299, 0.132793, 0.127209
FFI97_RS06240, 4.515006, 4.726775, 0.180283, 0.263767
FFI97_RS06425, 1.809340, 3.667227, 0.257185, 0.292056
FFI97_RS06455, 6.701800, 7.942901, 0.276199, 0.343896
FFI97_RS06545, 1.287035, 1.308376, 0.138984, 0.138742
FFI97_RS06590, 3.608469, 4.540377, 0.150411, 0.166968
FFI97_RS06615, 13.325946, 6.883196, 0.126864, 0.123451
FFI97_RS06830, 8.050911, 7.381774, 0.380401, 0.359021
FFI97_RS07220, 9.373373, 1.097530, 0.095975, 0.092573
FFI97_RS07240, 10.150354, 7.105100, 0.119844, 0.161654
FFI97_RS07250, 4.958980, 2.418974, 0.357374, 0.376834
FFI97_RS07325, 0.287016, 0.282931, 0.142649, 0.128942
FFI97_RS07440, 3.388574, 2.735624, 0.188352, 0.216580
FFI97_RS07610, 4.640720, 1.942572, 0.112191, 0.103930
FFI97_RS07640, 5.250359, 3.735471, 0.088633, 0.094205
FFI97_RS07650, 7.123015, 8.519545, 0.258165, 0.268137
FFI97_RS07685, 11.204393, 10.725116, 0.258194, 0.211215
FFI97_RS07760, 5.522895, 2.830365, 0.080992, 0.077432
FFI97_RS07845, 9.009242, 5.400236, 0.221880, 0.218842
FFI97_RS08025, 9.533071, 2.511910, 0.170159, 0.173068
FFI97_RS08135, 11.042563, 6.849482, 0.139142, 0.171288
FFI97_RS08160, 6.895718, 4.764087, 0.218788, 0.181560
FFI97_RS08180, 12.052139, 6.678064, 0.145541, 0.160239
FFI97_RS08185, 11.973002, 1.607552, 0.089861, 0.074088
FFI97_RS08190, 2.605533, 2.339826, 0.240093, 0.180737
FFI97_RS08250, 19.274484, 11.079533, 0.296206, 0.326450
FFI97_RS08255, 16.044108, 9.016351, 0.340007, 0.310918
FFI97_RS08420, 3.341525, 3.769934, 0.066655, 0.068132
FFI97_RS08435, 10.543117, 2.783881, 0.334690, 0.320710
FFI97_RS08660, 29.026171, 10.484993, 0.216844, 0.226387
FFI97_RS08735, 5.838660, 4.580364, 0.232623, 0.264349
FFI97_RS08805, 0.688239, 2.327333, 0.313768, 0.297629
FFI97_RS09000, 2.619255, 2.416931, 0.224132, 0.155016
FFI97_RS09230, 12.480408, 6.575718, 0.153731, 0.173272
FFI97_RS09240, 1.743789, 1.846933, 1.000000, 1.000000
FFI97_RS09270, 2.660667, 0.562525, 0.059923, 0.055892
FFI97_RS09510, 2.415708, 1.226340, 0.265104, 0.244243
FFI97_RS09790, 21.632707, 28.809362, 0.250987, 0.198053
FFI97_RS09880, 2.646614, 0.627031, 0.090944, 0.102695
FFI97_RS10155, 3.394355, 2.208406, 0.198787, 0.174030
FFI97_RS10205, 3.646388, 2.733990, 0.159782, 0.165491
FFI97_RS10210, 33.841491, 20.206179, 0.141802, 0.145406
FFI97_RS10215, 9.969502, 13.823090, 0.158674, 0.172668
FFI97_RS10305, 31.325194, 34.046357, 0.150272, 0.181369
FFI97_RS10335, 0.679360, 1.130468, 0.191741, 0.187089
FFI97_RS10490, 11.917748, 17.755663, 0.231572, 0.201487
FFI97_RS10830, 7.373125, 3.735471, 0.158360, 0.147797
FFI97_RS10860, 4.826206, 8.488844, 0.130924, 0.098576
FFI97_RS10930, 0.615046, 0.629359, 0.151691, 0.140637
FFI97_RS10980, 26.539365, 13.583812, 0.380504, 0.384727
FFI97_RS11075, 3.798308, 2.673306, 1.000000, 1.000000
FFI97_RS11295, 12.848181, 11.803223, 0.080533, 0.098668
FFI97_RS11360, 6.454301, 2.630287, 0.239606, 0.230761
FFI97_RS11445, 2.333841, 8.236032, 0.161024, 0.174593
FFI97_RS11710, 10.122301, 9.297305, 0.203193, 0.280115
FFI97_RS11765, 12.712265, 11.358743, 0.240262, 0.298124
FFI97_RS11840, 16.414764, 15.891318, 0.137491, 0.181313
FFI97_RS11945, 4.167883, 1.436503, 0.061362, 0.062896
FFI97_RS12040, 0.902117, 2.979622, 0.150630, 0.156899
FFI97_RS12090, 9.079729, 8.738924, 0.160296, 0.170846
FFI97_RS12175, 5.772687, 5.991651, 0.113105, 0.165984
FFI97_RS12255, 11.711947, 2.182499, 0.298242, 0.316803
FFI97_RS12320, 10.946298, 16.615081, 0.168009, 0.130654
FFI97_RS12335, 3.257865, 2.290640, 0.220259, 0.225760
FFI97_RS12360, 6.932333, 5.735213, 0.113740, 0.106322
FFI97_RS12420, 4.517465, 5.100334, 0.151507, 0.143563
FFI97_RS12575, 11.664195, 5.366314, 0.147503, 0.108867
FFI97_RS12740, 33.064921, 22.271044, 0.198256, 0.192675
FFI97_RS12770, 15.395092, 11.009243, 0.137307, 0.156052
FFI97_RS12865, 0.570266, 0.262938, 0.165287, 0.148427
FFI97_RS13100, 5.480632, 4.708539, 0.129876, 0.141998
FFI97_RS13275, 7.901321, 3.155723, 0.094247, 0.105555
FFI97_RS13465, 4.055961, 6.565106, 0.217400, 0.228028
FFI97_RS13600, 8.831495, 3.858937, 0.095002, 0.108105
FFI97_RS13620, 3.369021, 5.394507, 0.431815, 0.268027
FFI97_RS13665, 4.287650, 1.389405, 0.093172, 0.090533
FFI97_RS13745, 0.877363, 1.755543, 0.164982, 0.202367
FFI97_RS13760, 2.858433, 2.568294, 0.143274, 0.148718
FFI97_RS13825, 4.066905, 3.938640, 0.070565, 0.075548
FFI97_RS13905, 19.199843, 3.345541, 0.160527, 0.077221
FFI97_RS13940, 16.449893, 12.664345, 0.279858, 0.290153
FFI97_RS13945, 10.150354, 7.704881, 0.153843, 0.176313
FFI97_RS14320, 7.766870, 3.638076, 0.176484, 0.151400
FFI97_RS14405, 1.069352, 6.168059, 0.080209, 0.092175
FFI97_RS14475, 0.651383, 0.636183, 0.249671, 0.387706
FFI97_RS14490, 2.420934, 2.090963, 0.138572, 0.120518
FFI97_RS14650, 21.650816, 7.763697, 0.231075, 0.198946
FFI97_RS14765, 4.140128, 3.471141, 0.093764, 0.090787
FFI97_RS14905, 8.282238, 11.800484, 0.136030, 0.143806
FFI97_RS15060, 2.574069, 4.614938, 0.089260, 0.097246
FFI97_RS15095, 4.142810, 3.690887, 0.486529, 0.525586
FFI97_RS15120, 12.625479, 1.240298, 0.161995, 0.145547
FFI97_RS15215, 6.537561, 4.679652, 0.110869, 0.105384
FFI97_RS15655, 14.559246, 17.205638, 0.116231, 0.162194
FFI97_RS15775, 3.777474, 1.771854, 0.545594, 0.388784
FFI97_RS15815, 3.772875, 2.268838, 0.119798, 0.133441
FFI97_RS15875, 5.086712, 5.102229, 0.248616, 0.214154
FFI97_RS15965, 2.823277, 3.372163, 0.186389, 0.197276
FFI97_RS16040, 8.046087, 2.753730, 0.372905, 0.393257
FFI97_RS16130, 5.948220, 7.207401, 0.111635, 0.155037
FFI97_RS16190, 4.069369, 4.057358, 0.215041, 0.223690
FFI97_RS16285, 2.812457, 1.830680, 0.363085, 0.288837
FFI97_RS16390, 8.370839, 9.460878, 0.220509, 0.264872
FFI97_RS16435, 14.354497, 7.932946, 0.162464, 0.125283
FFI97_RS16470, 13.740367, 3.191562, 0.069485, 0.068572
FFI97_RS16555, 4.730396, 5.650246, 0.208638, 0.230823
FFI97_RS16595, 6.871523, 4.833861, 0.102642, 0.099501
FFI97_RS16630, 7.530798, 9.614915, 0.312567, 0.351719
FFI97_RS16635, 6.618957, 8.127067, 0.606185, 0.612217
