freq	total_cov	major_cov	minor_cov
0.0868377686	263	238	22
0.0510621071	214	203	11
0.135896683	138	119	19
0.108808517	138	122	15
0.103212833	129	113	16
0.105722904	131	115	14
0.111444473	131	116	15
0.107144833	112	100	12
0.138361454	101	87	14
0.181945801	66	54	12
0.181583881	66	54	12
0.14596796	82	70	12
0.168739319	71	59	12
0.112770557	77	68	9
0.0995783806	80	72	8
0.0984287262	81	73	8
0.0890955925	100	91	9
0.0676174164	103	96	7
0.0652241707	107	100	7
0.0614466667	113	106	7
0.0589494705	118	110	7
0.0687036514	102	94	7
0.0712118149	98	91	7
0.0664954185	105	98	7
0.06580019	115	107	8
0.0545301437	128	121	7
0.0582604408	120	112	7
0.0699019432	100	93	7
0.0740823746	94	87	7
0.0743808746	94	87	7
0.0997610092	107	96	11
0.0679664612	161	150	11
0.127537251	94	82	12
0.111771107	107	95	12
0.126836777	57	49	8
0.059024334	101	95	6
0.156767845	63	53	10
0.19654274	61	49	12
0.298986912	65	45	20
0.0604324341	157	147	10
0.0536499023	93	87	5
0.0726947784	81	74	7
0.304185867	23	16	7
0.333270073	21	14	7
0.0573587418	139	131	8
0.059363842	84	79	5
0.124289036	96	84	12
0.0943508148	64	57	6
0.127317905	64	55	8
0.0884165764	67	61	6
0.0914487839	66	59	6
0.0934033394	64	58	6
0.315680981	19	13	6
0.239675999	25	19	6
0.0942149162	53	48	5
0.105949402	66	59	7
0.101378441	68	61	7
0.107514858	65	58	7
0.0968613625	72	65	7
0.0919175148	76	69	7
0.120830536	56	49	7
0.122684479	57	49	7
0.0623164177	80	75	5
0.359885216	214	137	77
0.395512104	230	139	91
0.388852596	233	142	90
0.073677063	105	97	8
0.0748353004	80	74	6
0.0775671005	77	71	6
0.0817885399	73	67	6
0.0628552437	79	74	5
0.0628566742	79	74	5
0.11355257	107	94	12
0.124856472	95	83	12
0.147864819	81	69	12
0.14798975	81	69	12
0.147943974	81	69	12
0.136192322	88	76	12
0.151578903	79	67	12
0.141053677	85	73	12
0.15359354	78	66	12
0.137887478	87	75	12
0.122327328	98	86	12
0.108858585	168	146	22
0.0501785278	211	195	11
0.172719002	151	118	28
0.0838909149	79	72	7
0.0922279358	65	59	6
0.091647625	65	59	6
0.104764462	89	79	10
0.0716161728	110	102	8
0.0524139404	95	90	5
0.0555791855	114	107	7
0.199250698	110	87	22
0.182533741	110	89	20
