freq	total_cov	major_cov	minor_cov
0.0606012344	74	69	5
0.069750309	72	64	5
0.105795383	76	62	7
0.115524769	127	105	20
0.0570473671	70	66	4
0.358204365	25	16	9
0.419135571	31	17	13
0.159617901	25	21	4
0.194122314	63	50	12
0.199841022	116	89	25
0.136879921	97	75	15
0.102135658	135	116	18
0.13155508	103	83	16
0.0907812119	104	94	10
0.217822075	90	62	16
0.112436771	97	85	11
0.162442684	77	58	12
0.13793993	94	76	16
0.104433537	173	145	17
0.108433723	56	48	7
0.292360306	57	39	17
0.06909132	101	93	8
0.0549211502	118	111	7
0.449869156	24	13	10
0.0987286568	80	71	9
0.122813702	68	58	8
0.151542664	78	65	13
0.0605754852	163	151	11
0.135991096	129	105	21
0.191331387	174	136	38
0.0872154236	125	112	11
0.0877609253	150	132	18
0.0632944107	124	115	8
0.0990347862	169	150	19
0.151119232	115	92	17
0.0985918045	101	89	12
0.136868477	108	93	15
0.0823521614	108	97	9
0.268877983	57	41	16
