freq	total_cov	major_cov	minor_cov
0.0638203621	109	102	7
0.057434082	119	112	7
0.0616745949	110	102	8
0.0510354042	170	159	11
0.0815377235	104	95	8
0.0807104111	93	85	8
0.0524096489	169	159	10
0.0674176216	116	108	8
0.153803825	91	65	14
0.0506248474	98	93	5
0.201933861	31	22	5
0.10329771	139	119	17
0.05453825	91	86	5
0.0526366234	113	107	6
0.149439812	89	74	15
0.0534882545	102	96	6
0.114352226	116	99	17
0.0954608917	92	83	9
0.0725631714	96	88	7
0.0541658401	110	104	6
0.0507421494	123	116	7
0.0860791206	76	69	7
0.0511622429	97	92	5
0.0651526451	122	114	8
0.0554437637	136	128	8
0.335896969	32	17	10
0.366973877	73	45	26
0.0828871727	68	61	7
0.0767726898	71	64	7
0.0724177361	76	69	7
0.0633926392	74	68	6
0.0747509003	92	85	7
0.0636458397	99	92	7
0.137144566	93	78	15
0.0803990364	99	91	8
0.094496727	137	124	13
0.0665817261	113	105	8
0.210289955	50	37	10
0.0521912575	114	108	6
0.0741839409	67	62	5
0.0847315788	80	72	7
0.0584135056	102	96	6
0.108022213	127	111	16
0.156308651	191	158	33
0.0897521973	156	138	17
0.0564551353	131	123	8
0.0761079788	94	83	8
0.0507078171	98	92	5
0.0752015114	87	80	7
0.271170616	46	33	13
0.240173817	44	29	11
0.322626591	39	26	13
0.0503816605	118	112	6
0.240018845	47	32	12
0.0891656876	67	61	6
0.051738739	115	109	6
0.0763807297	111	102	9
0.0935792923	63	57	6
0.0685749054	116	108	8
0.0654654503	93	86	6
0.0578956604	120	113	7
0.0804219246	99	91	8
0.139565468	79	65	12
0.384405613	102	59	40
0.0567340851	105	99	6
0.0774874687	77	71	6
0.38443327	24	14	9
0.0703897476	99	91	7
0.0761871338	111	102	8
0.0506844521	137	130	7
0.101929665	88	79	9
0.0565185547	123	116	7
0.0633449554	139	130	9
0.0662817955	120	112	8
0.0502095222	158	150	8
0.0570211411	122	115	7
0.500706196	114	57	56
0.0620851517	95	88	7
0.116697311	87	73	13
0.0828475952	93	83	10
0.0879807472	74	67	6
0.0505771637	98	93	5
0.0578708649	103	97	6
0.201730251	103	80	22
0.0718255043	83	77	6
0.0853171349	70	64	6
0.0508127213	195	185	10
0.0546979904	127	120	7
0.0683274269	88	81	6
0.128279686	114	97	17
0.0504045486	131	123	8
0.141081333	66	55	10
0.135025501	62	53	8
0.144375324	88	74	14
0.0864930153	69	63	6
0.050008297	119	113	6
0.0532131195	121	114	7
0.394666672	152	92	60
0.257084846	45	33	11
0.181439877	50	39	9
0.0602340698	99	93	6
0.0983457565	96	85	8
0.0732879639	95	88	7
0.0583677292	136	128	8
0.102024555	59	53	6
0.23325491	53	40	12
0.186703205	80	65	15
0.0553297997	113	105	8
0.0593085289	98	92	6
0.0596704483	133	125	8
0.0883932114	97	88	9
0.0540971756	110	104	6
0.0753893852	125	114	11
