frequency	mutation_category
0.348442078	snp_intergenic
0.135941029	snp_pseudogene
0.223810673	snp_pseudogene
0.350057125	snp_pseudogene
0.130410671	snp_pseudogene
0.229895592	snp_intergenic
0.139711857	snp_synonymous
0.124727249	snp_synonymous
0.125047684	snp_synonymous
0.122531891	snp_synonymous
0.142993927	snp_nonsynonymous
0.231330872	snp_intergenic
0.0926923752	snp_synonymous
0.197916031	snp_intergenic
0.103897572	snp_synonymous
0.208337307	snp_nonsynonymous
0.101632595	snp_nonsynonymous
0.132023811	snp_synonymous
0.0610814095	snp_synonymous
0.062874794	snp_nonsynonymous
0.0617938042	snp_synonymous
0.0602388382	snp_nonsynonymous
0.0607762337	snp_nonsynonymous
0.233092785	snp_intergenic
0.336369514	snp_intergenic
0.161688328	snp_intergenic
0.108692169	snp_noncoding
0.10357523	snp_noncoding
0.0881123543	snp_noncoding
0.0879225731	snp_noncoding
0.0879235268	snp_noncoding
0.0979938507	snp_nonsynonymous
0.216109753	snp_synonymous
0.178816319	snp_synonymous
0.120596409	snp_synonymous
0.0901408195	snp_synonymous
0.299055099	snp_nonsynonymous
0.232755661	snp_nonsynonymous
0.190438747	snp_synonymous
0.117631435	snp_nonsynonymous
0.404826641	snp_intergenic
