freq	total_cov	major_cov	minor_cov
0.170084953	40	33	7
0.230169773	26	20	6
0.206725121	29	23	6
0.249715805	28	21	7
0.214097977	28	22	6
0.214069366	28	22	6
0.222658634	27	21	6
0.278738499	43	31	12
0.307439327	39	27	12
0.346973419	39	24	12
0.384566307	39	24	15
0.384419918	39	24	15
0.327460289	39	24	12
0.307459831	39	27	12
0.334968567	45	30	15
0.400318146	59	35	24
0.338804245	71	47	24
0.256148338	62	45	16
0.0725970268	96	89	7
0.0730104446	95	88	7
0.0732731819	95	88	7
0.0761332512	91	84	7
0.129431725	54	47	7
0.133621216	54	46	7
0.129526615	54	46	7
0.270780087	59	43	16
0.266534805	60	44	16
0.275188446	60	43	16
0.290514946	55	39	16
0.499410629	26	13	12
0.340382099	47	31	16
0.340603352	47	31	16
0.304684162	50	35	15
0.319816589	50	34	16
0.438852787	69	39	30
0.356241703	71	46	25
0.352726936	71	45	25
0.349096775	72	47	25
0.347359657	72	47	25
0.36022377	69	44	25
0.489210129	49	25	24
0.489653587	49	25	24
0.504110336	49	24	24
0.407578945	59	35	24
0.380812168	63	39	24
0.406805992	49	28	20
0.264616013	49	36	13
0.209305763	43	34	9
0.170364857	41	34	7
0.124714851	56	49	7
0.126977444	55	48	7
0.127136707	55	48	7
0.124390125	55	48	7
0.126938343	55	48	7
0.100861073	77	69	8
0.0906000137	77	70	7
0.0977716446	51	46	5
0.0977220535	51	46	5
0.0960168839	52	47	5
0.0895872116	52	47	5
0.24205637	70	53	17
0.243006229	70	53	17
0.242304802	70	53	17
0.198564529	70	56	14
0.205666542	68	54	14
0.206037521	68	54	14
0.205764771	68	54	14
0.228974342	61	47	14
0.24310112	74	56	18
0.218913078	73	57	16
0.209811687	81	64	17
0.209671021	81	64	17
0.206877232	82	65	17
0.220515728	77	60	17
0.232255936	73	56	17
0.232549191	73	56	17
0.23216486	73	56	17
0.232392788	73	56	17
0.238120556	71	54	17
0.177404404	56	46	10
0.142227173	56	48	8
0.181136131	55	45	10
0.195763111	51	41	10
0.137592793	58	50	8
0.189689159	53	41	10
0.150646687	53	45	8
0.1604352	53	43	8
0.177555084	45	37	8
0.229195118	61	47	14
0.285660267	63	45	18
0.260509491	69	51	18
0.272650242	77	56	21
0.296247005	71	50	21
0.290360451	72	50	21
0.29156971	72	51	21
0.312979698	67	46	21
0.284316063	74	53	21
0.297880173	57	40	17
0.342921734	50	32	17
0.339879036	50	33	17
0.339782715	50	33	17
0.283133507	60	43	17
0.287988186	59	42	17
0.28804493	59	42	17
0.118816853	42	37	5
0.116002083	43	38	5
0.175220966	35	26	5
0.142600536	35	30	5
0.250655174	20	15	5
0.255535603	20	14	5
0.250273705	29	19	6
0.24593401	29	19	6
0.161025047	31	26	5
0.193621635	41	33	8
0.247906685	53	39	14
0.205753326	53	42	11
0.216973305	43	32	9
0.183561325	43	35	8
0.392107964	51	31	20
0.392268181	51	31	20
0.363601685	55	35	20
0.351123333	57	37	20
0.350930691	57	37	20
0.350819588	57	37	20
