freq	total_cov	major_cov	minor_cov
0.0544519424	109	103	6
0.0547246933	100	94	6
0.0505590439	176	167	9
0.0581502914	136	128	8
0.0532913208	120	113	7
0.0544223785	127	120	7
0.0515604019	115	109	6
0.10036993	56	49	6
0.221876621	79	59	19
0.0559864044	106	100	6
0.0548248291	108	102	6
0.0533747673	111	105	6
0.0561990738	88	83	5
0.060611248	106	99	7
0.0502343178	118	112	6
0.292206764	91	50	24
0.0512356758	135	128	7
0.0641813278	108	101	7
0.0619392395	88	82	6
0.0510220528	116	110	6
0.0501670837	138	130	7
0.0519533157	114	108	6
0.0719547272	138	128	10
0.0690770149	86	79	6
0.0693459511	100	93	7
0.0738558769	94	87	7
0.0761327744	104	96	8
0.0501503944	138	131	7
0.0571694374	95	89	6
0.12075901	81	71	10
0.0606126785	98	92	6
0.0589652061	84	78	5
0.0698962212	71	66	5
0.0590653419	134	126	8
0.0533566475	111	105	6
0.057674408	120	113	7
0.295760632	29	20	9
0.395878315	32	19	13
0.147283554	117	99	18
0.0557570457	105	99	6
0.0532326698	130	123	7
0.159546852	132	103	23
0.060778141	122	114	8
0.0822882652	108	99	9
0.0697216988	84	78	6
0.0698771477	150	138	11
0.0537881851	92	87	5
0.0545282364	127	120	7
0.0578184128	95	89	6
0.134698391	157	131	26
0.0698208809	71	66	5
0.0540618896	110	104	6
0.173574448	84	67	16
0.0503940582	157	149	8
0.058699131	101	95	6
0.0519390106	114	108	6
0.0508065224	136	129	7
0.0581860542	137	126	8
0.0652222633	103	96	7
0.0556030273	130	122	7
0.0592837334	117	110	7
0.164019585	101	81	19
0.0501265526	138	131	7
0.0528898239	129	122	7
0.0946626663	52	47	5
0.0680942535	102	95	7
0.0732192993	89	81	7
0.0718474388	83	77	6
0.0522274971	113	107	6
0.158322811	67	54	12
0.265948772	22	16	6
0.0650863647	76	71	5
0.327127934	57	35	19
0.0596466064	83	78	5
0.0612626076	97	91	6
0.0568532944	103	97	6
0.055747509	124	117	7
0.253264904	69	49	19
0.0968966484	125	109	15
0.184448242	110	84	22
0.052479744	138	130	8
0.1162076	60	52	8
0.0603680611	82	77	5
0.193414211	93	70	20
0.0511903763	116	110	6
0.0634870529	78	73	5
0.051129818	116	110	6
0.064991951	107	100	7
0.100223541	168	143	25
0.0513629913	124	117	7
0.0553274155	134	125	8
0.0753068924	90	83	7
0.0815620422	73	67	6
0.0619387627	121	113	8
0.0700097084	85	79	6
0.0520262718	133	126	7
0.0562605858	90	84	5
0.0519914627	114	108	6
0.0672101974	118	110	8
0.051279068	135	127	7
0.0511784554	135	128	7
0.0842633247	136	124	12
0.0661005974	75	70	5
0.059867382	91	85	6
0.0691051483	129	120	9
0.0563931465	103	97	6
0.0533804893	111	105	6
0.0628809929	96	89	6
0.0524401665	114	107	7
0.0969848633	120	107	12
0.216859818	52	32	12
0.527901649	17	9	8
0.0536313057	129	122	7
0.0582618713	110	103	7
0.0614762306	129	121	8
0.134277344	94	80	13
0.0594277382	150	141	9
0.0581521988	116	109	7
0.0674881935	88	82	6
0.0531916618	93	88	5
0.0978384018	112	101	11
0.100912571	85	76	9
0.0569872856	130	122	8
0.101374149	108	97	11
0.162007332	101	79	18
0.0672745705	103	96	7
0.0648097992	107	100	7
0.0511245728	136	128	7
0.0626273155	79	74	5
0.0660481453	75	70	5
0.260647774	66	36	17
0.270510197	62	43	18
