freq	total_cov	major_cov	minor_cov
0.330537319	36	23	12
0.0528154373	76	70	4
0.0810666084	61	55	5
0.155673981	66	45	9
0.187273026	61	49	11
0.235142708	52	39	13
0.0890669823	60	54	6
0.31431818	86	59	27
0.138984203	36	31	5
0.13874197	36	31	5
0.108950615	55	48	7
0.103112221	56	50	6
0.2766366	54	39	15
0.556550503	16	8	7
0.159934044	46	37	7
0.172091007	42	33	7
0.211390495	31	22	6
0.21327734	35	23	8
0.0628962517	79	74	5
0.0637068748	78	73	5
0.0640153885	78	73	5
0.0563626289	89	83	5
0.234898567	85	58	14
0.113438606	71	62	9
0.098359108	46	41	4
0.109713554	68	57	7
0.201989174	55	43	11
0.14643383	103	85	17
0.195272923	81	59	14
0.0841031075	98	87	11
0.0736699104	85	74	6
0.0731744766	84	76	7
0.0714869499	90	79	8
0.166278839	86	64	17
0.0677537918	92	83	6
0.0748815536	99	82	7
0.0550098419	104	95	6
0.105268002	117	97	12
0.0929384232	109	96	12
0.0635933876	88	82	6
0.0822405815	69	62	6
0.132597923	85	72	13
0.224375725	51	36	11
0.0508489609	92	87	5
0.0853886604	105	91	9
0.159071922	85	69	16
0.286009789	103	71	31
0.0547962189	107	100	7
0.167791367	101	79	19
0.134326458	103	84	13
0.10407114	90	80	10
0.177657604	67	54	13
0.0738277435	76	67	5
0.113634586	57	50	7
0.109740257	54	47	6
0.0520200729	114	106	6
0.0824775696	76	69	7
0.118675709	87	73	11
0.169538975	69	51	13
0.0546655655	184	169	12
0.0712747574	106	94	9
0.103343487	84	71	11
0.244239807	89	65	23
0.151671886	97	80	17
0.0665135384	214	191	21
0.242203712	62	45	16
0.166070461	60	46	9
0.0777482986	64	59	5
0.0579037666	69	65	4
0.272134781	37	27	10
0.137196064	43	36	6
0.0720729828	69	64	5
0.0768561363	65	60	5
0.0746707916	67	62	5
0.0793309212	63	58	5
0.0767836571	64	59	5
0.0747656822	80	74	6
0.0818223953	73	67	6
0.0818567276	73	67	6
0.115784168	69	61	8
0.114266872	70	62	8
0.114305973	70	62	8
0.0856714249	70	64	6
0.0704059601	99	92	7
0.0736026764	95	88	7
0.0682139397	103	95	7
0.0675525665	103	96	7
0.0691714287	101	94	7
0.0669403076	104	97	7
0.0629692078	111	104	7
0.0513315201	136	129	7
0.0511608124	136	129	7
0.346718788	34	22	12
0.160954952	50	41	8
0.130849361	48	38	6
0.0884542465	67	61	6
0.164552689	90	74	16
0.205262661	114	90	24
0.0799417496	50	46	4
0.05433321	147	139	8
0.0713195801	98	91	7
0.0501961708	99	94	5
0.0927038193	140	125	13
0.124341011	135	116	19
0.0641694069	65	60	5
