Code	Phylum	Class	Order	Family	Genus	Decay	Evol	Rmax	Wopt	Breadth	Mpamin	O2tol	umax	Lag	Biof	Mot
ATCC13985	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.00601719	-3.48E-06									
ATCC43928	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.008394137	-8.01E-06									
KBS0701	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	0.016852733	-1.94E-05	58.9	-0.0007	0.0007	-0.0659	0.5246	0.0777	5.41	0.166	0.208
KBS0702	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	0.0039329	0	64.1	-0.0464	0.0097	-0.3986	0.1966	0.1151	4.26	0.105	0.417
KBS0703	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	0.003224352	0	69.6	-0.0093	0.0211	-0.3034	0.3721	0.1184	4.38	0.193	0.208
KBS0704	Proteobacteria	BetaProteobacteria	Burkholderiales	Oxalobacteraceae	Dunganella	0.523579158	-0.005761593	24.8	-0.0005	0.0109	-0.172	0.8579	0.0647	1.3	0.151	0.25
KBS0705	Proteobacteria	AlphaProteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	0.012986348	-1.41E-05	74.3	-0.099	0.0225	-0.1198	0.3381	0.0318	7.01	0.206	0.25
KBS0706	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Mycobacterium	0.0014104	0	45.6	-0.0106	0.0048	-0.0477	0.1132	0.0325	18.1	1.989	0.25
KBS0707	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.005504779	-4.37E-06	64.3	-0.037	0.0314	-0.0893	0.6158	0.013	2.58	0.257	0.292
KBS0710	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.007026072	-3.83E-06	58.8	-0.001	0.0973	-0.1277	1.0205	0.083	6.26	0.528	2.75
KBS0711	Proteobacteria	BetaProteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	0.008339295	-2.95E-06	64	-0.001	0.0058	-0.0093	0.2308	0.1062	6.47	1.757	1.042
KBS0712	Proteobacteria	BetaProteobacteria	Burkholderiales	Comamonadaceae	Variovorax	0.00144076	0									
KBS0713	Proteobacteria	GammaProteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	0.008698862	-8.25E-06	90	-0.0025	0.0001	-0.0084	0.4186	0.0282	0.47	0.297	1.875
KBS0714	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	0.020101567	0	10.8	-0.242	0.4645	-1.6092	0.3081	0.0526	29.2	2.636	0.167
KBS0715	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	0.009535648	-1.02E-05	107.5	-0.518	0.3848	-1.5525	0.3135	0.0544	7.09	1.013	0.292
KBS0721	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	0.003537818	0	25	-0.01	0.0168	-0.1158	0.3088	0.0469	3.98	0.846	0.292
KBS0722	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Oerskovia	0.007494947	-8.57E-06	21.1	-0.0096	0.0761	-0.5554	0.1474	0.0894	10.64	0.275	0.5
KBS0724	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	0.007064954	-3.05E-06	91.5	-0.256	0.0866	-0.8515	0.7322	0.0742	11.14	1.195	0.333
KBS0725B	Proteobacteria	AlphaProteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	0.008946333	0	11.9	-0.0106	0.0171	-0.8482	1.1281	0.0082	21.97	0.009	0.208
KBS0727B	Proteobacteria	AlphaProteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	0.007068578	0	19.7	-0.052	0.0395	-0.6285	0.7421	0.0092	23.79	0.092	0.208
KBS0801	Proteobacteria	BetaProteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	0.003456905	0	71.4	-0.236	0.2126	-0.5205	0.3489	0.0719	8.79	0.422	1.042
KBS0802	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.013955591	-1.26E-05	58.2	-0.32	0.1464	-0.8548	0.8706	0.1134	5.79	0.289	1.875
KBS0812	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	3.24E-05	0	36	-1.07	1.1345	-2.3469	0.4446	0.0182	1.95	3.06	2
KBS0816	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Terriglobus	0.07966543	0	22.2	-0.2988	0.6825	-1.2241	0.3798	0.0558	63.9	0.013	0.167
Methanosarcina	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina											
																
