it Species	sample	rep	mean_freq	max_freq	pi	theta	tajimas_d	dn_ds_total	mean_N_mut	mean_binary_divisions	mean_gen_per_day	mean_birth_per_death	max_N_mut	max_binary_divisions	max_gen_per_day	max_birth_per_death
ATCC13985	ATCC13985-C	3	0.17016997790119048	0.814047337	2.9529518031313643e-06	7.756821207881688e-07	6.123087951816696	0.22789742461013157	452652.1412171667	131071.5	0.02354391385131234	0.049275	2165365.91642	1048575.5	0.026373658408611358	0.3942013157894737
ATCC13985	ATCC13985-B	2	0.12776289489473686	0.658792019	3.909544219182238e-06	1.4008277482812353e-06	4.212344272433307	0.3098943020458715	51105.15795789474	16383.5	0.0168184745019915	0.04095875	263516.8076	131071.5	0.019362941351666847	0.32767875
ATCC13985	ATCC13985-D	4	0.13098018887961163	0.506008625	1.602977906383048e-05	4.820975605289034e-06	5.641914855123658	0.08335942694072879	282917.2079799611	131071.5	0.02269426115717276	0.06068125	1092978.63	524287.5	0.025137636294396366	0.24272569444444445
ATCC13985	ATCC13985-A	1	0.13253273142222222	0.571549892	3.028884749462149e-06	1.0654659919526198e-06	4.25976348973939	0.13440104528289812	39759.81942666666	16383.5	0.016429057617543808	0.05461166666666667	171464.96759999997	65535.5	0.01869629496840469	0.21845166666666666
KBS0702	KBS0702-F	6	0.07969687188856209	0.360172749	1.2050386219173274e-05	6.695939642486968e-06	1.9920168191636831	1.0099433916832665	12273.318270838561	4095.5	0.014253135083905645	0.026594155844155844	55466.603346	16383.5	0.016536549590991753	0.10638636363636364
KBS0702	KBS0702-A	1	0.0885262377282353	0.500706196	3.485611455805239e-06	1.966830287095155e-06	1.8165016116162256	1.1062524264571862	6905.0465428023535	2047.5	0.012753435423525404	0.02625	39055.083288	16383.5	0.015253222716831091	0.2100448717948718
KBS0702	KBS0702-C	3	0.0747894300390925	0.337974072	2.1514126796325898e-05	1.0680512820312014e-05	2.481289236606366	0.9395659706210809	101713.62485316579	32767.5	0.01745451565584341	0.02409375	459644.73792000004	131071.5	0.0197378380891427	0.09637610294117648
KBS0702	KBS0702-B	2	0.07753991369477611	0.270294666	5.1358701655027805e-06	2.789671655478791e-06	1.991181367756114	0.873939416901177	22641.654798874624	8191.5	0.014466691783076389	0.02805308219178082	78926.042472	32767.5	0.016268213790637313	0.11221746575342466
KBS0702	KBS0702-E	5	0.07021411518511628	0.232023239	1.5275377862973887e-05	8.45586549269376e-06	1.9812159397369582	0.9162373037951284	44375.32079699349	16383.5	0.01619881419578998	0.025923259493670886	146638.687048	65535.5	0.018008296167988994	0.10369541139240507
KBS0702	KBS0702-D	4	0.07876967775350317	0.33998394	2.455346010572694e-05	1.2311194477176584e-05	2.4604206631147707	0.8528200523960854	51987.987317312094	16383.5	0.016438500191821633	0.024823484848484848	224389.40039999998	65535.5	0.018652303255665727	0.09929621212121212
KBS0707	KBS0707-B	2	0.07757339023265307	0.297338486	3.397857817069905e-06	1.8426056307930844e-06	2.0144436468911655	0.24533748258217755	20401.801631187758	8191.5	0.013980868103613044	0.03114638783269962	78200.02181800001	32767.5	0.015873907607028934	0.12459125475285171
KBS0707	KBS0707-C	3	0.11742665552121213	0.323980331	1.086553257004233e-06	4.331713302457861e-07	3.065729623641991	0.6095692836464873	17144.29170609697	8191.5	0.013735781916018241	0.05610616438356164	47301.128326	16383.5	0.015165612282930745	0.11221575342465753
KBS0711	KBS0711-A	1	0.09107783072017543	0.352899551	1.2032038624961068e-05	7.213316364381962e-06	1.7624072903756336	0.21901252433488314	1548.3231222429824	511.5	0.010596490866100212	0.03008823529411765	5999.292367	2047.5	0.012550576625578843	0.12044117647058823
KBS0713	KBS0713-B	2	0.10534567095384614	0.461923599	1.0048790489405207e-06	4.700131393314084e-07	2.2249602414770493	0.6065568476001254	11588.023804923076	4095.5	0.013473400132692383	0.03723181818181818	50811.595890000004	16383.5	0.015601666822899575	0.1489409090909091
KBS0713	KBS0713-A	1	0.12036420618928569	0.258070469	1.2746266810370244e-06	4.459589826234327e-07	3.5085404402920837	0.5054640396667712	68607.59752789284	32767.5	0.01603401270181056	0.057486842105263156	147100.16733000003	65535.5	0.017132175012106794	0.11497456140350877
KBS0715	KBS0715-D	4	0.12122062383789473	0.395512104	5.369530603312655e-06	2.051975726476819e-06	3.7427693201361976	0.3730261581096424	28608.067225743154	8191.5	0.01481895336472325	0.034709745762711866	93340.856544	32767.5	0.016526747833662144	0.13884533898305085
KBS0715	KBS0715-B	2	0.14195885124555557	0.490660667	5.670654976296423e-06	2.0511106730572745e-06	4.128524138841585	0.5615447541435477	17035.06214946667	8191.5	0.014070289880295987	0.0682625	58879.28004	16383.5	0.01586133374390921	0.13652916666666667
KBS0715	KBS0715-C	3	0.14958690828870963	0.58407259	3.888948072876401e-06	1.3128483354618128e-06	4.314087278021004	0.6582814554876042	45773.59393634515	16383.5	0.015497725675524647	0.05354084967320261	178726.21254	65535.5	0.017464856571028958	0.21416830065359477
KBS0715	KBS0715-A	1	0.13718564165	0.785125732	4.142739744345106e-06	1.4501274687669773e-06	4.115550938006885	0.6217102635160707	56246.1130765	16383.5	0.015795261042005338	0.03995975609756097	321901.55012	131071.5	0.018314574573154083	0.31968658536585365
KBS0721	KBS0721-D	4	0.10771458075606061	0.553667545	2.006039661984962e-06	9.942187909852278e-07	2.3685180144108346	0.4823510347147485	4954.870714778788	2047.5	0.012512366665616455	0.04451086956521739	25468.70707	8191.5	0.01491991651577859	0.17807608695652175
KBS0721	KBS0721-C	3	0.14711412193	0.34275198	1.6138055388822868e-06	5.525727062104788e-07	4.0542323043614035	0.3537240921241489	18830.60760704	8191.5	0.014475832754006188	0.06399609375	43872.25344	16383.5	0.015719695402572315	0.12799609375
KBS0721	KBS0721-B	2	0.104117371103125	0.269071579	1.974956135497714e-06	8.370850497265351e-07	3.013163823748111	0.2195528847667131	26654.0470024	8191.5	0.014986816493337747	0.031998046875	68882.324224	32767.5	0.016383125588634747	0.127998046875
KBS0721	KBS0721-A	1	0.14620590208837211	0.434209347	1.702256342121992e-06	7.189618706522376e-07	3.1347516836309857	0.3589259170083276	2193.0885313255817	1023.5	0.011313708804323431	0.06823333333333333	6513.140205000001	2047.5	0.01291451332091786	0.1365
KBS0722	KBS0722-A	1	0.0907938805469697	0.527901649	4.664106934578251e-06	1.9785179961485283e-06	3.09271620890172	0.9240787351826859	226984.70136742425	65535.5	0.017863690299648835	0.0262142	1319754.1225	524287.5	0.02041349170870363	0.209715
KBS0722	KBS0722-D	4	0.10124087331562501	0.42024374	2.4545107233259925e-06	9.63174375167153e-07	3.27289365952624	1.624875287940847	237916.05229171878	65535.5	0.017931820370179027	0.027887446808510637	987572.789	262143.5	0.019993501566560434	0.1115504255319149
KBS0722	KBS0722-B	2	0.11223570513749999	0.487641811	9.846395830279722e-07	3.3140789774050846e-07	3.3356555068097737	1.0943037653479175	1038180.2725218749	262143.5	0.02006588910478753	0.028339837837837837	4510686.75175	2097151.5	0.02219369043147477	0.22671908108108108
KBS0722	KBS0722-C	3	0.08665577406185566	0.387732029	3.353147829824621e-06	1.3560116944267656e-06	3.2080334167414866	0.586234160007813	654251.0941670103	262143.5	0.01939707319926684	0.034720993377483446	2927376.8189499998	1048575.5	0.021567446821468425	0.13888417218543048
KBS0724	KBS0724-B	2	0.1191033023576271	0.388095856	1.604597882909283e-06	6.116804249011612e-07	3.5386919864765995	0.432412863193582	39780.50298744745	16383.5	0.015687652872046102	0.04905239520958084	129624.015904	32767.5	0.017437344466819497	0.09810628742514971
KBS0724	KBS0724-C	3	0.10537968177763156	0.264362812	1.9336052862263563e-06	9.060643318409942e-07	2.6592007911105098	0.223829094249242	6217.401224880262	2047.5	0.012938496886407006	0.034703389830508476	15597.405908	4095.5	0.014300840334588618	0.06941525423728813
KBS0724	KBS0724-D	4	0.11862430967083333	0.307694912	6.665376423223415e-07	2.6225619777911937e-07	2.918783643375724	0.2995359937747209	20047.508334370832	8191.5	0.014672623529388895	0.048470414201183434	52000.440127999995	16383.5	0.016084431430926416	0.09694378698224852
KBS0801	KBS0801-A	1	0.12642568346666666	0.358204365	6.892020207472194e-07	2.1760543501543062e-07	3.82760555745125	0.31319464745252873	218716.43239733332	65535.5	0.01847781467718958	0.03788179190751445	619693.55145	262143.5	0.020042911906349836	0.15152803468208093
KBS0801	KBS0801-B	2	0.1398576191057143	0.452232361	1.0665855635935487e-06	3.318559623669605e-07	4.325710628978009	0.3986113694850366	125871.85719514286	32767.5	0.017647496074471268	0.036408333333333334	407009.12490000005	131071.5	0.0194111475142154	0.145635
KBS0801	KBS0801-C	3	0.15054019869285715	0.406119347	9.248501794142609e-07	2.537751091069292e-07	4.844549581777778	0.4441669545690408	261939.94572557142	65535.5	0.018748829751309138	0.03766408045977011	706647.6637800001	262143.5	0.020240241184931722	0.15065718390804597
KBS0802	KBS0802-B	2	0.16107089349268292	0.404826641	1.6544205896596985e-06	5.238427759151682e-07	4.567376198498766	0.2238381234854135	21744.570621512194	8191.5	0.015024366632429531	0.060677777777777775	54651.596535	16383.5	0.01641081962612858	0.12135925925925926
KBS0812	KBS0812-B	2	0.17052910655043105	0.809654713	1.1930574117774117e-05	3.6098765501485757e-06	5.463939284278542	0.06927055891544362	296720.64539775	131071.5	0.018975726289564766	0.07532844827586208	1408799.20062	524287.5	0.02132153921189249	0.3013146551724138
