Species	locus_tag	refseq_id	annotation
KBS0715	FFG40_RS10545	WP015889560.1	acyl-CoA dehydrogenase
KBS0715	FFG40_RS04740	WP017886488.1	sigma-70 family RNA polymerase sigma factor
KBS0715	FFG40_RS02640	WP018760995.1	helix-turn-helix domain-containing protein
KBS0715	FFG40_RS05285	WP017886379.1	molecular chaperone DnaK
KBS0715	FFG40_RS05345	WP017886367.1	AAA domain-containing protein
KBS0715	FFG40_RS07615	WP015488887.1	LacI family DNA-binding transcriptional regulator
KBS0715	FFG40_RS10615	WP014049992.1	helix-turn-helix domain-containing protein
KBS0715	FFG40_RS15170	WP017888530.1	DHA2 family efflux MFS transporter permease subunit
KBS0715	FFG40_RS12200	WP017887327.1	helix-turn-helix domain-containing protein
KBS0715	FFG40_RS14065	WP017888845.1	mannitol-1-phosphate 5-dehydrogenase
KBS0715	FFG40_RS14140	WP017888829.1	HAMP domain-containing protein
KBS0715	FFG40_RS01105	WP018191823.1	phosphate ABC transporter ATP-binding protein
KBS0715	FFG40_RS02180	WP017887958.1	NCS2 family permease
KBS0715	FFG40_RS06635	WP020098135.1	Gfo/Idh/MocA family oxidoreductase
KBS0715	FFG40_RS13320	WP005264067.1	gluconate transporter
KBS0715	FFG40_RS12750	WP017887197.1	phosphoribosyl-AMP cyclohydrolase
KBS0715	FFG40_RS12935	WP017887160.1	hypothetical protein
KBS0721	B0M43_RS04885	WP012023066.1	type IX secretion system membrane protein PorP/SprF
KBS0721	B0M43_RS06395	WP007809800.1	two-component sensor histidine kinase
KBS0722	FFI11_RS02040	WP017544097.1	trypsin-like serine protease
KBS0722	FFI11_RS16490	WP018171360.1	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme
KBS0722	FFI11_RS12805	WP014987154.1	nucleotidyltransferase domain-containing protein
KBS0722	FFI11_RS17015	WP020388261.1	YccF domain-containing protein
KBS0722	FFI11_RS18785	WP013772173.1	transcription-repair coupling factor
KBS0722	FFI11_RS02750	WP015031728.1	cell division protein ZapE
KBS0722	FFI11_RS05640	WP013885059.1	Na(+)/H(+) antiporter subunit C
KBS0722	FFI11_RS08360	WP012865786.1	HAD-IIB family hydrolase
KBS0724	FFI94_RS00335	WP005263410.1	glutamate synthase large subunit
KBS0724	FFI94_RS00970	WP019746392.1	Ig-like domain repeat protein
KBS0724	FFI94_RS32905	WP005245084.1	cutinase family protein
KBS0801	FFI87_RS31035	WP012372410.1	Ig-like domain repeat protein
KBS0801	FFI87_RS02870	WP006400402.1	histone H1
KBS0801	FFI87_RS19040	WP011694851.1	hemagglutinin
KBS0801	FFI87_RS13180	WP012364521.1	hypothetical protein
KBS0801	FFI87_RS15555	WP006763239.1	LysR family transcriptional regulator
KBS0801	FFI87_RS29810	WP014726283.1	branched-chain amino acid ABC transporter substrate-binding protein
KBS0801	FFI87_RS01070	YP109880.1	branched-chain amino acid ABC transporter substrate-binding protein
KBS0801	FFI87_RS04970	YP109111.1	30S ribosomal protein S1
KBS0801	FFI87_RS08125	WP006400141.1	ABC transporter permease
KBS0801	FFI87_RS12125	YP107714.1	sodium:solute symporter family protein
KBS0801	FFI87_RS15990	WP011353482.1	5-formyltetrahydrofolate cyclo-ligase
KBS0801	FFI87_RS20345	WP012337267.1	aldehyde dehydrogenase family protein
KBS0801	FFI87_RS27320	WP012217585.1	LysR family transcriptional regulator
KBS0801	FFI87_RS31080	WP006498174.1	peptidase S8/S53 subtilisin kexin sedolisin
