Taxon	G_score	p_value	p_value_BH
ATCC13985	4.215367103292495	9.999000099990002e-05	0.00016665000166650004
KBS0702	2.1152952771457825	0.07779222077792221	0.09724027597240276
KBS0705	4.9399789671192655	9.999000099990002e-05	0.00016665000166650004
KBS0711	4.2193296949524735	9.999000099990002e-05	0.00016665000166650004
KBS0712	4.087497081375544	9.999000099990002e-05	0.00016665000166650004
KBS0715	5.1588923768431	9.999000099990002e-05	0.00016665000166650004
KBS0721	4.483740279955715	0.9145085491450855	0.9145085491450855
KBS0722	4.056114239324928	0.016198380161983803	0.023140543088548293
KBS0724	8.036166828343923	9.999000099990002e-05	0.00016665000166650004
KBS0801	5.487779356600597	0.10038996100389962	0.11154440111544402
