type	number	misc	seq_id	start	finish
UN	3010	.	G_contig000001	1	32
UN	3011	.	G_contig000001	42	42
UN	3012	.	G_contig000001	1160	1161
UN	3013	.	G_contig000001	4510	4511
UN	3014	.	G_contig000001	4514	4515
UN	3015	.	G_contig000001	4517	4517
UN	3016	.	G_contig000001	4519	4520
UN	3017	.	G_contig000001	4522	4522
UN	3018	.	G_contig000001	4806	4811
UN	3019	.	G_contig000001	21262	21262
UN	3020	.	G_contig000001	21267	21267
UN	3021	.	G_contig000001	21607	21614
UN	3022	.	G_contig000001	21619	21619
UN	3023	.	G_contig000001	28445	28446
UN	3024	.	G_contig000001	42452	42452
UN	3025	.	G_contig000001	42457	42458
UN	3026	.	G_contig000001	51495	51495
UN	3027	.	G_contig000001	51500	51504
UN	3028	.	G_contig000001	55202	55202
UN	3029	.	G_contig000001	55214	55214
UN	3030	.	G_contig000001	73323	73323
UN	3031	.	G_contig000001	73325	73325
UN	3032	.	G_contig000001	73327	73327
UN	3033	.	G_contig000001	73329	73329
UN	3034	.	G_contig000001	73331	73332
UN	3035	.	G_contig000001	73334	73354
UN	3036	.	G_contig000001	123972	123979
UN	3037	.	G_contig000001	124086	124141
UN	3038	.	G_contig000001	125526	125539
UN	3039	.	G_contig000001	125640	125696
UN	3040	.	G_contig000001	185617	185620
UN	3041	.	G_contig000001	187729	187729
UN	3042	.	G_contig000001	187731	187732
UN	3043	.	G_contig000002	1	84
UN	3044	.	G_contig000002	42568	42568
UN	3045	.	G_contig000002	42570	42570
UN	3046	.	G_contig000002	42583	42583
UN	3047	.	G_contig000002	66200	66200
UN	3048	.	G_contig000002	66202	66202
UN	3049	.	G_contig000002	71864	71881
UN	3050	.	G_contig000002	82626	82626
UN	3051	.	G_contig000002	82631	82631
UN	3052	.	G_contig000002	82634	82635
UN	3053	.	G_contig000002	82640	82641
UN	3054	.	G_contig000002	82654	82659
UN	3055	.	G_contig000002	82661	82661
UN	3056	.	G_contig000002	82684	82684
