"Species"	"beta"	"alpha"	"mttf"	"N_0"	"N_final"	"beta.log10"	"mttf.log10"	"delta_N.log10"	"beta.log10.se"	"mttf.log10.se"	"pooled.log10.mttf.se"	"pooled.alpha.se"	"log10.N_0"	"log10.N_0.se"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Decay"	"Evol"	"Rmax"	"Wopt"	"Breadth"	"Mpamin"	"O2tol"	"A"	"umax"	"Lag"	"Biof"	"Mot"
"ATCC13985"	"ATCC13985"	25.0948047979162	0.500370004332553	42.1180854352532	8.3e+08	1380000	1.17210834640198	1.53982033923738	8.79447804936027	0.284417157121336	0.163555028963231	0.0317730445655594	0.0225644896616986	8.79512895481695	0.195580136471456	"Proteobacteria"	"GammaProteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	0.00601719	-3.48e-06	NA	NA	NA	NA	0.1399	1.461	0.2781	7.88	0.12	0.243
"ATCC43928"	"ATCC43928"	3.47201452572696	0.362686516001186	15.7804855257841	8.3e+08	688750	0.514721853742791	1.19281105563726	8.81816829836431	0.0852512426768323	0.0400839409490183	0.0360933194031863	0.0165474173552914	8.81850767100203	0.178306464279349	"Proteobacteria"	"GammaProteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	0.008394137	-8.01e-06	NA	NA	NA	NA	0.111	1.527	0.3151	8.42	0.084	0.198
"KBS0701"	"KBS0701"	0.638042494659128	0.330330984137322	2.22218643734834	2.42e+08	4323.33333333333	-0.691484560239509	0.245754172291458	8.37728784381447	0.311288885187789	0.134539328699301	0.0553457190234436	0.0103206966503935	8.377295878911	0.033281417066783	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	0.016852733	-1.94e-05	58.9	-7e-04	7e-04	-0.0659	0.5246	2.182	0.0777	5.41	0.166	0.208
"KBS0702"	"KBS0702"	20.2720369366763	0.577080995441779	32.2747754333326	2270333333.33333	529333.333333333	1.29759757052137	1.50567262109311	9.34180594680436	0.0409509560756704	0.0239951708012062	0.0218724540096599	0.0143280623503757	9.34189741180129	0.0497720144613198	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"	0.0039329	0	64.1	-0.0464	0.0097	-0.3986	0.1966	2.937	0.1151	4.26	0.105	0.417
"KBS0703"	"KBS0703"	17.1298899432587	0.481883893538222	35.5714099926968	6461666666.66667	1680000	1.13032367559941	1.47230130077431	9.28600213945141	0.13861154333866	0.125605233773132	0.0215406255371346	0.0141845428265009	9.2869961658403	0.307834199685639	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"	0.003224352	0	69.6	-0.0093	0.0211	-0.3034	0.3721	2.319	0.1184	4.38	0.193	0.208
"KBS0705"	"KBS0705"	3.60527925981724	0.353196092884857	16.700938277221	277500000	514750	0.396473912319472	1.20667945828589	8.43986730683185	0.204299471868454	0.0721616857802145	0.0444254770056905	0.0207084009175051	8.44069776516993	0.0268210924491943	"Proteobacteria"	"AlphaProteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Inquilinus"	0.012986348	-1.41e-05	74.3	-0.099	0.0225	-0.1198	0.3381	1.081	0.0318	7.01	0.206	0.25
"KBS0706"	"KBS0706"	113.748063406088	0.778014165694687	131.624985296638	114500000	610000	2.04883151596885	2.11585060840258	8.04710449868333	0.0458917085994292	0.0320850589930189	0.0193048888079043	0.0324014178189669	8.04950450980185	0.0531746567982818	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Mycobacterium"	0.0014104	0	45.6	-0.0106	0.0048	-0.0477	0.1132	1.832	0.0325	18.1	1.989	0.25
"KBS0707"	"KBS0707"	5.14145883338858	0.311679553493495	41.3761392203087	16425000	249750	0.700300101929145	1.59754408998544	7.20381935854175	0.0558269070689308	0.0776195163080221	0.0307776788896045	0.0232267676992415	7.21088281113985	0.0374017255437583	"Proteobacteria"	"GammaProteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	0.005504779	-4.37e-06	64.3	-0.037	0.0314	-0.0893	0.6158	0.279	0.013	2.58	0.257	0.292
"KBS0710"	"KBS0710"	2.45500422250838	0.368857124062922	9.37213455211354	1241761010.15268	672375	0.280092537896572	0.962281740713438	9.08168845709873	0.195514540724568	0.0533252025137534	0.0419510948613466	0.0148126513596364	9.0818902602325	0.0590987742590274	"Proteobacteria"	"GammaProteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	0.007026072	-3.83e-06	58.8	-0.001	0.0973	-0.1277	1.0205	1.803	0.083	6.26	0.528	2.75
"KBS0711"	"KBS0711"	0.651415197941654	0.314491631654588	3.93255297361117	1847500000	466000	-0.405844801644207	0.546350801398569	9.18164690867307	0.272322128387013	0.118472525628986	0.0342263534850096	0.00948859722538865	9.18174273304999	0.176144305018165	"Proteobacteria"	"BetaProteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	0.008339295	-2.95e-06	64	-0.001	0.0058	-0.0093	0.2308	1.672	0.1062	6.47	1.757	1.042
"KBS0712"	"KBS0712"	1.14223170709145	0.277440087057863	12.7416827974591	1.47e+09	1207500	-0.131543651989465	1.10383948122311	9.16581926516607	0.266873626907929	0.0202180331524367	0.031333906684849	0.0142289502043261	9.16616599857305	0.0181647382569128	"Proteobacteria"	"BetaProteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	0.00144076	0	NA	NA	NA	NA	NA	1.582	0.0459	10.28	0.636	1.875
"KBS0713"	"KBS0713"	0.412600541400592	0.258489553644616	6.92252590538937	1.565e+09	1227500	-0.519970670924774	0.826867922754825	9.18110892178429	0.198079338935259	0.0650575348896565	0.0298330970402416	0.0103914226955144	9.18143727087407	0.0603508129370738	"Proteobacteria"	"GammaProteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Yersinia"	0.008698862	-8.25e-06	90	-0.0025	1e-04	-0.0084	0.4186	1.981	0.0282	0.47	0.297	1.875
