strain	betHedge	deltaActive	deltaDead	deltaDormant
ATCC13985	0.116566627	-0.546625155	-0.301912704	0.848537859
ATCC43928	0.103596215	-0.535409713	-0.317704881	0.853114594
KBS0701	0.224370174	-0.775227844	0.034984314	0.74024349
KBS0702	0.360279954	-0.510785507	0.350286184	0.160499324
KBS0703	0.084876935	-0.78123852	0.326826061	0.454476686
KBS0705	0.174603175	-0.795470441	0.150439981	0.645030461
KBS0706	0.093171296	-0.902770218	0.548083337	0.354389969
KBS0707	0.235853659	-0.409751461	-0.245366373	0.655117835
KBS0710	0.464584065	-0.525017309	0.231908373	0.293108936
KBS0711	0.910640732	-0.088359982	0.066522638	0.021837344
KBS0711W	0.10871162	-0.792942307	0.245937147	0.54700516
KBS0712	0.273890725	-0.560419653	0.271489627	0.288930027
KBS0713	0.175987064	-0.811030272	0.032208586	0.778821686
KBS0715	0.521874513	-0.025815292	-0.191765608	0.2175809
KBS0721	0.665067836	-0.33299861	0.034217861	0.298780749
KBS0722	0.149201402	-0.208108188	-0.289581176	0.497689364
KBS0724	0.200483092	-0.754385433	0.098522822	0.655862611
KBS0801	0.486906819	-0.261931674	-0.052669141	0.350490752
KBS0802	0.135585586	-0.649992295	-0.197608883	0.847601177
KBS0812	0.695859873	-0.029658569	0.27678759	-0.247129022
