"strain"	"betHedge"	"deltaActive"	"deltaDead"	"deltaDormant"
"22"	"ATCC13985"	0.116566627	-0.546625155	-0.30191270375	0.84853785875
"23"	"ATCC43928"	0.103596215	-0.535409713	-0.31770488075	0.85311459375
"24"	"KBS0701"	0.224370174	-0.775227844	0.034984314	0.74024348975
"25"	"KBS0702"	0.360279954	-0.510785507333333	0.350286183666667	0.160499324
"26"	"KBS0703"	0.084876935	-0.781238520333333	0.3268260605	0.454476685833333
"27"	"KBS0705"	0.174603175	-0.795470441333333	0.150439980666667	0.645030460666667
"28"	"KBS0706"	0.093171296	-0.902770218	0.5480833365	0.35438996925
"29"	"KBS0707"	0.235853659	-0.40975146125	-0.24536637275	0.6551178345
"30"	"KBS0710"	0.464584065	-0.5250173085	0.231908373	0.29310893575
"31"	"KBS0711"	0.910640732	-0.0883599822	0.066522638	0.0218373444
"32"	"KBS0711W"	0.10871162	-0.792942307	0.245937147	0.54700516
"33"	"KBS0712"	0.273890725	-0.56041965325	0.27148962675	0.28893002675
"34"	"KBS0713"	0.175987064	-0.81103027175	0.0322085855	0.77882168625
"35"	"KBS0715"	0.521874513	-0.02581529225	-0.19176560775	0.21758090025
"36"	"KBS0721"	0.665067836	-0.3329986095	0.034217861	0.2987807485
"37"	"KBS0722"	0.149201402	-0.20810818825	-0.2895811755	0.49768936375
"38"	"KBS0724"	0.200483092	-0.754385433	0.098522822	0.655862611
"41"	"KBS0801"	0.486906819	-0.2619316735	-0.052669141	0.35049075225
"42"	"KBS0802"	0.135585586	-0.64999229475	-0.19760888275	0.84760117675
"43"	"KBS0812"	0.695859873	-0.0296585685	0.27678758975	-0.247129022
