Strain	Active	Dead	Dormant
KBS0701	0.775573466	5.63603E-05	0.224370174
KBS0702	0.513098754	0.126621292	0.360279954
KBS0703	0.784445572	0.130677493	0.084876935
KBS0705	0.797313797	0.028083028	0.174603175
KBS0706	0.90306713	0.003761574	0.093171296
KBS0707	0.410243902	0.353902439	0.235853659
KBS0710	0.528115128	0.007300807	0.464584065
KBS0711	0.089130435	0.000228833	0.910640732
KBS0711W	0.793301014	0.097987366	0.10871162
KBS0712	0.569720835	0.15638844	0.273890725
KBS0713	0.814041234	0.009971702	0.175987064
KBS0714	0.060483871	0.826612903	0.112903226
KBS0715	0.026156002	0.451969485	0.521874513
KBS0721	0.33315061	0.001781554	0.665067836
KBS0722	0.236462797	0.614335801	0.149201402
KBS0724	0.754830918	0.04468599	0.200483092
KBS0801	0.262794098	0.214409145	0.486906819
KBS0802	0.650675676	0.213738739	0.135585586
KBS0812	0.045382166	0.258757962	0.695859873
ATCC13985	0.549219688	0.334213685	0.116566627
ATCC43928	0.541324921	0.355078864	0.103596215
