Strain	Active	Dead	Dormant
KBS0701A	0	0.047127469	0.952872531
KBS0701B	0.001382488	0.05437788	0.944239631
KBS0701E	0	0.015684908	0.984315092
KBS0701F	0	0.022972599	0.977027401
KBS0702A	0.003140265	0.58897418	0.407885555
KBS0702B	0.002658691	0.659687604	0.337653706
KBS0702C	0.000194326	0.617372717	0.382432958
KBS0702D	0.001321877	0.457149152	0.541528971
KBS0702E	0.004987531	0.262953727	0.732058742
KBS0702F	0.00157679	0.275307474	0.723115736
KBS0703A	0.006862745	0.606862745	0.38627451
KBS0703B	0.002586653	0.529229177	0.46818417
KBS0703C	0.001926782	0.66088632	0.337572254
KBS0703D	0.005269321	0.611241218	0.383489461
KBS0703E	0.001432665	0.2669532	0.731614136
KBS0703F	0.001164144	0.069848661	0.928987194
KBS0705B	0.000392157	0.11372549	0.885882353
KBS0705C	0.002350176	0.089306698	0.908343126
KBS0705D	0.002787734	0.332536838	0.664675428
KBS0706A	0	0.757489301	0.242510699
KBS0706B	0.001187648	0.629453682	0.368171021
KBS0706C	0	0.38974359	0.61025641
KBS0706D	0	0.430693069	0.569306931
KBS0707A	0.000250564	0.134552744	0.865196693
KBS0707B	0.000354988	0.104721335	0.894923678
KBS0707C	0.001035912	0.110497238	0.888466851
KBS0707D	0.000328299	0.084372948	0.915298752
KBS0710A	0.002401537	0.146974063	0.8506244
KBS0710B	0.004329004	0.207792208	0.787878788
KBS0710C	0.003903709	0.34027326	0.655823032
KBS0710D	0.001757028	0.261797189	0.736445783
KBS0711A	0.00140779	0.044580009	0.954012201
KBS0711B	0	0.04048583	0.95951417
KBS0711C	0.000959693	0.056142035	0.942898273
KBS0711K	0	0.130188679	0.869811321
KBS0711L	0.001484781	0.062360802	0.936154417
KBS0711WA	0.000728863	0.269193392	0.730077745
KBS0711WB	0.000705965	0.368866926	0.630427109
KBS0711WC	0	0.357986111	0.642013889
KBS0711WD	0	0.379651623	0.620348377
KBS0712A	0.008460237	0.608009024	0.383530739
KBS0712B	0.00384481	0.531981825	0.464173366
KBS0712C	0.017901235	0.362345679	0.619753086
KBS0712D	0.006998445	0.209175739	0.783825816
KBS0713A	0.005231689	0.052316891	0.94245142
KBS0713B	0.001555512	0.069414738	0.929029749
KBS0713C	0.00338524	0.028943805	0.967670955
KBS0713D	0.001871408	0.018045716	0.980082877
KBS0715A	0.000593428	0.25265188	0.746754692
KBS0715B	0.000289855	0.270289855	0.72942029
KBS0715C	0.000346789	0.09945901	0.900194202
KBS0715D	0.000132767	0.418414764	0.581452469
KBS0721A	0	0.04517134	0.95482866
KBS0721B	0.000352051	0.02041894	0.979229009
KBS0721C	0.000255951	0.052469926	0.947274123
KBS0721D	0	0.025937454	0.974062546
KBS0722A	0.032258065	0.407258065	0.560483871
KBS0722B	0.017766497	0.299492386	0.682741117
KBS0722C	0.017766497	0.299492386	0.682741117
KBS0722D	0.045627376	0.292775665	0.661596958
KBS0724A	0	0.182325581	0.817674419
KBS0724B	0.000719166	0.167206041	0.832074793
KBS0724C	0.000521648	0.09181012	0.907668232
KBS0724D	0.000541126	0.131493506	0.867965368
KBS0727B	0.001113409	0.399395578	0.599491013
KBS0727C	0.000431593	0.508416055	0.491152352
KBS0727D	0.00064697	0.387750701	0.611602329
KBS0801A	0	0.272857827	0.727142173
KBS0801B	0	0.175976634	0.824023366
KBS0801C	0.00065445	0.113219895	0.886125654
KBS0801D	0.002795248	0.08490566	0.912299092
KBS0802A	0.001165954	0.018784817	0.980049229
KBS0802B	0.000716239	0.010678474	0.988605287
KBS0802C	0.000420557	0.014551266	0.985028177
KBS0802D	0.000430775	0.020504868	0.979064358
KBS0812A	0.013333333	0.434666667	0.552
KBS0812B	0.016415869	0.604651163	0.378932969
KBS0812C	0.021909233	0.61971831	0.358372457
KBS0812D	0.011235955	0.483146067	0.505617978
ATCC13985A	0.002648617	0.03090053	0.966450853
ATCC13985B	0.001971091	0.035151117	0.962877792
ATCC13985C	0.001925958	0.031671303	0.966402739
ATCC13985D	0.003832466	0.031480975	0.964686559
ATCC43928A	0.000718735	0.051748922	0.947532343
ATCC43928B	0.000113546	0.023504031	0.976382423
ATCC43928C	0.005496771	0.028583207	0.965920022
ATCC43928D	0.01733178	0.045659773	0.937008447
