Genus	Number_sites	Sample_mean_rel_abund	CI025_mean_rel_abund	CI975_mean_rel_abund	Sample_mean_N	CI025_mean_N	CI975_mean_N
Bradyrhizobium	8280	0.000115029376024	0.000111317601875	0.000118783349997	2.94015085117e+25	2.84527790394e+25	3.03610242592e+25
Yersinia	2149	6.90039484975e-05	6.50972729523e-05	7.32650965966e-05	1.7637409236e+25	1.66388629666e+25	1.87265586901e+25
Burkholderia	14985	0.000226404100824	0.000219934546335	0.000233100304192	5.78688881707e+25	5.62152700433e+25	5.95804377516e+25
Pedobacter	14363	0.000392097010045	0.000377114708178	0.000407065108459	1.00219995767e+26	9.63905194102e+25	1.04045841722e+26
Rhodococcus	11760	0.000168138568466	0.000162198379858	0.00017443874365	4.29762181e+25	4.14579058918e+25	4.4586542877e+25
Flavobacterium	19182	0.00132471850347	0.00128079877297	0.00136929692354	3.38598049486e+26	3.27372166371e+26	3.49992293658e+26
Variovorax	9873	9.06454616172e-05	8.80747417465e-05	9.322028221e-05	2.31689799894e+25	2.25119039904e+25	2.38271041329e+25
Inquilinus	4083	6.65019194525e-05	6.30552387974e-05	7.00308973377e-05	1.69978906121e+25	1.61169190366e+25	1.78998973595e+25
Curtobacterium	4077	6.67526962991e-05	6.31038050222e-05	7.05560690117e-05	1.70619891741e+25	1.61293325637e+25	1.80341312394e+25
Bacillus	20311	0.000716987447362	0.000693573919582	0.000741226257053	1.83261991546e+26	1.77277493845e+26	1.89457431303e+26
Janthinobacterium	13879	0.000379340788991	0.000366408451922	0.000392271124586	9.6959505666e+25	9.36540003112e+25	1.00264499444e+26
Pseudomonas	23316	0.00139835182103	0.00135395201477	0.00144550325339	3.57418725456e+26	3.46070134974e+26	3.69470631565e+26
Arthrobacter	14700	0.000646763742276	0.000618940898066	0.000675329201555	1.65312812526e+26	1.58201293546e+26	1.72614143918e+26
Terriglobus	4401	8.14293158895e-05	7.77714193305e-05	8.51694627826e-05	2.08133331414e+25	1.98783747809e+25	2.17693146872e+25
Mycobacterium	17154	0.000442526228613	0.000430230216268	0.000455044453735	1.13109704034e+26	1.09966843278e+26	1.16309362375e+26
