strains decay evolvability N0
ATCC13985 0.00433052711057862 -1.65043074334895e-06 6.98292628467615
ATCC43928 0.00589616655164181 -3.69624552792687e-06 6.79884227475771
KBS0701 0.0146735036266772 -1.6278769093475e-05 5.73127614977981
KBS0702 0.00418640517115079 -8.77690169025625e-07 7.16109495903906
KBS0703 0.00509756769955248 -1.87615525101838e-06 7.30081241822983
KBS0704 0.523579158256199 -0.00576159311496976 6.95667400220177
KBS0705 0.00906410622304273 -8.52112046556116e-06 6.68034474692644
KBS0706 0.00177479190055795 0 6.35110522724099
KBS0707 0.00621558556971541 -5.09030586548033e-06 5.67888408338841
KBS0710 0.00673078511343824 -3.41525575525972e-06 6.85262063737189
KBS0711 0.00816670951011302 -2.57754529827357e-06 6.37582955323352
KBS0711W 0.00990325194798365 -8.80393638546531e-06 6.60011536997426
KBS0712 0.0017355998657079 0 6.50466842089724
KBS0713 0.00674130915853421 -5.3172110050158e-06 6.7809941607769
KBS0714 0.0210587077234403 0 5.17971350852622
KBS0715 0.00568988355658238 -4.56266820398426e-06 5.72861963452274
KBS0721 0.00754531085342335 -5.27477928704408e-06 6.17696327769305
KBS0722 0.00173016547701232 0 6.66314893160257
KBS0724 0.00869399817679232 -5.19716784314239e-06 6.66514361669299
KBS0725 0.00894633311236361 0 6.94001200205708
KBS0727 0.00706857848866148 0 6.7071650884567
KBS0801 0.00414150089847975 -1.33948332036695e-06 7.53271169692455
KBS0802 0.0112360912638122 -8.57163383090857e-06 7.07182610062088
KBS0812 4.82004836428885e-05 0 5.03057302400164
KBS0816 0.0796654301024491 0 5.23425520828677
