strain rep decay evolvability N0
ATCC13985 1 -0.00769061634259899 5.6556614787112e-06 7.45049087656551
ATCC13985 2 -0.00744924516886803 5.59451098974387e-06 7.3820424588056
ATCC13985 3 -0.0032626630815218 0 6.8225706259569
ATCC13985 4 -0.00309414669598766 0 6.84382011524316
ATCC43928 1 -0.0097888005539257 6.96589992706652e-06 7.00042672538677
ATCC43928 2 -0.00982563255757004 6.83194305476059e-06 7.00775257219442
ATCC43928 3 -0.00179046843989473 0 6.59367291893133
ATCC43928 4 -0.00138913769812807 0 6.49469406357324
KBS0701 1 -0.0148807553508981 1.20717416157889e-05 6.16790368790896
KBS0701 2 -0.0152152993844741 1.31236548812908e-05 5.69611372385536
KBS0701 3 -0.0320932090213532 6.76342294512223e-05 6.63240620674593
KBS0701 4 -0.0137767268239812 0 6.16104968138666
KBS0701 5 -0.00379729783678981 0 4.72450423193251
KBS0701 6 -0.0140874242153274 1.22858721339089e-05 5.70218729404629
KBS0702 1 -0.00448731572028035 0 7.2437872156041
KBS0702 2 -0.00385560138923037 0 7.17356373044263
KBS0702 3 -0.00254984564736713 0 7.07752330399025
KBS0702 5 -0.00354747591038986 0 7.10613048761477
KBS0702 4 -0.00260677397085854 0 6.94878032186425
KBS0702 6 -0.00437066030524028 0 7.06211736911842
KBS0703 1 -0.00240798617173546 0 6.72948592886844
KBS0703 2 -0.00264197867502265 0 6.87324991744364
KBS0703 3 -0.00523974367507708 3.34724047547459e-06 7.09441973638018
KBS0703 4 -0.00500097831205887 3.15783249384825e-06 7.05051786296594
KBS0703 6 -0.0051559293792481 0 7.85132637710604
KBS0703 5 -0.00601192676438461 0 7.67335791814845
KBS0704 5 -0.533465632305745 0 7.7765331140394
KBS0704 6 -1.11027283608028 0.0403308665074753 8.00169910737134
KBS0704 8 -0.530083717645346 0 7.72599054086464
KBS0704 9 -0.372267482918976 0 6.20861335973734
KBS0704 10 -0.402832235782918 0 6.45048761906684
KBS0704 11 -0.366369539360802 0 6.33636683024203
KBS0704 12 -0.349741130375135 0 6.19704770681958
KBS0705 1 -0.0165434371391693 1.94449353759598e-05 7.22763247283851
KBS0705 2 -0.00931911278752871 8.96064390206593e-06 6.82887071529079
KBS0705 3 -0.00676677619554747 5.68456052828148e-06 6.5623399711505
KBS0705 4 -0.0106329369628289 8.72866936371841e-06 6.88786151464857
KBS0706 1 -0.0017772511545901 0 6.34658918988409
KBS0706 2 -0.00185606903086079 0 6.38228224713981
KBS0706 3 -0.00159146728632482 0 6.35062256420484
KBS0706 4 -0.00165261997320108 0 6.2699897040748
KBS0707 1 -0.0055479396472373 4.48923076493475e-06 5.68969847987525
KBS0707 2 -0.00742667662263007 6.84393970257257e-06 5.7862265493942
KBS0707 3 -0.00777222836686627 6.66758246148731e-06 5.76761921659922
KBS0707 4 -0.0064455163595417 5.51189969456413e-06 5.71962739720797
KBS0710 1 -0.0075231509146148 4.82444268895337e-06 7.14830669064028
KBS0710 2 -0.0076516153567809 5.28532674304683e-06 7.08707705305733
KBS0710 3 -0.00415826527491831 0 6.50012134577468
KBS0710 4 -0.00457996447848043 0 6.34467786593718
KBS0711 1 -0.00845493228381123 5.98584002788902e-06 6.4911164785544
KBS0711 2 -0.00782794336458173 5.80167473785813e-06 6.35842329975217
KBS0711 3 -0.00856857428352657 6.95594916212797e-06 6.50135611891778
KBS0711 4 -0.0172818777472699 0 7.45397725369305
KBS0711 11 -0.00066172987860882 0 5.11072279864089
KBS0711 12 -0.0131763249911116 0 7.34132441204483
KBS0711 10 -0.000643749605652951 0 5.07014675146859
KBS0711W 1 -0.0100186813553549 9.35178168957505e-06 6.68756230371656
KBS0711W 2 -0.0144271760319229 1.41026744094359e-05 7.06772671785862
KBS0711W 3 -0.0109908058123976 1.06042139059339e-05 6.71959040503547
KBS0711W 4 -0.0091559524911573 9.02438872208426e-06 6.40915932778736
KBS0712 1 -0.00210191697930694 0 6.56905052556148
KBS0712 2 -0.00175771149735142 0 6.48459243800189
KBS0712 3 -0.00204134800819565 0 6.53593492030897
KBS0712 4 -0.00098606585994616 0 6.41663480939014
KBS0713 3 -0.00798013543543553 7.41784617061615e-06 6.93598471629015
KBS0713 4 -0.00762572739650982 6.24913487558032e-06 6.9114380630456
KBS0713 1 -0.00743640893403158 6.34453847871218e-06 6.80110727639534
KBS0713 2 -0.00696451708939994 5.37532525156152e-06 6.79174633247636
KBS0714 1 -0.0211905122446838 0 5.17966698259726
KBS0714 2 -0.0211040002204631 0 5.16795728213468
KBS0714 3 -0.0204046987425255 0 5.11428910396824
KBS0714 4 -0.0215352301120616 0 5.25696851449374
KBS0715 1 -0.00713226470111575 6.53290753464053e-06 5.97463942790734
KBS0715 2 -0.0062591983436857 5.51098615970907e-06 5.67487885252312
KBS0715 3 -0.00719155420258488 6.60502493949281e-06 5.81997586303099
KBS0715 4 -0.00736349006223228 6.5857461069412e-06 6.0164325286094
KBS0721 1 -0.00671248897784266 4.10720490436088e-06 6.10136783040115
KBS0721 2 -0.00811759921090973 6.11400476085257e-06 6.29355675181748
KBS0721 3 -0.0081711474408598 6.38362128470818e-06 6.19339015443161
KBS0721 4 -0.00807216867813146 5.7284611379827e-06 6.21641154332353
KBS0722 1 -0.00187621692641168 0 6.70508677059208
KBS0722 2 -0.00132812752671512 0 6.55052018139722
KBS0722 3 -0.00158624599817501 0 6.66667899691317
KBS0722 4 -0.00168459461974987 0 6.60444127548898
KBS0724 1 -0.00991676036643029 6.56597612172058e-06 6.792193525611
KBS0724 2 -0.00834206545285954 5.06072055105551e-06 6.65765984605027
KBS0724 3 -0.00781480018573339 3.99320004065752e-06 6.57459323931077
KBS0724 4 -0.00863683904915114 5.09830400974472e-06 6.62752916789351
KBS0725 1 -0.00829522583431213 0 6.78938755158762
KBS0725 2 -0.00883470572734446 0 6.98122480204376
KBS0725 3 -0.00929868093575365 0 7.02687398839469
KBS0725 4 -0.0093560361987495 0 6.96227363977674
KBS0727 1 -0.00594329328030298 0 6.45633084308221
KBS0727 2 -0.00674605924310966 0 6.71703071819074
KBS0727 3 -0.00789205120717165 0 6.83611774839378
KBS0727 4 -0.00769253307886325 0 6.8193032112312
KBS0801 1 -0.00320528820874884 0 7.43475564045258
KBS0801 2 -0.00327544676315084 0 7.46329578334478
KBS0801 3 -0.00322585217751779 0 7.47255904619702
KBS0801 4 -0.00305420434964266 0 7.40127602033185
KBS0802 1 -0.0124828751397957 1.01425775349638e-05 7.22799206891716
KBS0802 2 -0.0125205324426411 1.05341225822681e-05 7.1726903214227
KBS0802 3 -0.0125551625735589 1.02892842282888e-05 7.21788714771566
KBS0802 4 -0.0120539128359618 9.60838076537989e-06 7.20586406055396
KBS0812 1 -2.97051138373781e-05 0 5.01192696293413
KBS0812 2 -7.58058924805253e-05 0 5.11014839166574
KBS0812 3 -7.87357681184886e-05 0 5.03851918170702
KBS0812 4 3.43872300534299e-05 0 4.94867899168133
KBS0816 1 -0.0813473214291507 0 5.35214385470232
KBS0816 2 -0.0801791153801981 0 5.20766058632966
KBS0816 3 -0.0772233404603137 0 5.3829562047523
KBS0816 4 -0.0799146475056754 0 4.99445330547654
