type	number	misc	seq_id	start	finish
UN	15420	.	G_contig000023	1	5996
UN	15421	.	G_contig000023	6002	6002
UN	15422	.	G_contig000023	6032	6032
UN	15423	.	G_contig000023	6049	6049
UN	15424	.	G_contig000023	6051	6424
UN	15425	.	G_contig000023	6427	6428
UN	15426	.	G_contig000023	6431	6431
UN	15427	.	G_contig000023	6434	6434
UN	15428	.	G_contig000023	6436	6436
UN	15429	.	G_contig000023	6439	6440
UN	15430	.	G_contig000023	6443	6443
UN	15431	.	G_contig000023	6446	6446
UN	15432	.	G_contig000023	6448	6448
UN	15433	.	G_contig000023	6455	6458
UN	15434	.	G_contig000023	6464	6464
UN	15435	.	G_contig000023	6466	6471
UN	15436	.	G_contig000023	6473	6476
UN	15437	.	G_contig000023	6478	7038
UN	15438	.	G_contig000023	7043	7043
UN	15439	.	G_contig000023	7070	7070
UN	15440	.	G_contig000023	7079	7079
UN	15441	.	G_contig000023	7086	7376
UN	15442	.	G_contig000023	7432	7904
UN	15443	.	G_contig000023	7906	7906
UN	15444	.	G_contig000023	7908	7910
UN	15445	.	G_contig000023	7916	7916
UN	15446	.	G_contig000023	7964	7964
UN	15447	.	G_contig000023	7966	8116
UN	15448	.	G_contig000023	8162	8162
UN	15449	.	G_contig000023	8171	8171
UN	15450	.	G_contig000023	8216	8216
UN	15451	.	G_contig000023	8218	8219
UN	15452	.	G_contig000023	8221	8223
UN	15453	.	G_contig000023	8225	8558
UN	15454	.	G_contig000023	8561	8574
UN	15455	.	G_contig000023	8576	8576
UN	15456	.	G_contig000023	8579	8579
UN	15457	.	G_contig000023	8581	8582
UN	15458	.	G_contig000023	8584	8584
UN	15459	.	G_contig000023	8587	8591
UN	15460	.	G_contig000023	8593	8597
UN	15461	.	G_contig000023	8606	8891
UN	15462	.	G_contig000023	8894	8894
UN	15463	.	G_contig000023	8929	8929
UN	15464	.	G_contig000023	8959	9159
UN	15465	.	G_contig000023	9161	9164
UN	15466	.	G_contig000023	9166	9168
UN	15467	.	G_contig000023	9170	9170
UN	15468	.	G_contig000023	9172	9173
UN	15469	.	G_contig000023	9176	9176
UN	15470	.	G_contig000023	9185	9185
UN	15471	.	G_contig000023	9187	9188
UN	15472	.	G_contig000023	9190	9194
UN	15473	.	G_contig000023	9196	9197
UN	15474	.	G_contig000023	9199	9928
UN	15475	.	G_contig000023	9931	9931
UN	15476	.	G_contig000023	9944	9944
UN	15477	.	G_contig000023	9946	9946
UN	15478	.	G_contig000023	9984	9985
UN	15479	.	G_contig000023	9994	9995
UN	15480	.	G_contig000023	9997	10503
UN	15481	.	G_contig000023	10532	10532
UN	15482	.	G_contig000023	10538	10538
UN	15483	.	G_contig000023	10558	10957
UN	15484	.	G_contig000023	10982	10982
UN	15485	.	G_contig000023	10989	10989
UN	15486	.	G_contig000023	10991	10991
UN	15487	.	G_contig000023	10994	10994
UN	15488	.	G_contig000023	11003	11003
UN	15489	.	G_contig000023	11006	11006
UN	15490	.	G_contig000023	11010	11010
UN	15491	.	G_contig000023	11013	11013
UN	15492	.	G_contig000023	11045	11936
UN	15493	.	G_contig000023	11938	11939
UN	15494	.	G_contig000023	11942	11943
UN	15495	.	G_contig000023	11945	11945
UN	15496	.	G_contig000023	11947	11948
UN	15497	.	G_contig000023	11950	11952
UN	15498	.	G_contig000023	11954	11954
UN	15499	.	G_contig000023	11960	11960
UN	15500	.	G_contig000023	11962	11962
UN	15501	.	G_contig000023	11966	11966
UN	15502	.	G_contig000023	11968	11968
UN	15503	.	G_contig000023	11975	11975
UN	15504	.	G_contig000023	11978	11978
UN	15505	.	G_contig000023	11980	11980
UN	15506	.	G_contig000023	11984	11984
