strain,replicate,NT,HT,hours,dilution_V,dilution_S
SpoIIE,1,225,0,0,6,2
SpoIIE,2,321,0,0,6,2
SpoIIE,3,194,0,0,6,2
SpoIIE,4,206,0,0,6,2
SpoIIE,1,46,0,24,6,2
SpoIIE,2,35,0,24,6,2
SpoIIE,3,39,0,24,6,2
SpoIIE,4,34,0,24,6,2
SpoIIE,1,132,0,48,5,2
SpoIIE,2,203,0,48,5,2
SpoIIE,3,143,0,48,5,2
SpoIIE,4,183,0,48,5,2
SpoIIE,1,163,0,72,5,2
SpoIIE,2,141,0,72,5,2
SpoIIE,3,172,0,72,5,2
SpoIIE,4,181,0,72,5,2
SpoIIE,1,64,0,96,5,2
SpoIIE,2,75,0,96,5,2
SpoIIE,3,94,0,96,5,2
SpoIIE,4,83,0,96,5,2
SpoIIE,1,28,0,120,5,2
SpoIIE,2,33,0,120,5,2
SpoIIE,3,42,0,120,5,2
SpoIIE,4,47,0,120,5,2
SpoIIE,1,279,0,144,4,2
SpoIIE,2,261,0,144,4,2
SpoIIE,3,237,0,144,4,2
SpoIIE,4,282,0,144,4,2
SpoIIE,1,317,0,168,4,2
SpoIIE,2,336,0,168,4,2
SpoIIE,3,281,0,168,4,2
SpoIIE,4,257,0,168,4,2
SpoIIE,1,290,0,192,4,2
SpoIIE,2,276,0,192,4,2
SpoIIE,3,294,0,192,4,2
SpoIIE,4,291,0,192,4,2
SpoIIE,1,275,0,240,4,2
SpoIIE,2,313,0,240,4,2
SpoIIE,3,308,0,240,4,2
SpoIIE,4,286,0,240,4,2
SpoIIE,1,137,0,288,4,2
SpoIIE,2,122,0,288,4,2
SpoIIE,3,123,0,288,4,2
SpoIIE,4,130,0,288,4,2
SpoIIE,1,148,0,336,4,2
SpoIIE,2,121,0,336,4,2
SpoIIE,3,156,0,336,4,2
SpoIIE,4,167,0,336,4,2
SpoIIE,1,85,0,384,4,2
SpoIIE,2,95,0,384,4,2
SpoIIE,3,121,0,384,4,2
SpoIIE,4,136,0,384,4,2
SpoIIE,1,126,0,432,4,2
SpoIIE,2,103,0,432,4,2
SpoIIE,3,100,0,432,4,2
SpoIIE,4,119,0,432,4,2
SpoIIE,1,118,0,480,4,2
SpoIIE,2,114,0,480,4,2
SpoIIE,3,140,0,480,4,2
SpoIIE,4,135,0,480,4,2
wt,1,285,17,0,6,5
wt,2,306,21,0,6,5
wt,3,294,22,0,6,5
wt,4,357,25,0,6,5
wt,1,54,39,24,6,4
wt,2,39,28,24,6,4
wt,3,39,35,24,6,4
wt,4,34,27,24,6,4
wt,1,137,24,48,5,4
wt,2,158,29,48,5,4
wt,3,167,41,48,5,4
wt,4,194,23,48,5,4
wt,1,173,22,72,5,4
wt,2,155,29,72,5,4
wt,3,197,34,72,5,4
wt,4,210,34,72,5,4
wt,1,125,23,96,5,4
wt,2,106,24,96,5,4
wt,3,92,20,96,5,4
wt,4,100,33,96,5,4
wt,1,72,192,120,5,3
wt,2,53,205,120,5,3
wt,3,59,205,120,5,3
wt,4,35,215,120,5,3
wt,1,249,199,144,4,3
wt,2,227,231,144,4,3
wt,3,206,235,144,4,3
wt,4,223,215,144,4,3
wt,1,222,202,168,4,3
wt,2,237,241,168,4,3
wt,3,222,261,168,4,3
wt,4,218,232,168,4,3
wt,1,263,158,192,4,3
wt,2,210,240,192,4,3
wt,3,226,276,192,4,3
wt,4,221,241,192,4,3
wt,1,272,272,240,4,3
wt,2,239,242,240,4,3
wt,3,293,287,240,4,3
wt,4,251,276,240,4,3
wt,1,178,163,288,4,3
wt,2,120,166,288,4,3
wt,3,125,159,288,4,3
wt,4,146,177,288,4,3
wt,1,101,249,336,4,3
wt,2,151,241,336,4,3
wt,3,158,302,336,4,3
wt,4,103,235,336,4,3
wt,1,121,232,384,4,3
wt,2,112,256,384,4,3
wt,3,110,275,384,4,3
wt,4,107,272,384,4,3
wt,1,103,201,432,4,3
wt,2,103,234,432,4,3
wt,3,157,320,432,4,3
wt,4,158,275,432,4,3
wt,1,160,318,480,4,3
wt,2,148,341,480,4,3
wt,3,171,351,480,4,3
wt,4,138,258,480,4,3
