Strain	Number_reps	Weighted_mean	CI025_weighted_mean	CI975_weighted_mean
ATCC13985	4	48.2517718436	18.0426459282078	129.04057948663447
ATCC43928	4	55.1955245548	12.162349005232084	250.48992834936436
KBS0701	6	1.55686159195	0.005198982977970623	466.21003122115326
KBS0702	6	21.1590939123	4.004202342565516	111.80934850107883
KBS0703	6	57.8414627295	12.51147565628441	267.40529275707183
KBS0705	4	10.1201872219	0.02851500112742503	3591.7301545227983
KBS0706	4	124.770230571	49.57538012483197	314.01898276041993
KBS0707	4	26.4980249587	0.4005838524507797	1752.8048682399299
KBS0710	4	7.18469816318	1.0104786839724575	51.0845884378561
KBS0711	10	84.8643487168	14.988205362082555	480.5083403347031
KBS0712	4	9.37637802801	1.4589718057616688e-06	60259193.89047386
KBS0713	4	3.29806410232	5.087990368096528e-05	213782.3784257328
KBS0714	4	16.5239630624	6.721873355851742	40.61983034067554
KBS0715	4	0.5820341082	2.8071179784544006e-12	120680251314.06723
KBS0721	4	3.03537567393	0.10057937780370911	91.60431972296722
KBS0722	4	25.9547731253	1.1047014380807467	609.802997231335
KBS0724	4	18.5325670081	5.062301267528395	67.84583171923849
KBS0725	4	17.7560418807	7.886522389346167	39.9766852493146
KBS0727	4	13.4829769283	4.636751919231291	39.206468238067245
KBS0801	4	53.6919285439	18.721293778900645	153.98632299727336
KBS0802	4	16.0213534647	4.03593701096348	63.59954730299499
KBS0812	2	41748.1102739	21707.775719600457	80289.41951277995
