Dormstart_date,Firstread_date,Strain,Rep,Inoculum,Dilution,Colonies
11-Jan-13,11-Jan-13,KBS0710,1,100,6.22,82
11-Jan-13,11-Jan-13,KBS0710,2,100,6.22,99
18-Jan-13,18-Jan-13,KBS0701,1,100,6,30
18-Jan-13,18-Jan-13,KBS0703,1,100,6,73
18-Jan-13,18-Jan-13,KBS0702,1,100,5,1696
18-Jan-13,18-Jan-13,KBS0702,2,100,5,1544
18-Jan-13,22-Jan-13,KBS0701,2,100,6,3
18-Jan-13,22-Jan-13,KBS0703,2,100,6,4
22-Jan-13,22-Jan-13,KBS0704,4,100,6,243
22-Jan-13,22-Jan-13,KBS0710,3,100,6,92
22-Jan-13,22-Jan-13,KBS0710,4,100,6,99
23-Jan-13,23-Jan-13,KBS0701,3,100,6,21
23-Jan-13,23-Jan-13,KBS0701,4,100,6,22
11-Jan-13,23-Jan-13,KBS0710,1,100,6,27
11-Jan-13,23-Jan-13,KBS0710,2,100,6,28
24-Jan-13,24-Jan-13,KBS0711,1,100,6,279
24-Jan-13,24-Jan-13,KBS0711,2,100,6,47
24-Jan-13,24-Jan-13,KBS0711,3,100,6,154
24-Jan-13,24-Jan-13,KBS0711,4,100,6,255
18-Jan-13,25-Jan-13,KBS0701,1,100,5,32
18-Jan-13,25-Jan-13,KBS0701,2,100,5,20
18-Jan-13,25-Jan-13,KBS0703,1,100,5,55
18-Jan-13,25-Jan-13,KBS0703,2,100,5,151
18-Jan-13,25-Jan-13,KBS0702,1,100,6,38
18-Jan-13,25-Jan-13,KBS0702,2,100,6,66
25-Jan-13,25-Jan-13,KBS0712,1,100,6,143
25-Jan-13,25-Jan-13,KBS0712,2,100,6,145
25-Jan-13,25-Jan-13,KBS0712,3,100,6,133
25-Jan-13,25-Jan-13,KBS0712,4,100,6,163
22-Jan-13,29-Jan-13,KBS0710,3,100,5,512
22-Jan-13,29-Jan-13,KBS0710,4,100,5,589
28-Jan-13,29-Jan-13,KBS0725,1,100,6,82
28-Jan-13,29-Jan-13,KBS0725,2,100,6,73
28-Jan-13,29-Jan-13,KBS0725,3,100,6,121
28-Jan-13,29-Jan-13,KBS0725,4,100,6,122
28-Jan-13,29-Jan-13,KBS0727,1,100,6,103
28-Jan-13,29-Jan-13,KBS0727,2,100,6,113
28-Jan-13,29-Jan-13,KBS0727,3,100,6,70
28-Jan-13,29-Jan-13,KBS0727,4,100,6,82
23-Jan-13,30-Jan-13,KBS0701,3,100,5,13
23-Jan-13,30-Jan-13,KBS0701,4,100,5,12
24-Jan-13,31-Jan-13,KBS0711,1,100,5,114
24-Jan-13,31-Jan-13,KBS0711,2,100,5,134
24-Jan-13,31-Jan-13,KBS0711,3,100,5,182
24-Jan-13,31-Jan-13,KBS0711,4,100,5,165
31-Jan-13,31-Jan-13,KBS0719,1,100,6,35
31-Jan-13,31-Jan-13,KBS0719,2,100,6,51
31-Jan-13,31-Jan-13,KBS0719,3,100,6,57
31-Jan-13,31-Jan-13,KBS0719,4,100,6,37
1-Feb-13,1-Feb-13,KBS0705,1,100,6,26
1-Feb-13,1-Feb-13,KBS0705,2,100,6,25
1-Feb-13,1-Feb-13,KBS0705,3,100,6,24
1-Feb-13,1-Feb-13,KBS0705,4,100,6,32
18-Jan-13,4-Feb-13,KBS0701,1,100,4,177
18-Jan-13,4-Feb-13,KBS0701,2,100,4,114
18-Jan-13,4-Feb-13,KBS0703,1,100,5,52
18-Jan-13,4-Feb-13,KBS0703,2,100,5,140
18-Jan-13,4-Feb-13,KBS0702,1,100,5,236
18-Jan-13,4-Feb-13,KBS0702,2,100,5,344
11-Jan-13,4-Feb-13,KBS0710,1,100,5,186
11-Jan-13,4-Feb-13,KBS0710,2,100,5,137
25-Jan-13,4-Feb-13,KBS0712,1,100,5,64
25-Jan-13,4-Feb-13,KBS0712,2,100,5,59
25-Jan-13,4-Feb-13,KBS0712,3,100,5,51
25-Jan-13,4-Feb-13,KBS0712,4,100,5,50
22-Jan-13,5-Feb-13,KBS0704,4,100,2,4
5-Feb-13,5-Feb-13,KBS0704,5,100,6,124
5-Feb-13,5-Feb-13,KBS0704,6,100,6,97
5-Feb-13,5-Feb-13,KBS0704,7,100,6,68
5-Feb-13,5-Feb-13,KBS0704,8,100,6,90
22-Jan-13,5-Feb-13,KBS0710,3,100,5,380
22-Jan-13,5-Feb-13,KBS0710,4,100,5,422
23-Jan-13,6-Feb-13,KBS0701,3,100,4,89
23-Jan-13,6-Feb-13,KBS0701,4,100,4,77
5-Feb-13,7-Feb-13,KBS0704,5,100,5,168
5-Feb-13,7-Feb-13,KBS0704,6,100,5,9
5-Feb-13,7-Feb-13,KBS0704,7,100,5,126
5-Feb-13,7-Feb-13,KBS0704,8,100,5,157
24-Jan-13,7-Feb-13,KBS0711,1,100,5,83
24-Jan-13,7-Feb-13,KBS0711,2,100,5,50
24-Jan-13,7-Feb-13,KBS0711,3,100,5,95
24-Jan-13,7-Feb-13,KBS0711,4,100,5,81
1-Feb-13,8-Feb-13,KBS0705,1,100,5,95
1-Feb-13,8-Feb-13,KBS0705,2,100,5,117
1-Feb-13,8-Feb-13,KBS0705,3,100,5,134
1-Feb-13,8-Feb-13,KBS0705,4,100,5,113
8-Feb-13,8-Feb-13,KBS0713,3,100,6,116
8-Feb-13,8-Feb-13,KBS0713,4,100,6,220
8-Feb-13,11-Feb-13,KBS0713,1,100,6,157
8-Feb-13,11-Feb-13,KBS0713,2,100,6,147
8-Feb-13,11-Feb-13,KBS0713,3,100,6,146
8-Feb-13,11-Feb-13,KBS0713,4,100,6,137
11-Feb-13,11-Feb-13,KBS0715,1,100,6,130
11-Feb-13,11-Feb-13,KBS0715,2,100,6,116
11-Feb-13,11-Feb-13,KBS0715,3,100,6,138
11-Feb-13,11-Feb-13,KBS0715,4,100,6,156
12-Feb-13,12-Feb-13,KBS0721,1,100,6,19
12-Feb-13,12-Feb-13,KBS0721,2,100,6,44
12-Feb-13,12-Feb-13,KBS0721,3,100,6,112
12-Feb-13,12-Feb-13,KBS0721,4,100,6,32
28-Jan-13,12-Feb-13,KBS0725,1,100,5,226
28-Jan-13,12-Feb-13,KBS0725,2,100,5,283
28-Jan-13,12-Feb-13,KBS0725,3,100,5,240
28-Jan-13,12-Feb-13,KBS0725,4,100,5,238
28-Jan-13,12-Feb-13,KBS0727,1,100,5,291
28-Jan-13,12-Feb-13,KBS0727,2,100,5,313
28-Jan-13,12-Feb-13,KBS0727,3,100,5,330
28-Jan-13,12-Feb-13,KBS0727,4,100,5,301
22-Jan-13,14-Feb-13,KBS0704,4,100,1,3
5-Feb-13,14-Feb-13,KBS0704,5,100,1,2
5-Feb-13,14-Feb-13,KBS0704,6,100,1,2
5-Feb-13,14-Feb-13,KBS0704,8,100,1,2
15-Feb-13,15-Feb-13,KBS0703,3,100,6,47
15-Feb-13,15-Feb-13,KBS0703,4,100,6,68
11-Jan-13,15-Feb-13,KBS0710,1,50,5,93
11-Jan-13,15-Feb-13,KBS0710,2,50,5,122
30-Jan-13,15-Feb-13,KBS0714,1,100,4,18
30-Jan-13,15-Feb-13,KBS0714,2,100,4,14
30-Jan-13,15-Feb-13,KBS0714,3,100,4,20
30-Jan-13,15-Feb-13,KBS0714,4,100,4,21
13-Feb-13,15-Feb-13,KBS0724,1,100,5,85
13-Feb-13,15-Feb-13,KBS0724,2,100,5,108
13-Feb-13,15-Feb-13,KBS0724,3,100,5,99
13-Feb-13,15-Feb-13,KBS0724,4,100,5,120
22-Jan-13,18-Feb-13,KBS0704,4,100,0,0
5-Feb-13,18-Feb-13,KBS0704,5,100,0,3
5-Feb-13,18-Feb-13,KBS0704,6,100,0,1
5-Feb-13,18-Feb-13,KBS0704,8,100,0,8
22-Jan-13,18-Feb-13,KBS0710,3,100,5,209
22-Jan-13,18-Feb-13,KBS0710,4,100,5,192
18-Feb-13,18-Feb-13,KBS0722,1,100,6,53
18-Feb-13,18-Feb-13,KBS0722,2,100,6,51
18-Feb-13,18-Feb-13,KBS0722,3,100,6,60
18-Feb-13,18-Feb-13,KBS0722,4,100,6,66
18-Jan-13,19-Feb-13,KBS0701,1,100,4,136
18-Jan-13,19-Feb-13,KBS0701,2,100,4,58
23-Jan-13,19-Feb-13,KBS0701,3,100,4,52
23-Jan-13,19-Feb-13,KBS0701,4,100,4,49
18-Jan-13,19-Feb-13,KBS0703,1,100,5,83
18-Jan-13,19-Feb-13,KBS0703,2,100,5,127
18-Jan-13,19-Feb-13,KBS0702,1,100,5,181
18-Jan-13,19-Feb-13,KBS0702,2,100,5,214
25-Jan-13,19-Feb-13,KBS0712,1,100,5,84
25-Jan-13,19-Feb-13,KBS0712,2,100,5,95
25-Jan-13,19-Feb-13,KBS0712,3,100,5,80
25-Jan-13,19-Feb-13,KBS0712,4,100,5,102
14-Feb-13,20-Feb-13,KBS0707,1,100,4,173
14-Feb-13,20-Feb-13,KBS0707,2,100,4,166
14-Feb-13,20-Feb-13,KBS0707,3,100,4,188
14-Feb-13,20-Feb-13,KBS0707,4,100,4,126
24-Jan-13,20-Feb-13,KBS0711,1,100,5,112
24-Jan-13,20-Feb-13,KBS0711,2,100,5,69
24-Jan-13,20-Feb-13,KBS0711,3,100,5,61
24-Jan-13,20-Feb-13,KBS0711,4,100,5,118
22-Jan-13,21-Feb-13,KBS0704,4,100,0,0
5-Feb-13,21-Feb-13,KBS0704,5,100,0,1
5-Feb-13,21-Feb-13,KBS0704,6,100,0,3
5-Feb-13,21-Feb-13,KBS0704,7,100,0,1
5-Feb-13,21-Feb-13,KBS0704,8,100,0,0
1-Feb-13,21-Feb-13,KBS0705,1,100,5,25
1-Feb-13,21-Feb-13,KBS0705,2,100,5,22
1-Feb-13,21-Feb-13,KBS0705,3,100,5,21
1-Feb-13,21-Feb-13,KBS0705,4,100,5,31
30-Jan-13,22-Feb-13,KBS0714,1,50,3,21
30-Jan-13,22-Feb-13,KBS0714,2,50,3,26
30-Jan-13,22-Feb-13,KBS0714,3,50,3,42
30-Jan-13,22-Feb-13,KBS0714,4,50,3,29
21-Feb-13,25-Feb-13,KBS0703,6,50,7,37
8-Feb-13,25-Feb-13,KBS0713,1,50,5,109
8-Feb-13,25-Feb-13,KBS0713,2,50,5,170
8-Feb-13,25-Feb-13,KBS0713,3,50,5,148
8-Feb-13,25-Feb-13,KBS0713,4,50,5,118
25-Feb-13,25-Feb-13,KBS0816,1,50,5,3
25-Feb-13,25-Feb-13,KBS0816,2,50,5,5
25-Feb-13,25-Feb-13,KBS0816,3,50,5,5
25-Feb-13,25-Feb-13,KBS0816,4,50,5,4
11-Feb-13,26-Feb-13,KBS0715,1,50,5,240
11-Feb-13,26-Feb-13,KBS0715,2,50,5,115
11-Feb-13,26-Feb-13,KBS0715,3,50,5,112
11-Feb-13,26-Feb-13,KBS0715,4,50,5,285
31-Jan-13,26-Feb-13,KBS0719,1,100,0,0
31-Jan-13,26-Feb-13,KBS0719,2,100,0,1
31-Jan-13,26-Feb-13,KBS0719,3,100,0,2
31-Jan-13,26-Feb-13,KBS0719,4,100,0,0
28-Jan-13,26-Feb-13,KBS0725,1,50,5,3
28-Jan-13,26-Feb-13,KBS0725,2,50,5,22
28-Jan-13,26-Feb-13,KBS0725,3,50,5,30
28-Jan-13,26-Feb-13,KBS0725,4,50,5,37
28-Jan-13,26-Feb-13,KBS0727,1,50,5,29
28-Jan-13,26-Feb-13,KBS0727,2,50,5,29
28-Jan-13,26-Feb-13,KBS0727,3,50,5,29
28-Jan-13,26-Feb-13,KBS0727,4,50,5,45
21-Feb-13,27-Feb-13,KBS0703,6,50,7,31
12-Feb-13,27-Feb-13,KBS0721,1,50,5,25
12-Feb-13,27-Feb-13,KBS0721,2,50,5,25
12-Feb-13,27-Feb-13,KBS0721,3,50,5,21
12-Feb-13,27-Feb-13,KBS0721,4,50,5,21
27-Feb-13,27-Feb-13,KBS0801,1,50,6,86
27-Feb-13,27-Feb-13,KBS0801,2,50,6,107
27-Feb-13,27-Feb-13,KBS0801,3,50,6,106
15-Feb-13,28-Feb-13,KBS0703,3,50,5,101
15-Feb-13,28-Feb-13,KBS0703,4,50,5,78
11-Jan-13,5-Mar-13,KBS0710,1,50,5,81
11-Jan-13,5-Mar-13,KBS0710,2,50,5,96
22-Jan-13,5-Mar-13,KBS0710,4,50,5,105
25-Jan-13,5-Mar-13,KBS0712,1,50,5,31
25-Jan-13,5-Mar-13,KBS0712,2,50,5,33
25-Jan-13,5-Mar-13,KBS0712,3,50,5,40
25-Jan-13,5-Mar-13,KBS0712,4,50,5,32
18-Feb-13,5-Mar-13,KBS0722,1,50,5,158
18-Feb-13,5-Mar-13,KBS0722,2,50,5,162
18-Feb-13,5-Mar-13,KBS0722,3,50,5,199
18-Feb-13,5-Mar-13,KBS0722,4,50,5,137
13-Feb-13,5-Mar-13,KBS0724,1,50,5,90
13-Feb-13,5-Mar-13,KBS0724,2,50,5,70
13-Feb-13,5-Mar-13,KBS0724,3,50,5,89
13-Feb-13,5-Mar-13,KBS0724,4,50,5,51
18-Jan-13,6-Mar-13,KBS0701,1,50,3,223
18-Jan-13,6-Mar-13,KBS0701,2,50,3,190
23-Jan-13,6-Mar-13,KBS0701,3,50,3,188
23-Jan-13,6-Mar-13,KBS0701,4,50,3,221
18-Jan-13,6-Mar-13,KBS0703,1,50,5,41
18-Jan-13,6-Mar-13,KBS0703,2,50,5,79
18-Jan-13,6-Mar-13,KBS0702,1,50,5,91
18-Jan-13,6-Mar-13,KBS0702,2,50,5,104
6-Mar-13,6-Mar-13,KBS0702,3,50,6,152
6-Mar-13,6-Mar-13,KBS0702,5,50,6,148
14-Feb-13,7-Mar-13,KBS0707,1,50,4,47
14-Feb-13,7-Mar-13,KBS0707,2,50,4,44
14-Feb-13,7-Mar-13,KBS0707,3,50,4,42
14-Feb-13,7-Mar-13,KBS0707,4,50,4,33
22-Jan-13,7-Mar-13,KBS0710,3,50,5,85
24-Jan-13,7-Mar-13,KBS0711,1,50,4,236
24-Jan-13,7-Mar-13,KBS0711,2,50,4,150
24-Jan-13,7-Mar-13,KBS0711,3,50,4,184
24-Jan-13,7-Mar-13,KBS0711,4,50,4,236
6-Mar-13,8-Mar-13,KBS0702,4,50,6,109
6-Mar-13,8-Mar-13,KBS0702,6,50,6,106
1-Feb-13,8-Mar-13,KBS0705,1,50,4,119
1-Feb-13,8-Mar-13,KBS0705,2,50,4,195
1-Feb-13,8-Mar-13,KBS0705,3,50,4,191
1-Feb-13,8-Mar-13,KBS0705,4,50,4,185
30-Jan-13,8-Mar-13,KBS0714,1,50,3,54
30-Jan-13,8-Mar-13,KBS0714,2,50,3,52
30-Jan-13,8-Mar-13,KBS0714,3,50,3,40
30-Jan-13,8-Mar-13,KBS0714,4,50,3,47
28-Feb-13,11-Mar-13,KBS0706,1,50,5,70
28-Feb-13,11-Mar-13,KBS0706,2,50,5,55
28-Feb-13,11-Mar-13,KBS0706,3,50,5,61
28-Feb-13,11-Mar-13,KBS0706,4,50,5,39
21-Feb-13,12-Mar-13,KBS0703,5,50,6,227
21-Feb-13,12-Mar-13,KBS0703,6,50,6,275
8-Feb-13,12-Mar-13,KBS0713,1,50,5,97
8-Feb-13,12-Mar-13,KBS0713,2,50,5,64
8-Feb-13,12-Mar-13,KBS0713,3,50,5,79
8-Feb-13,12-Mar-13,KBS0713,4,50,5,47
11-Feb-13,12-Mar-13,KBS0715,1,50,5,47
11-Feb-13,12-Mar-13,KBS0715,2,50,5,17
11-Feb-13,12-Mar-13,KBS0715,3,50,5,30
11-Feb-13,12-Mar-13,KBS0715,4,50,5,52
25-Feb-13,12-Mar-13,KBS0816,1,50,3,73
25-Feb-13,12-Mar-13,KBS0816,2,50,3,58
25-Feb-13,12-Mar-13,KBS0816,3,50,3,113
25-Feb-13,12-Mar-13,KBS0816,4,50,3,53
15-Feb-13,13-Mar-13,KBS0703,3,50,5,86
15-Feb-13,13-Mar-13,KBS0703,4,50,5,54
28-Jan-13,13-Mar-13,KBS0725,1,50,4,47
28-Jan-13,13-Mar-13,KBS0725,2,50,4,47
28-Jan-13,13-Mar-13,KBS0725,3,50,4,36
28-Jan-13,13-Mar-13,KBS0725,4,50,4,48
28-Jan-13,13-Mar-13,KBS0727,1,50,4,22
28-Jan-13,13-Mar-13,KBS0727,2,50,4,31
28-Jan-13,13-Mar-13,KBS0727,3,50,4,27
28-Jan-13,13-Mar-13,KBS0727,4,50,4,43
7-Mar-13,13-Mar-13,KBS0802,1,50,5,103
7-Mar-13,13-Mar-13,KBS0802,2,50,5,100
14-Mar-13,14-Mar-13,KBS0719,5,50,6,9
14-Mar-13,14-Mar-13,KBS0719,6,50,6,14
14-Mar-13,14-Mar-13,KBS0719,7,50,6,6
14-Mar-13,14-Mar-13,KBS0719,8,50,6,12
12-Feb-13,14-Mar-13,KBS0721,1,50,4,101
12-Feb-13,14-Mar-13,KBS0721,2,50,4,110
12-Feb-13,14-Mar-13,KBS0721,3,50,4,79
12-Feb-13,14-Mar-13,KBS0721,4,50,4,130
27-Feb-13,14-Mar-13,KBS0801,1,50,6,30
27-Feb-13,14-Mar-13,KBS0801,2,50,6,58
27-Feb-13,14-Mar-13,KBS0801,3,50,6,53
27-Feb-13,14-Mar-13,KBS0801,4,50,6,45
30-Jan-13,15-Mar-13,KBS0714,1,100,3,76
30-Jan-13,15-Mar-13,KBS0714,2,100,3,105
30-Jan-13,15-Mar-13,KBS0714,3,100,3,74
30-Jan-13,15-Mar-13,KBS0714,4,100,3,85
7-Mar-13,15-Mar-13,KBS0802,3,50,5,89
7-Mar-13,15-Mar-13,KBS0802,4,50,5,107
8-Mar-13,18-Mar-13,KBS0812,1,50,3,144
8-Mar-13,18-Mar-13,KBS0812,2,50,3,129
8-Mar-13,18-Mar-13,KBS0812,3,50,3,112
8-Mar-13,18-Mar-13,KBS0812,4,50,3,108
11-Jan-13,19-Mar-13,KBS0710,1,50,5,33
11-Jan-13,19-Mar-13,KBS0710,2,50,5,47
22-Jan-13,19-Mar-13,KBS0710,3,50,5,66
22-Jan-13,19-Mar-13,KBS0710,4,50,5,81
25-Jan-13,19-Mar-13,KBS0712,1,50,4,348
25-Jan-13,19-Mar-13,KBS0712,2,50,4,262
25-Jan-13,19-Mar-13,KBS0712,3,50,4,326
25-Jan-13,19-Mar-13,KBS0712,4,50,4,312
18-Feb-13,19-Mar-13,KBS0722,1,50,5,108
18-Feb-13,19-Mar-13,KBS0722,2,50,5,113
18-Feb-13,19-Mar-13,KBS0722,3,50,5,120
18-Feb-13,19-Mar-13,KBS0722,4,50,5,150
13-Feb-13,19-Mar-13,KBS0724,1,50,5,65
13-Feb-13,19-Mar-13,KBS0724,2,50,5,51
13-Feb-13,19-Mar-13,KBS0724,3,50,5,31
13-Feb-13,19-Mar-13,KBS0724,4,50,5,34
18-Jan-13,20-Mar-13,KBS0701,1,50,3,140
18-Jan-13,20-Mar-13,KBS0701,2,50,3,87
23-Jan-13,20-Mar-13,KBS0701,3,50,3,80
23-Jan-13,20-Mar-13,KBS0701,4,50,3,131
18-Jan-13,20-Mar-13,KBS0703,1,50,5,44
18-Jan-13,20-Mar-13,KBS0703,2,50,5,72
18-Jan-13,20-Mar-13,KBS0702,1,50,5,41
18-Jan-13,20-Mar-13,KBS0702,2,50,5,64
6-Mar-13,20-Mar-13,KBS0702,3,50,6,32
6-Mar-13,20-Mar-13,KBS0702,4,50,6,45
6-Mar-13,20-Mar-13,KBS0702,5,50,6,43
6-Mar-13,20-Mar-13,KBS0702,6,50,6,58
14-Feb-13,21-Mar-13,KBS0707,1,50,3,322
14-Feb-13,21-Mar-13,KBS0707,2,50,3,274
14-Feb-13,21-Mar-13,KBS0707,3,50,3,260
14-Feb-13,21-Mar-13,KBS0707,4,50,3,255
24-Jan-13,21-Mar-13,KBS0711,1,50,4,154
24-Jan-13,21-Mar-13,KBS0711,2,50,4,112
24-Jan-13,21-Mar-13,KBS0711,3,50,4,101
24-Jan-13,21-Mar-13,KBS0711,4,50,4,117
1-Feb-13,22-Mar-13,KBS0705,1,50,4,138
1-Feb-13,22-Mar-13,KBS0705,2,50,4,236
1-Feb-13,22-Mar-13,KBS0705,3,50,4,159
1-Feb-13,22-Mar-13,KBS0705,4,50,4,209
28-Feb-13,25-Mar-13,KBS0706,1,50,5,57
28-Feb-13,25-Mar-13,KBS0706,2,50,5,56
28-Feb-13,25-Mar-13,KBS0706,3,50,5,64
28-Feb-13,25-Mar-13,KBS0706,4,50,5,45
7-Mar-13,26-Mar-13,KBS0802,1,50,5,117
7-Mar-13,26-Mar-13,KBS0802,2,50,5,135
7-Mar-13,26-Mar-13,KBS0802,3,50,5,79
7-Mar-13,26-Mar-13,KBS0802,4,50,5,111
15-Feb-13,27-Mar-13,KBS0703,3,50,5,86
15-Feb-13,27-Mar-13,KBS0703,4,50,5,79
21-Feb-13,27-Mar-13,KBS0703,5,50,6,271
21-Feb-13,27-Mar-13,KBS0703,6,50,6,172
11-Feb-13,27-Mar-13,KBS0715,1,50,4,131
11-Feb-13,27-Mar-13,KBS0715,2,50,4,123
11-Feb-13,27-Mar-13,KBS0715,3,50,4,145
11-Feb-13,27-Mar-13,KBS0715,4,50,4,107
12-Feb-13,27-Mar-13,KBS0721,1,50,4,22
12-Feb-13,27-Mar-13,KBS0721,2,50,4,38
