strain,replicate,NT,HT,hours,dilution_V,dilution_S
SpoIIE,1,226,0,0,5,0
wt,1,471,28,0,5,2
SpoIIE,2,231,0,0,5,0
wt,2,345,44,0,5,2
SpoIIE,3,273,0,0,5,0
wt,3,318,47,0,5,2
SpoIIE,4,247,0,0,5,0
wt,4,370,37,0,5,2
SpoIIE,1,16,0,24,5,2
wt,1,92,60,24,5,2
SpoIIE,2,17,0,24,5,2
wt,2,99,77,24,5,2
SpoIIE,3,12,0,24,5,2
wt,3,80,63,24,5,2
SpoIIE,4,14,0,24,5,2
wt,4,63,71,24,5,2
SpoIIE,1,72,0,48,4,2
wt,1,95,34,48,4,2
SpoIIE,2,70,0,48,4,2
wt,2,132,23,48,4,2
SpoIIE,3,66,0,48,4,2
wt,3,171,37,48,4,2
SpoIIE,4,67,0,48,4,2
wt,4,164,29,48,4,2
SpoIIE,1,71,0,72,4,2
wt,1,119,41,72,4,2
SpoIIE,2,76,0,72,4,2
wt,2,104,58,72,4,2
SpoIIE,3,65,0,72,4,2
wt,3,63,60,72,4,2
SpoIIE,4,50,0,72,4,2
wt,4,104,46,72,4,2
SpoIIE,1,20,0,96,4,2
wt,1,95,266,96,4,2
SpoIIE,2,50,0,96,4,2
wt,2,71,253,96,4,2
SpoIIE,3,65,0,96,4,2
wt,3,94,195,96,4,2
SpoIIE,4,29,0,96,4,2
wt,4,82,242,96,4,2
SpoIIE,1,280,0,120,3,2
wt,1,54,93,120,4,3
SpoIIE,2,362,0,120,3,2
wt,2,84,107,120,4,3
SpoIIE,3,326,0,120,3,2
wt,3,60,88,120,4,3
SpoIIE,4,391,0,120,3,2
wt,4,64,75,120,4,3
SpoIIE,1,148,0,144,3,2
wt,1,66,121,144,4,3
SpoIIE,2,171,0,144,3,2
wt,2,57,79,144,4,3
SpoIIE,3,154,0,144,3,2
wt,3,72,101,144,4,3
SpoIIE,4,183,0,144,3,2
wt,4,61,93,144,4,3
SpoIIE,1,121,0,168,3,2
wt,1,74,169,168,4,3
SpoIIE,2,89,0,168,3,2
wt,2,58,178,168,4,3
SpoIIE,3,103,0,168,3,2
wt,3,39,190,168,4,3
SpoIIE,4,162,0,168,3,2
wt,4,49,181,168,4,3
SpoIIE,1,87,0,192,3,2
wt,1,46,185,192,4,3
SpoIIE,2,53,0,192,3,2
wt,2,45,114,192,4,3
SpoIIE,3,79,0,192,3,2
wt,3,49,164,192,4,3
SpoIIE,4,65,0,192,3,2
wt,4,45,165,192,4,3
SpoIIE,1,43,0,216,3,2
wt,1,26,115,216,4,3
SpoIIE,2,32,0,216,3,2
wt,2,55,151,216,4,3
SpoIIE,3,33,0,216,3,2
wt,3,36,177,216,4,3
SpoIIE,4,46,0,216,3,2
wt,4,41,192,216,4,3
SpoIIE,1,30,0,240,3,2
wt,1,26,140,240,4,3
SpoIIE,2,42,0,240,3,2
wt,2,36,167,240,4,3
SpoIIE,3,37,0,240,3,2
wt,3,35,127,240,4,3
SpoIIE,4,34,0,240,3,2
wt,4,42,147,240,4,3
