protein_id KEGG_Orthology species phylum genus num
G_05557 K03149 pfl Gammaproteobacteria Others 533
G_04826 K09136 pch Gammaproteobacteria Others 1434
G_02086 K01649 pch Gammaproteobacteria Others 1134
G_05271 K00873 pch Gammaproteobacteria Others 906
G_01499 K01523 pch Gammaproteobacteria Others 226
G_00059 K07576 pch Gammaproteobacteria Others 912
G_05796 K02203 pch Gammaproteobacteria Others 419
G_04337 K15977 pch Gammaproteobacteria Others 251
G_00323 K00210 pfl Gammaproteobacteria Others 1364
G_00323 K00800 pfl Gammaproteobacteria Others 1364
G_00461 K02600 pch Gammaproteobacteria Others 903
G_05880 K03469 pch Gammaproteobacteria Others 309
G_04802 K08218 pch Gammaproteobacteria Others 754
G_03052 K17323 pch Gammaproteobacteria Others 500
G_05041 K07090 pch Gammaproteobacteria Others 432
G_06107 K11916 pch Gammaproteobacteria Others 674
G_03576 K02024 pch Gammaproteobacteria Others 837
G_04113 K06895 pch Gammaproteobacteria Others 393
G_03887 K05517 pch Gammaproteobacteria Others 631
G_01323 K02968 pfl Gammaproteobacteria Others 151
G_01411 K00806 pch Gammaproteobacteria Others 519
G_02018 K06894 pch Gammaproteobacteria Others 3132
G_04544 K05563 pch Gammaproteobacteria Others 173
G_05218 K01907 pch Gammaproteobacteria Others 1333
G_04081 K00404 pch Gammaproteobacteria Others 933
G_04690 K06204 pch Gammaproteobacteria Others 226
G_06328 K01029 pch Gammaproteobacteria Others 445
G_01517 K09165 pch Gammaproteobacteria Others 146
G_00128 K00140 pmy Gammaproteobacteria Others 855
G_04064 K01872 pch Gammaproteobacteria Others 1566
G_03630 K00449 pch Gammaproteobacteria Others 479
G_01970 K00906 pch Gammaproteobacteria Others 1173
G_03061 K00339 pch Gammaproteobacteria Others 231
G_04330 K19265 pch Gammaproteobacteria Others 698
G_05436 K07644 pch Gammaproteobacteria Others 875
G_02179 K02992 ptv Gammaproteobacteria Others 311
G_01752 K00658 pch Gammaproteobacteria Others 608
G_03697 K07126 pch Gammaproteobacteria Others 329
G_03774 K00166 pch Gammaproteobacteria Others 814
G_05046 K19736 pch Gammaproteobacteria Others 409
G_06021 K00381 pch Gammaproteobacteria Others 1095
G_00414 K03638 pch Gammaproteobacteria Others 363
G_05941 K06182 pch Gammaproteobacteria Others 445
G_00776 K00955 pch Gammaproteobacteria Others 1295
G_00774 K13788 pch Gammaproteobacteria Others 1318
G_03688 K03719 pch Gammaproteobacteria Others 323
G_05905 K00138 pch Gammaproteobacteria Others 959
