protein_id KEGG_Orthology species phylum genus num
G_00568 K00560 art Actinobacteria Others 531
G_00568 K00560 art Actinobacteria Others 531
G_00059 K01714 sct Actinobacteria Others 300
G_00059 K01714 sct Actinobacteria Others 300
G_01695 K02469 art Actinobacteria Others 1663
G_01695 K02469 art Actinobacteria Others 1663
G_02058 K07341 ach Actinobacteria Others 65
G_02058 K07341 ach Actinobacteria Others 65
G_01081 K01153 ach Actinobacteria Others 1950
G_01081 K01153 ach Actinobacteria Others 1950
G_00736 K06911 art Actinobacteria Others 468
G_00736 K06911 art Actinobacteria Others 468
G_00896 K00566 art Actinobacteria Others 682
G_00896 K00566 art Actinobacteria Others 682
G_02924 K01007 art Actinobacteria Others 1522
G_02924 K01007 art Actinobacteria Others 1522
G_01741 K00299 arr Actinobacteria Others 357
G_01741 K00299 arr Actinobacteria Others 357
G_01601 K00001 rha Actinobacteria Others 466
G_01601 K00001 rha Actinobacteria Others 466
G_00275 K08172 mms Betaproteobacteria Others 319
G_00275 K08172 mms Betaproteobacteria Others 319
G_02535 K09166 art Actinobacteria Others 325
G_02535 K09166 art Actinobacteria Others 325
G_00855 K01845 art Actinobacteria Others 700
G_00855 K01845 art Actinobacteria Others 700
G_02472 K03704 art Actinobacteria Others 139
G_02472 K03704 art Actinobacteria Others 139
G_01411 K06988 are Actinobacteria Others 246
G_01411 K06988 are Actinobacteria Others 246
G_01546 K04485 art Actinobacteria Others 806
G_01546 K04485 art Actinobacteria Others 806
G_02123 K07020 arr Actinobacteria Others 311
G_02123 K07020 arr Actinobacteria Others 311
G_00422 K13788 art Actinobacteria Others 1150
G_00422 K13788 art Actinobacteria Others 1150
G_00065 K01104 art Actinobacteria Others 238
G_00065 K01104 art Actinobacteria Others 238
G_01769 K00448 arr Actinobacteria Others 250
G_01769 K00448 arr Actinobacteria Others 250
G_01517 K08302 art Actinobacteria Others 290
G_01517 K08302 art Actinobacteria Others 290
G_02342 K01951 art Actinobacteria Others 352
G_02342 K01951 art Actinobacteria Others 352
G_01986 K03499 art Actinobacteria Others 410
G_01986 K03499 art Actinobacteria Others 410
G_00128 K02529 mne Actinobacteria Others 371
G_00128 K02529 mne Actinobacteria Others 371
G_02742 K09164 apn Actinobacteria Others 378
G_02742 K09164 apn Actinobacteria Others 378
G_00098 K11741 art Actinobacteria Others 147
G_00098 K11741 art Actinobacteria Others 147
G_02112 K00681 art Actinobacteria Others 924
G_02112 K00681 art Actinobacteria Others 924
G_00162 K02011 sxi Actinobacteria Others 502
G_00162 K02011 sxi Actinobacteria Others 502
G_01209 K01735 ach Actinobacteria Others 640
G_01209 K01735 ach Actinobacteria Others 640
G_02179 K01491 arr Actinobacteria Others 501
G_02179 K01491 arr Actinobacteria Others 501
G_01410 K06999 ica Actinobacteria Others 254
G_01410 K06999 ica Actinobacteria Others 254
G_00924 K18955 art Actinobacteria Others 142
G_00924 K18955 art Actinobacteria Others 142
G_02170 K10546 art Actinobacteria Others 636
G_02170 K10546 art Actinobacteria Others 636
G_02963 K01840 aau Actinobacteria Others 835
G_02963 K01840 aau Actinobacteria Others 835
G_01557 K07067 apn Actinobacteria Others 678
G_01557 K07067 apn Actinobacteria Others 678
G_00171 K09001 sna Actinobacteria Others 423
G_00171 K09001 sna Actinobacteria Others 423
G_01232 K02440 art Actinobacteria Others 346
G_01232 K02440 art Actinobacteria Others 346
G_01150 K03975 arm Actinobacteria Others 261
G_01150 K03975 arm Actinobacteria Others 261
G_02094 K00104 apn Actinobacteria Others 578
G_02094 K00104 apn Actinobacteria Others 578
G_01897 K03928 ach Actinobacteria Others 362
G_01897 K03928 ach Actinobacteria Others 362
G_00050 K16786 art Actinobacteria Others 642
G_00050 K16786 art Actinobacteria Others 642
G_00050 K16787 art Actinobacteria Others 642
G_00050 K16787 art Actinobacteria Others 642
G_02761 K03564 ach Actinobacteria Others 258
G_02761 K03564 ach Actinobacteria Others 258
G_01923 K02221 arr Actinobacteria Others 64
G_01923 K02221 arr Actinobacteria Others 64
G_02185 K01142 aau Actinobacteria Others 469
G_02185 K01142 aau Actinobacteria Others 469
G_01513 K07124 art Actinobacteria Others 341
G_01513 K07124 art Actinobacteria Others 341
G_00490 K09959 art Actinobacteria Others 250
G_00490 K09959 art Actinobacteria Others 250
G_03354 K00602 apn Actinobacteria Others 982
G_03354 K00602 apn Actinobacteria Others 982
G_02679 K02109 apn Actinobacteria Others 210
G_02679 K02109 apn Actinobacteria Others 210
G_00260 K01897 aaq Actinobacteria Others 962
G_00260 K01897 aaq Actinobacteria Others 962
G_01408 K06147 apn Actinobacteria Others 600
G_01408 K06147 apn Actinobacteria Others 600
G_01506 K10979 art Actinobacteria Others 479
G_01506 K10979 art Actinobacteria Others 479
G_00157 K13796 ahm Actinobacteria Others 561
G_00157 K13796 ahm Actinobacteria Others 561
G_01164 K00153 aau Actinobacteria Others 595
G_01164 K00153 aau Actinobacteria Others 595
G_01807 K02033 art Actinobacteria Others 633
G_01807 K02033 art Actinobacteria Others 633
G_02611 K03469 art Actinobacteria Others 442
G_02611 K03469 art Actinobacteria Others 442
G_01428 K01007 art Actinobacteria Others 1003
G_01428 K01007 art Actinobacteria Others 1003
G_00808 K10007 art Actinobacteria Others 367
G_00808 K10007 art Actinobacteria Others 367
G_01347 K07695 fra Actinobacteria Others 184
G_01347 K07695 fra Actinobacteria Others 184
G_02013 K03976 art Actinobacteria Others 200
G_02013 K03976 art Actinobacteria Others 200
G_03374 K06200 bct Betaproteobacteria Others 123
G_03374 K06200 bct Betaproteobacteria Others 123
G_01224 K13038 art Actinobacteria Others 542
G_01224 K13038 art Actinobacteria Others 542
G_02475 K00681 apn Actinobacteria Others 881
G_02475 K00681 apn Actinobacteria Others 881
G_03165 K02916 ach Actinobacteria Others 128
G_03165 K02916 ach Actinobacteria Others 128
G_03278 K00275 apn Actinobacteria Others 224
G_03278 K00275 apn Actinobacteria Others 224
G_00992 K07304 art Actinobacteria Others 349
G_00992 K07304 art Actinobacteria Others 349
G_03380 K03628 ssn Gammaproteobacteria Enterobacteria 140
G_02418 K02967 art Actinobacteria Others 464
G_02418 K02967 art Actinobacteria Others 464
G_01881 K00945 art Actinobacteria Others 323
G_01881 K00945 art Actinobacteria Others 323
G_00604 K02355 art Actinobacteria Others 1420
G_00604 K02355 art Actinobacteria Others 1420
G_02000 K02004 cai Actinobacteria Others 297
G_02000 K02004 cai Actinobacteria Others 297
G_00701 K00088 art Actinobacteria Others 996
G_00701 K00088 art Actinobacteria Others 996
G_00353 K02283 art Actinobacteria Others 442
G_00353 K02283 art Actinobacteria Others 442
G_00707 K02768 art Actinobacteria Others 306
G_00707 K02768 art Actinobacteria Others 306
G_00531 K00010 kva Gammaproteobacteria Enterobacteria 67
G_03007 K01883 art Actinobacteria Others 739
G_03007 K01883 art Actinobacteria Others 739
G_02276 K02528 art Actinobacteria Others 418
G_02276 K02528 art Actinobacteria Others 418
G_01995 K16923 art Actinobacteria Others 213
G_01995 K16923 art Actinobacteria Others 213
G_00794 K02031 art Actinobacteria Others 1046
G_00794 K02031 art Actinobacteria Others 1046
G_00794 K02032 art Actinobacteria Others 1046
G_00794 K02032 art Actinobacteria Others 1046
G_02421 K02838 art Actinobacteria Others 338
G_02421 K02838 art Actinobacteria Others 338
G_02910 K01740 art Actinobacteria Others 806
G_02910 K01740 art Actinobacteria Others 806
G_02344 K06287 art Actinobacteria Others 395
G_02344 K06287 art Actinobacteria Others 395
G_03193 K06199 art Actinobacteria Others 105
G_03193 K06199 art Actinobacteria Others 105
G_00454 K02029 arh Actinobacteria Others 452
G_00454 K02029 arh Actinobacteria Others 452
G_02625 K00605 arr Actinobacteria Others 581
G_02625 K00605 arr Actinobacteria Others 581
G_02638 K02419 arh Actinobacteria Others 360
G_02638 K02419 arh Actinobacteria Others 360
G_00847 K00231 art Actinobacteria Others 519
G_00847 K00231 art Actinobacteria Others 519
G_01053 K02899 ach Actinobacteria Others 163
G_01053 K02899 ach Actinobacteria Others 163
G_03224 K16650 krh Actinobacteria Others 754
G_03224 K16650 krh Actinobacteria Others 754
G_02518 K09946 apn Actinobacteria Others 78
G_02518 K09946 apn Actinobacteria Others 78
G_00044 K05569 art Actinobacteria Others 303
G_00044 K05569 art Actinobacteria Others 303
G_02552 K07452 ach Actinobacteria Others 1292
G_02552 K07452 ach Actinobacteria Others 1292
G_01030 K01808 art Actinobacteria Others 283
G_01030 K01808 art Actinobacteria Others 283
G_02392 K06999 apn Actinobacteria Others 378
G_02392 K06999 apn Actinobacteria Others 378
G_03236 K04750 arw Actinobacteria Others 201
G_03236 K04750 arw Actinobacteria Others 201
G_03185 K00800 apn Actinobacteria Others 707
G_03185 K00800 apn Actinobacteria Others 707
G_01698 K03629 arr Actinobacteria Others 677
G_01698 K03629 arr Actinobacteria Others 677
G_02607 K10843 art Actinobacteria Others 1044
