protein_id KEGG_Orthology species phylum genus num
G_05557 K16088 ppj Gammaproteobacteria Others 1429
G_05271 K15977 ppu Gammaproteobacteria Others 179
G_00059 K02659 ppu Gammaproteobacteria Others 299
G_01081 K13053 ppu Gammaproteobacteria Others 286
G_05503 K02072 ppu Gammaproteobacteria Others 364
G_04409 K06940 ppu Gammaproteobacteria Others 263
G_04802 K01586 ppu Gammaproteobacteria Others 841
G_03052 K07483 ppu Gammaproteobacteria Others 144
G_00275 K06189 ppu Gammaproteobacteria Others 490
G_02535 K00703 ppu Gammaproteobacteria Others 1045
G_04206 K01057 ppu Gammaproteobacteria Others 414
G_03887 K17686 ppu Gammaproteobacteria Others 1367
G_01411 K07481 ppu Gammaproteobacteria Others 681
G_03542 K02672 ppu Gammaproteobacteria Others 379
G_04544 K02897 ppu Gammaproteobacteria Others 362
G_04081 K03639 ppu Gammaproteobacteria Others 652
G_04690 K04047 ppu Gammaproteobacteria Others 325
G_00515 K01754 ppu Gammaproteobacteria Others 625
G_00128 K03147 ppu Gammaproteobacteria Others 1307
G_03630 K18299 ppu Gammaproteobacteria Others 1890
G_01970 K03271 ppj Gammaproteobacteria Others 399
G_01221 K06192 ppu Gammaproteobacteria Others 1067
G_03061 K12410 ppu Gammaproteobacteria Others 531
G_04330 K01676 ppu Gammaproteobacteria Others 969
G_04423 K00407 ppu Gammaproteobacteria Others 131
G_04161 K10002 psv Gammaproteobacteria Others 406
G_02512 K07090 ppj Gammaproteobacteria Others 88
G_03697 K03413 ppu Gammaproteobacteria Others 254
G_00424 K02879 ppj Gammaproteobacteria Others 261
G_05046 K01710 ppu Gammaproteobacteria Others 765
G_00414 K00123 ppj Gammaproteobacteria Others 1664
G_00776 K01029 ppu Gammaproteobacteria Others 443
G_05156 K09983 mxa Deltaproteobacteria Others 223
G_05156 K09983 mxa Deltaproteobacteria Others 223
G_04418 K05916 ppu Gammaproteobacteria Others 770
G_00089 K01624 ppu Gammaproteobacteria Others 736
G_02094 K03767 ppu Gammaproteobacteria Others 381
G_05537 K04083 ppu Gammaproteobacteria Others 574
