	N	N_genus
10346.SH2H2O	77675.0	1.0
10346.IF2.WI	61022.0	2.0
10346.SD33SED	72952.0	1.0
10346.P12x73	35112.0	2.0
10346.124	37016.0	4.0
10346.SI06.11	50866.0	2.0
10346.Webster.5.B8.396	43155.0	1.0
10346.P10X38	24501.0	2.0
10346.CCBH.3	57046.0	1.0
10346.SW.09	27832.0	1.0
10346.IO5.Wctr	53228.0	1.0
10346.SH31SED	40280.0	6.0
10346.SH12SED	62759.0	4.0
10346.TW10.12.I	53772.0	2.0
10346.P12x130	22242.0	1.0
10346.97	46314.0	1.0
10346.BCH31SED	56439.0	3.0
10346.BCD21SED	28059.0	4.0
10346.P12x119	42710.0	1.0
10346.SD31SED	50915.0	1.0
10346.123	26616.0	3.0
10346.CL268	28708.0	11.0
10346.SD21SED	8036.0	1.0
10346.Webster.5.A9.385	51358.0	3.0
10346.SD23SED	64832.0	3.0
10346.20.X.00.1.015	30785.0	1.0
10346.Webster.2.F9.162	75604.0	1.0
10346.5.11.Soil	24615.0	2.0
10346.TW10.10.I	64334.0	2.0
10346.AF11.3.15	59592.0	1.0
10346.Webster.4.B8.302	93769.0	2.0
10346.Webster.5.A11.387	38661.0	1.0
10346.5.29.Soil	67355.0	8.0
10346.Webster.5.A10.386	29671.0	2.0
10346.SI06.97	86374.0	3.0
10346.AW10.8.I	39386.0	1.0
10346.Webster.4.H10.376	36926.0	1.0
10346.SS.11.3	44652.0	1.0
10346.SH32SED	12472.0	12.0
10346.56	44296.0	1.0
10346.AF11.3.9	34567.0	2.0
10346.BCD13SED	33996.0	2.0
10346.P12x123	2866.0	1.0
10346.SD12SED	50414.0	3.0
10346.Webster.5.D12.424	6082.0	7.0
10346.Webster.5.B5.393	25485.0	1.0
10346.SS.27.2	26080.0	1.0
10346.P12x126	18091.0	1.0
10346.700.1181449	54169.0	1.0
10346.BCD22SED	33824.0	5.0
10346.BCH21SED	66132.0	12.0
10346.121	55740.0	14.0
10346.SI06.27	13143.0	1.0
10346.IO5.Wnh	60097.0	1.0
10346.SH13SED	69365.0	6.0
10346.TO11.5.7	50828.0	1.0
10346.Webster.4.C11.317	42647.0	3.0
10346.BCD23SED	48568.0	5.0
10346.106	40515.0	1.0
10346.50	84194.0	5.0
10346.BCH32SED	31734.0	6.0
10346.BCD31SED	32857.0	9.0
10346.Webster.2.A4.98	71973.0	1.0
10346.Webster.5.A6.382	40146.0	5.0
10346.48	74390.0	1.0
10346.SD13SED	37692.0	1.0
10346.HBOI12.9.VIII.09.2.001	1703.0	2.0
10346.P12x75	43650.0	3.0
10346.BCH11SED	51621.0	9.0
10346.BCH13SED	82169.0	3.0
10346.Webster.3.D2.226	22654.0	1.0
10346.Webster.2.D11.140	55495.0	2.0
10346.IO5.18	52715.0	11.0
10346.SS.20.1	69358.0	1.0
10346.BR10C.Nov	57272.0	1.0
10346.Webster.1.E8.56	82693.0	2.0
10346.49	43832.0	4.0
10346.SH22SED	45338.0	3.0
10346.TV11.7.7	66740.0	1.0
10346.SD11SED	46495.0	11.0
10346.SH33SED	40320.0	2.0
10346.Webster.5.A3.379	20336.0	1.0
10346.ALG12.114	24388.0	2.0
10346.BCD12SED	56132.0	7.0
10346.BCD33SED	64073.0	10.0
10346.SH23SED	44888.0	1.0
10346.122	45888.0	13.0
10346.SD22SED	70528.0	7.0
10346.126	42136.0	1.0
10346.BCH12SED	15022.0	4.0
10346.TO10.6.7	40655.0	2.0
10346.AW10.9.III	53852.0	1.0
10346.SH11SED	64964.0	5.0
10346.CL303	21238.0	1.0
10346.SI06.152	22980.0	1.0
10156.3C5	145826.0	271.0
10156.6	137706.0	13.0
10156.12	106510.0	2.0
10156.2	102566.0	15.0
10156.35	83851.0	45.0
10156.7	172741.0	38.0
10156.2T5	129958.0	25.0
10156.3C3	92740.0	64.0
10156.20	118954.0	24.0
10156.18	74293.0	4.0
10156.CBFSNW3	99790.0	8.0
10156.E1.1	127541.0	144.0
10156.T3.6	106185.0	52.0
10156.T3.3	111556.0	65.0
10156.CBFSNW2	140814.0	14.0
10156.2B3	83342.0	23.0
10156.3S4	47754.0	46.0
10156.2B1	98298.0	16.0
10156.152b	116898.0	41.0
10156.3C2	156187.0	119.0
10156.32	143268.0	2.0
10156.2B5	144681.0	31.0
10156.44.A	102073.0	1.0
10156.48	99791.0	3.0
10156.16	121821.0	42.0
10156.E1.2	242393.0	331.0
10156.4T1	121853.0	194.0
10156.3S1	45565.0	25.0
10156.NW1.A	96406.0	50.0
10156.4	123725.0	30.0
10156.T6.6	77520.0	49.0
10156.4C4	179273.0	190.0
10156.46	107446.0	90.0
10156.1S2	176226.0	31.0
10156.BCWL4.2	65857.0	51.0
10156.1C3.2	20114.0	12.0
10156.BCWL1.3	72840.0	87.0
10156.50	91321.0	19.0
10156.37	160886.0	108.0
10156.BCWL4.3	58329.0	64.0
10156.T2.4	133497.0	155.0
10156.4S4	153687.0	148.0
10156.BCWL2.1	56815.0	41.0
10156.BCWL4.1	118768.0	124.0
10156.41	88399.0	26.0
10156.BCWL5.1	115716.0	113.0
10156.3S2	118552.0	69.0
10156.N1.5	128115.0	18.0
10156.3C4	124861.0	138.0
10156.4S3	89654.0	142.0
10156.11	142261.0	21.0
10156.1T2	150269.0	171.0
10156.19	110651.0	148.0
10156.N2.3	123206.0	312.0
10156.3S5	191077.0	273.0
