	N	N_genus
10346.IO2.36	53569.0	6.0
10346.Webster.3.A11.199	37383.0	1.0
10346.TV10.8.12	73602.0	2.0
10346.TW10.7.II	30047.0	1.0
10346.SH2H2O	77675.0	1.0
10346.SW.19	26453.0	2.0
10346.IF2.WI	61022.0	5.0
10346.TW10.8.I	15954.0	3.0
10346.SI06.133	37401.0	3.0
10346.69	4123.0	1.0
10346.52	3037.0	14.0
10346.BR10B.Nov	70953.0	17.0
10346.TV10.8.2	64262.0	1.0
10346.TW10.9.I	41686.0	8.0
10346.Webster.3.B10.210	61391.0	2.0
10346.SD33SED	72952.0	51.0
10346.AW11.3.I	45624.0	1.0
10346.Webster.4.H7.373	62849.0	1.0
10346.SH1H20	69285.0	5.0
10346.SWSA.2	45795.0	8.0
10346.HW4C.Jul	34078.0	17.0
10346.AW10.4.I	52283.0	1.0
10346.Webster.2.G7.172	127756.0	1.0
10346.HW4C.Nov	53672.0	4.0
10346.AF10.9.15	54723.0	2.0
10346.SI06.11	50866.0	1.0
10346.CL417	20707.0	1.0
10346.HW9A.Jul	26012.0	7.0
10346.75	37231.0	5.0
10346.P12x149	38203.0	1.0
10346.Webster.4.H11.No.sample	41026.0	10.0
10346.SWBH.3	57126.0	17.0
10346.Webster.1.C6.30	45257.0	1.0
10346.Webster.5.C8.408	148626.0	1.0
10346.CL354	18026.0	23.0
10346.Webster.1.G3.75	76763.0	5.0
10346.AF10.5.7	56298.0	1.0
10346.117	42349.0	1.0
10346.110	35845.0	6.0
10346.P12x147	32358.0	1.0
10346.TW10.4.II	46468.0	5.0
10346.TW11.1.I	31926.0	5.0
10346.SWBHPK2	44085.0	4.0
10346.Webster.3.D9.233	64525.0	1.0
10346.AF11.6.9	53701.0	2.0
10346.ALG12.112	18118.0	1.0
10346.TW10.3.I	59558.0	3.0
10346.Webster.3.F7.255	35934.0	1.0
10346.SWBHSS2	66597.0	22.0
10346.AW11.1.III	23661.0	5.0
10346.SI06.66	30039.0	5.0
10346.Webster.2.C1.119	67162.0	4.0
10346.AW11.1.II	42082.0	3.0
10346.IO2.WI	44058.0	1.0
10346.ZA.14	42188.0	1.0
10346.BCH3H2O	63328.0	3.0
10346.Webster.5.B2.390	47907.0	1.0
10346.3.VIII.05.1.008	51081.0	2.0
10346.ZA.38	49324.0	2.0
10346.58	7649.0	1.0
10346.SH31SED	40280.0	1.0
10346.125	35472.0	1.0
10346.SS.28.1	37733.0	2.0
10346.10	58975.0	14.0
10346.AW11.5.III	19998.0	3.0
10346.BCH33SED	22925.0	110.0
10346.IS2.water.gDNA	440.0	232.0
10346.HW9A.Nov	59106.0	6.0
10346.Webster.2.G3.168	76619.0	1.0
10346.Webster.5.C4.404	51720.0	2.0
10346.AW10.8.III	46340.0	12.0
10346.SH12SED	62759.0	1.0
10346.Webster.5.C1.401	82451.0	2.0
10346.SS.9.3	166434.0	1.0
10346.TW10.12.I	53772.0	11.0
10346.P12x130	22242.0	1.0
10346.Webster.3.D1.225	54768.0	1.0
10346.AW11.6.III	34491.0	2.0
10346.73	40321.0	109.0
10346.Webster.3.C12.224	30068.0	2.0
10346.SWBHPK3	40130.0	5.0
10346.Webster.5.B11.399	36736.0	2.0
10346.116	30216.0	1.0
10346.ZA.48	65279.0	1.0
10346.Webster.5.C3.403	162831.0	7.0
10346.TW10.9.II	49921.0	5.0
10346.AW10.5.I	42838.0	4.0
10346.AW11.8.III	46453.0	5.0
10346.P12x51	41295.0	5.0
10346.BCH31SED	56439.0	1.0
10346.P12x19	24720.0	1.0
10346.P12x134	48364.0	1.0
10346.Webster.3.B9.209	101110.0	4.0
10346.TW10.4.III	52315.0	5.0
10346.BR10B.Jan	36166.0	2.0
10346.SD31SED	50915.0	1.0
10346.IO5.13	45624.0	1.0
10346.SWBHSS1	65908.0	32.0
10346.11	49829.0	8.0
10346.SWBHSS3	67957.0	17.0
10346.SWPRD1	71601.0	30.0
10346.128	39540.0	1.0
10346.N50.11.10.11.BC	57414.0	1.0
10346.P12x13	38427.0	1.0
10346.AW11.1.I	64724.0	5.0
10346.SWBH.2	50796.0	14.0
10346.SWBHMPV1	68380.0	59.0
10346.Webster.4.E3.333	52437.0	1.0
10346.AW10.10.III	43321.0	27.0
10346.Webster.5.B9.397	29870.0	9.0
10346.SD23SED	64832.0	3.0
10346.20.X.00.1.015	30785.0	3.0
10346.AW10.4.III	56084.0	1.0
10346.TW11.5.III	43061.0	16.0
10346.41	80335.0	4.0
10346.TW10.8.II	39759.0	5.0
10346.HW14A.Jul	30221.0	1.0
10346.Webster.3.A3.191	53729.0	1.0
10346.SH3H2O	63042.0	8.0
10346.N31.5.9.11.DC	49616.0	4.0
10346.P12x12	33748.0	2.0
10346.AW10.9.II	40307.0	6.0
10346.BCD1H2O	61132.0	3.0
10346.ZA.39	33023.0	1.0
10346.Webster.3.C3.215	53169.0	2.0
10346.TW10.10.I	64334.0	24.0
10346.SS.12.1	84568.0	1.0
10346.Webster.4.F10.352	35369.0	1.0
10346.SS.9.2	124896.0	1.0
10346.Webster.5.C11.411	77323.0	3.0
10346.ML2.water.gDNA	37443.0	3.0
10346.Webster.3.A9.197	122600.0	4.0
10346.Webster.3.D8.232	96511.0	11.0
10346.SWMX1.2	39569.0	2.0
10346.Webster.1.E1.49	41312.0	1.0
10346.Webster.4.B8.302	93769.0	2.0
10346.TV10.10.12	66687.0	1.0
10346.AW10.3.I	44971.0	3.0
10346.Webster.4.H9.375	53989.0	1.0
10346.Webster.5.A11.387	38661.0	1.0
10346.IS1.water.gDNA	732.0	391.0
10346.AW11.4.III	42896.0	3.0
10346.AW10.12.I	42572.0	2.0
10346.BCH2H2O	58224.0	12.0
10346.Webster.4.G9.363	52906.0	2.0
10346.112	36430.0	1.0
10346.Webster.4.D5.323	68934.0	1.0
10346.SS.16.2	46688.0	1.0
10346.5.29.Soil	67355.0	9.0
10346.Webster.5.D4.416	14680.0	1.0
10346.Webster.3.C9.221	114647.0	2.0
10346.Webster.4.D2.320	36370.0	1.0
10346.SWPRBV2	44066.0	4.0
10346.GC.4.2	5509.0	1.0
10346.SI06.97	86374.0	17.0
10346.AW11.8.I	50664.0	3.0
10346.AW10.8.I	39386.0	5.0
10346.TW10.10.III	49385.0	4.0
10346.SS.22.3	69884.0	2.0
10346.CCBH.1	57420.0	1.0
10346.Webster.4.E7.337	103926.0	1.0
10346.CL356	27040.0	12.0
10346.CL352	7683.0	1.0
