	N	N_genus
10346.IO2.36	53569.0	24.0
10346.Webster.3.A11.199	37383.0	6.0
10346.CL415	21863.0	196.0
10346.IF2.36	44298.0	1.0
10346.TV10.5.7	83637.0	11.0
10346.TV11.4.7	71037.0	1.0
10346.ALG12.96	41732.0	9.0
10346.TW10.8.I	15954.0	1.0
10346.ALG12.104	51390.0	3.0
10346.SI06.133	37401.0	103.0
10346.CL257	7401.0	9.0
10346.TV10.9.2	8288.0	3.0
10346.BR10B.Nov	70953.0	2.0
10346.TO11.1.22	36704.0	6.0
10346.22	40006.0	4.0
10346.Webster.3.B10.210	61391.0	18.0
10346.TO11.5.19	90040.0	1.0
10346.SD33SED	72952.0	47.0
10346.BCD32SED	25537.0	56.0
10346.98	36020.0	1.0
10346.SH1H20	69285.0	2.0
10346.AF10.7.9	64960.0	1.0
10346.IO2.8	49002.0	241.0
10346.SWSA.2	45795.0	2.0
10346.P12x73	35112.0	7.0
10346.Webster.3.A5.193	62282.0	2.0
10346.ALG12.110	4106.0	24.0
10346.AW10.4.I	52283.0	1.0
10346.TO10.11.7	51527.0	22.0
10346.PO10.4.18.1182329	46573.0	7.0
10346.SI06.54	112215.0	2.0
10346.14	67058.0	25.0
10346.Webster.3.H4.276	45879.0	5.0
10346.SS.29.3	48239.0	1.0
10346.4	43820.0	5.0
10346.ALG12.90	58693.0	1.0
10346.ALG12.109	21051.0	36.0
10346.Webster.3.B2.202	66133.0	28.0
10346.75	37231.0	2.0
10346.TO11.8.7	40217.0	1.0
10346.IO2.2	46133.0	120.0
10346.Webster.3.A1.189	82934.0	8.0
10346.TO10.12.22	40613.0	8.0
10346.Webster.2.H9.186	89186.0	3.0
10346.SWBH.3	57126.0	2.0
10346.SS.30.2	60104.0	2.0
10346.Webster.1.G3.75	76763.0	2.0
10346.Webster.1.C10.34	7833.0	1.0
10346.Webster.1.G9.81	50668.0	1.0
10346.AF10.5.7	56298.0	1.0
10346.TV10.5.12	100164.0	25.0
10346.HBOI.3.6.VIII.09.1.003	22277.0	5.0
