	N	N_genus
10346.IO2.36	53569.0	3.0
10346.Webster.3.A11.199	37383.0	1.0
10346.TV10.8.12	73602.0	1.0
10346.AF11.3.7	45489.0	2.0
10346.TW10.7.II	30047.0	3.0
10346.SH2H2O	77675.0	1.0
10346.5.11.7D	23835.0	2.0
10346.P110	30223.0	1.0
10346.SS.30.1	72.0	2.0
10346.Webster.1.D11.47	48125.0	3.0
10346.TV11.4.7	71037.0	3.0
10346.Webster.1.D4.40	68737.0	1.0
10346.SW.19	26453.0	51.0
10346.SW.37	37055.0	1.0
10346.ALG12.96	41732.0	2.0
10346.IF2.WI	61022.0	134.0
10346.TW10.8.I	15954.0	8.0
10346.ALG12.104	51390.0	5.0
10346.SI06.133	37401.0	2.0
10346.TW10.9.I	41686.0	4.0
10346.Webster.3.B10.210	61391.0	1.0
10346.Webster.4.H3.369	56296.0	1.0
10346.TO11.5.19	90040.0	3.0
10346.SD33SED	72952.0	4.0
10346.BCD32SED	25537.0	1.0
10346.Webster.2.E10.151	61242.0	3.0
10346.98	36020.0	2.0
10346.AW11.3.I	45624.0	49.0
10346.Webster.4.H7.373	62849.0	7.0
10346.N50.3.1.11.BC	61139.0	1.0
10346.SH1H20	69285.0	1.0
10346.5.11.5H	39948.0	1.0
10346.SWSA.2	45795.0	17.0
10346.Webster.3.A5.193	62282.0	2.0
10346.Webster.5.D9.421	13004.0	6.0
10346.Webster.5.B3.391	42840.0	2.0
10346.ALG12.110	4106.0	3.0
10346.AW10.4.I	52283.0	49.0
10346.PO10.4.18.1182329	46573.0	3.0
10346.Webster.3.H2.274	59296.0	6.0
10346.Webster.2.G7.172	127756.0	4.0
10346.SI06.54	112215.0	1.0
10346.HW4C.Nov	53672.0	2.0
10346.Webster.3.H4.276	45879.0	2.0
10346.SS.29.3	48239.0	2.0
10346.SI06.11	50866.0	148.0
10346.CL417	20707.0	1.0
10346.HW9A.Jul	26012.0	3.0
10346.SS.23.1	59106.0	1.0
10346.ALG12.109	21051.0	1.0
10346.Webster.3.B2.202	66133.0	2.0
10346.Webster.2.G11.176	57057.0	1.0
10346.Webster.4.H2.368	50262.0	1.0
10346.Webster.3.A1.189	82934.0	2.0
10346.46	60570.0	4.0
10346.Webster.2.H9.186	89186.0	2.0
10346.Webster.2.C12.129	52920.0	2.0
10346.Webster.4.H11.No.sample	41026.0	20.0
10346.HBOI38.17.VIII.09.1.003	41931.0	1.0
10346.SWBH.3	57126.0	93.0
10346.TO11.6.19	92461.0	1.0
10346.Webster.1.C6.30	45257.0	2.0
10346.Webster.5.C8.408	148626.0	3.0
10346.Webster.2.B1.107	38048.0	1.0
10346.Webster.5.B8.396	43155.0	1.0
10346.Webster.1.G3.75	76763.0	3.0
10346.Webster.1.C10.34	7833.0	139.0
10346.Webster.1.G9.81	50668.0	1.0
10346.117	42349.0	2.0
10346.P10X38	24501.0	267.0
10346.TV10.5.12	100164.0	2.0
10346.HBOI.3.6.VIII.09.1.003	22277.0	11.0
10346.P12x125	28497.0	2.0
10346.TW10.4.II	46468.0	128.0
10346.77	18876.0	1.0
10346.CCBH.3	57046.0	1.0
10346.TW11.1.I	31926.0	574.0
10346.SWBHPK2	44085.0	81.0
10346.Webster.3.D9.233	64525.0	1.0
10346.Webster.1.C9.33	59419.0	1.0
10346.Webster.3.F1.249	62300.0	2.0
10346.ALG12.112	18118.0	1.0
10346.SW.09	27832.0	62.0
10346.SS.7.1	27625.0	2.0
10346.TW10.3.I	59558.0	68.0
10346.29.V.04.1.006	57056.0	5.0
10346.Webster.3.F7.255	35934.0	1.0
10346.Webster.2.C7.124	124164.0	1.0
10346.Webster.2.F4.157	99495.0	1.0
10346.SWBHSS2	66597.0	129.0
10346.Webster.1.B6.18	54989.0	3.0
10346.AW11.1.III	23661.0	542.0
10346.SI06.66	30039.0	17.0
10346.Webster.2.C1.119	67162.0	1.0
10346.AW11.1.II	42082.0	478.0
10346.AF10.4.9	60739.0	2.0
10346.IO2.WI	44058.0	108.0
10346.TO11.8.19	45673.0	1.0
10346.ZA.14	42188.0	2.0
10346.TV10.6.12	45558.0	1.0
10346.Webster.4.G4.358	56433.0	1.0
10346.BCH3H2O	63328.0	4.0
10346.SS.29.2	40452.0	3.0
10346.IO5.Wctr	53228.0	94.0
10346.Webster.5.B2.390	47907.0	9.0
10346.P12x101	30187.0	3.0
10346.ZA.38	49324.0	14.0
10346.Webster.1.E5.53	63982.0	8.0
10346.CL11	14621.0	2.0
10346.SS.9.1	111793.0	2.0
10346.Webster.3.E4.240	46323.0	1.0
10346.SS.2.1	28862.0	3.0
10346.Webster.1.B2.14	17477.0	50.0
10346.Webster.3.E10.246	64903.0	3.0
10346.SH31SED	40280.0	2.0
10346.AF11.4.15	59125.0	2.0
10346.125	35472.0	2.0
10346.Webster.3.G7.267	41540.0	2.0
10346.Webster.1.D3.39	72323.0	2.0
10346.Webster.3.D6.230	65529.0	1.0
10346.Webster.3.H9.281	134215.0	2.0
10346.10	58975.0	26.0
10346.AW11.5.III	19998.0	13.0
10346.Webster.4.F4.346	64898.0	37.0
10346.Webster.2.C8.125	63167.0	4.0
10346.BCH33SED	22925.0	4.0
10346.P12x121	30170.0	9.0
10346.HW9A.Nov	59106.0	2.0
10346.Webster.2.G12.177	44486.0	2.0
10346.Webster.2.G3.168	76619.0	2.0
10346.Webster.5.C4.404	51720.0	2.0
10346.Webster.2.C11.128	49646.0	1.0
10346.AF10.10.9	31516.0	1.0
10346.AW10.8.III	46340.0	44.0
10346.Webster.5.D2.414	56.0	1.0
10346.SH12SED	62759.0	2.0
10346.Webster.5.C1.401	82451.0	1.0
10346.CL418	14782.0	1.0
10346.TW10.12.I	53772.0	394.0
10346.11.VIII.95.6.001	17645.0	93.0
10346.Webster.2.D4.133	81428.0	1.0
10346.P12x130	22242.0	1.0
10346.TO11.3.7	43694.0	3.0
10346.60	48295.0	1.0
10346.AW11.6.III	34491.0	21.0
10346.Webster.1.D1.37	66302.0	1.0
10346.P12x80	39964.0	1.0
10346.Webster.2.D8.137	50962.0	1.0
10346.Webster.3.C8.220	62554.0	1.0
10346.73	40321.0	1.0
10346.Webster.3.C12.224	30068.0	1.0
10346.Webster.4.F7.349	73702.0	2.0
10346.CCBH.2	42917.0	1.0
10346.Webster.5.D1.413	168.0	1.0
10346.5.29.5H	35045.0	1.0
10346.TO11.4.19	41466.0	5.0
10346.SWBHPK3	40130.0	66.0
10346.Webster.4.E5.335	64313.0	3.0
10346.Webster.5.B11.399	36736.0	18.0
10346.116	30216.0	1.0
10346.Webster.4.A2.284	88214.0	1.0
10346.ZA.41	11561.0	2.0
10346.Webster.5.C3.403	162831.0	5.0
10346.SS.31.3	41231.0	1.0
10346.TW10.9.II	49921.0	6.0
10346.AW10.5.I	42838.0	98.0
10346.AW11.8.III	46453.0	63.0
10346.Webster.3.H12.Negative.control	25177.0	59.0
10346.Webster.4.F1.343	46980.0	18.0
10346.97	46314.0	1.0
10346.Webster.5.B7.395	16337.0	8.0
10346.P12x116	33947.0	14.0
10346.P12x51	41295.0	84.0
10346.BCH31SED	56439.0	4.0
10346.108	17919.0	1.0
10346.5.IV.91.2.003	51124.0	7.0
10346.CCSA.1	44655.0	8.0
10346.SS.26.3	27346.0	1.0
10346.BCD21SED	28059.0	4.0
10346.P12x134	48364.0	10.0
10346.Webster.3.D5.229	43233.0	3.0
10346.Webster.3.A12.200	2293.0	73.0
10346.Webster.3.B9.209	101110.0	3.0
10346.TW10.4.III	52315.0	121.0
10346.TW10.7.III	2.0	1.0
10346.ALG12.113	7705.0	1.0
10346.P12x119	42710.0	8.0
10346.TV11.8.12	49445.0	1.0
10346.27	104455.0	2.0
10346.BR10B.Jan	36166.0	11.0
10346.SD31SED	50915.0	2.0
10346.57	35978.0	2.0
10346.ZA.12	28003.0	1.0
10346.IO5.13	45624.0	1.0
10346.SWBHSS1	65908.0	129.0
10346.11	49829.0	15.0
10346.SWBHSS3	67957.0	134.0
10346.SWPRD1	71601.0	21.0
10346.Webster.3.C7.219	74487.0	1.0
10346.128	39540.0	3.0
10346.N50.11.10.11.BC	57414.0	1.0
10346.SS.8.2	78252.0	5.0
10346.Webster.2.E1.142	48500.0	1.0
10346.Webster.3.D3.227	26665.0	2.0
10346.AW11.1.I	64724.0	1136.0
10346.SWBH.2	50796.0	20.0
10346.SS.32.1	40647.0	1.0
10346.SW.227	2385.0	1.0
10346.14.VIII.09.2.001	35351.0	1.0
10346.SWBHMPV1	68380.0	160.0
10346.IF2.27	55882.0	2.0
10346.TO11.8.22	32271.0	1.0
10346.SW.31	24798.0	64.0
10346.Webster.4.E3.333	52437.0	5.0
10346.SD21SED	8036.0	3.0
10346.ZA.13	40475.0	1.0
10346.AW10.10.III	43321.0	259.0
10346.Webster.3.E5.241	61550.0	1.0
10346.CL24	15371.0	1.0
10346.SW.35	24489.0	1.0
10346.Webster.5.B9.397	29870.0	16.0
10346.Webster.5.A9.385	51358.0	6.0
10346.SD23SED	64832.0	7.0
10346.GC.1.2	59550.0	1.0
10346.IF5.31	46391.0	1.0
10346.PO10.5.1.1181804	47427.0	47.0
10346.Webster.4.D4.322	52399.0	5.0
10346.20.X.00.1.015	30785.0	4.0
10346.AW10.4.III	56084.0	79.0
10346.TW11.5.III	43061.0	331.0
10346.41	80335.0	13.0
10346.TW10.8.II	39759.0	22.0
10346.TW11.1.II	26011.0	443.0
10346.HW14A.Jul	30221.0	3.0
10346.SS.23.2	59290.0	1.0
10346.Webster.3.B5.205	53852.0	2.0
10346.SH3H2O	63042.0	7.0
10346.Webster.1.E4.52	50874.0	2.0
10346.N31.5.9.11.DC	49616.0	1.0
10346.P12x12	33748.0	1.0
10346.Webster.3.C6.218	39133.0	1.0
10346.AW10.9.II	40307.0	237.0
10346.BCD1H2O	61132.0	7.0
10346.IF5.13	56051.0	1.0
10346.Webster.4.D10.328	38854.0	20.0
10346.5.29.8I	28125.0	1.0
10346.Webster.2.G2.167	31013.0	4.0
10346.TV10.7.7	66857.0	1.0
10346.5.11.Soil	24615.0	1.0
10346.ZA.39	33023.0	1.0
10346.Webster.3.C3.215	53169.0	1.0
10346.SS.1.3	24284.0	33.0
10346.TW10.10.I	64334.0	49.0
10346.Webster.4.E4.334	42302.0	2.0
10346.31	56954.0	1.0
10346.Webster.4.F10.352	35369.0	7.0
10346.AF11.3.15	59592.0	1.0
10346.Webster.5.C11.411	77323.0	3.0
10346.ML2.water.gDNA	37443.0	2.0
10346.Webster.3.A9.197	122600.0	2.0
10346.P12x11	68178.0	1.0
10346.Webster.2.D3.132	62991.0	3.0
10346.Webster.3.D8.232	96511.0	2.0
10346.Webster.2.G9.174	89673.0	1.0
10346.SWMX1.2	39569.0	1.0
10346.23	51528.0	9.0
10346.SW.H2O.6	53105.0	14.0
10346.Webster.4.B8.302	93769.0	3.0
10346.TV10.10.12	66687.0	3.0
10346.Webster.4.A11.293	66182.0	1.0
10346.Webster.1.F9.69	107241.0	2.0
10346.ALG12.93	54861.0	3.0
10346.Webster.3.F4.252	56070.0	2.0
10346.HW9A.Jan	4.0	1.0
10346.SS.5.2	27978.0	1.0
10346.AF10.4.7	78087.0	1.0
10346.AW10.3.I	44971.0	58.0
10346.Webster.5.A11.387	38661.0	5.0
10346.5.11.120H	48848.0	1.0
10346.AF10.7.7	56178.0	1.0
10346.Webster.2.H5.182	119603.0	2.0
10346.AW11.4.III	42896.0	70.0
10346.AW10.12.I	42572.0	1191.0
10346.Webster.3.H8.280	138958.0	1.0
10346.P12x109	46293.0	1.0
10346.115	50152.0	48.0
10346.P20	18433.0	73.0
10346.Webster.4.G9.363	52906.0	3.0
10346.Webster.5.A2.378	90.0	2.0
10346.SS.7.2	26263.0	1.0
10346.Webster.5.A1.377	12014.0	4.0
10346.ZA.15	34794.0	5.0
10346.ZA.17	46294.0	1.0
10346.Webster.4.D5.323	68934.0	81.0
10346.Webster.4.B1.295	37727.0	1.0
10346.Webster.5.E2.426	616.0	1.0
10346.ALG12.95	56678.0	2.0
10346.Webster.4.H6.372	36370.0	3.0
10346.5.29.Soil	67355.0	7.0
10346.Webster.3.C9.221	114647.0	1.0
10346.Webster.4.D2.320	36370.0	17.0
10346.SWPRBV2	44066.0	6.0
10346.AW11.4.I	453.0	2.0
10346.TO10.11.22	51852.0	1.0
10346.IF2.23	47488.0	3.0
10346.GC.3.3	57207.0	1.0
10346.GC.4.2	5509.0	1.0
10346.SI06.97	86374.0	967.0
10346.AW11.8.I	50664.0	80.0
10346.AW10.8.I	39386.0	29.0
10346.TW10.10.III	49385.0	27.0
10346.CCBH.1	57420.0	8.0
10346.IO2.13	57164.0	1.0
10346.Webster.4.E7.337	103926.0	9.0
10346.Webster.4.B7.301	140259.0	1.0
10346.Webster.4.H5.371	47035.0	2.0
10346.Webster.2.E6.147	137755.0	3.0
10346.SW.38	23589.0	42.0
10346.GC.1.3	57823.0	1.0
10346.IO5.2	42637.0	1.0
10346.Webster.3.G8.268	75081.0	1.0
10346.SS.16.1	34164.0	1.0
10346.Webster.5.E1.425	33850.0	3.0
10346.ALG12.103	14235.0	9.0
10346.Webster.2.H8.185	71478.0	1.0
10346.SI06.81	47905.0	27.0
10346.Webster.2.C9.126	54437.0	1.0
10346.SWBHMPV2	54841.0	172.0
10346.SW.05	37560.0	37.0
10346.BR10A.Jan	34415.0	163.0
10346.AW10.7.II	30464.0	4.0
10346.GC.4.4	6332.0	4.0
10346.AF11.6.15	53279.0	2.0
10346.IO2.24	53466.0	4.0
10346.Webster.3.H10.282	111232.0	1.0
10346.5.11.7H	25159.0	1.0
10346.IF5.21	60449.0	1.0
10346.56	44296.0	3.0
10346.Webster.3.G9.269	70186.0	2.0
10346.ZA.37	21144.0	1.0
10346.IF5.8	60282.0	1.0
10346.Webster.1.B9.21	65659.0	3.0
10346.AF11.3.9	34567.0	3.0
10346.SS.14.1	71633.0	1.0
10346.BCD13SED	33996.0	5.0
10346.Webster.3.G3.263	29105.0	2.0
10346.IF5.36	71611.0	2.0
10346.Webster.5.E4.428	85969.0	3.0
10346.SW.10	11404.0	2.0
10346.120	33856.0	2.0
10346.Webster.4.B5.299	66441.0	2.0
10346.Webster.1.F5.65	57198.0	1.0
10346.TV11.5.7	67620.0	1.0
10346.SI06.96	30687.0	1.0
10346.70	33718.0	1.0
10346.SD12SED	50414.0	6.0
10346.IO2.21	51917.0	1.0
10346.ML3.water.gDNA	41442.0	1.0
10346.Webster.1.A8.8	5627.0	9.0
10346.AW10.7.III	39426.0	9.0
10346.Webster.2.H6.183	121732.0	5.0
10346.Webster.5.D12.424	6082.0	564.0
10346.5.11.8D	27051.0	1.0
10346.ZA.53	61631.0	2.0
10346.SS.2.2	23092.0	3.0
10346.P12x143	41414.0	55.0
10346.5.11.4D	29735.0	1.0
10346.TW11.3.III	32758.0	157.0
10346.Webster.4.G3.357	33257.0	1.0
10346.Webster.5.B5.393	25485.0	6.0
10346.Webster.4.E12.342	92672.0	4.0
10346.CCSA.2	46493.0	1.0
10346.67	41737.0	2.0
10346.AF10.12.15	54371.0	3.0
10346.ALG12.94	46531.0	21.0
10346.Webster.4.H1.367	20635.0	1.0
10346.BR14A.Jan	35069.0	3.0
10346.AW11.6.II	14793.0	11.0
10346.Webster.1.G11.83	47517.0	1.0
10346.ALG12.115	6781.0	10.0
10346.SS.27.2	26080.0	6.0
10346.TV11.2.12	72009.0	2.0
10346.51	27803.0	3.0
10346.5.11.142D	18439.0	1.0
10346.Webster.4.A12.294	101498.0	1.0
10346.AF10.4.15	58815.0	1.0
10346.GC.2.3	41369.0	1.0
10346.Webster.2.G8.173	28491.0	4.0
10346.TW10.6.II	45276.0	15.0
10346.Webster.2.C5.122	74035.0	1.0
10346.TW10.3.III	60771.0	61.0
10346.P12x126	18091.0	206.0
10346.Webster.5.A5.381	9477.0	2.0
10346.SWSA.1	56354.0	94.0
10346.TW11.4.II	34686.0	177.0
10346.700.1181449	54169.0	4.0
10346.Webster.3.H3.275	35471.0	1.0
10346.Webster.2.E12.153	59437.0	8.0
10346.SW.25	33907.0	2.0
10346.Webster.3.B6.206	41398.0	1.0
10346.HW9C.Jul	33962.0	3.0
10346.BCD22SED	33824.0	3.0
10346.SW.310	42427.0	16.0
10346.SI06.67	77032.0	5.0
10346.AF11.2.7	58308.0	1.0
10346.Webster.1.H3.87	64764.0	1.0
10346.BCD2H2O	51879.0	1.0
10346.Webster.5.E5.429	158643.0	21.0
10346.Webster.4.E8.338	131906.0	10.0
10346.IO5.21	37949.0	4.0
10346.AW11.4.II	35883.0	97.0
10346.Webster.3.B7.207	53342.0	2.0
10346.5.11.6D	39471.0	2.0
10346.BCH21SED	66132.0	16.0
10346.AW10.3.III	39158.0	50.0
10346.IO2.25	51704.0	20.0
10346.AF10.9.9	44965.0	1.0
10346.Webster.2.G1.166	109462.0	7.0
10346.AW10.9.I	44610.0	158.0
10346.P12x144	48861.0	21.0
10346.Webster.2.B8.114	18985.0	3.0
10346.93	36737.0	4.0
10346.5.11.9D	13554.0	1.0
10346.SI06.27	13143.0	3.0
10346.BR14A.Nov	32643.0	4.0
10346.SS.28.3	57712.0	1.0
10346.TW10.8.III	45055.0	13.0
10346.BR10A.Nov	70136.0	94.0
10346.HW4A.Nov	40390.0	39.0
10346.5.29.8D	21388.0	17.0
10346.AW10.4.II	54742.0	89.0
