	N	N_genus
10346.TO10.8.7	53342.0	1.0
10346.AW11.1.II	42082.0	1.0
10346.AW10.8.III	46340.0	1.0
10346.AW11.6.III	34491.0	1.0
10346.Webster.2.H1.178	50375.0	1.0
10346.TW10.9.II	49921.0	1.0
10346.AW10.5.I	42838.0	1.0
10346.AW11.8.III	46453.0	1.0
10346.AW11.1.I	64724.0	1.0
10346.TW10.8.II	39759.0	1.0
10346.Webster.2.D12.141	43349.0	1.0
10346.TW10.10.I	64334.0	2.0
10346.SWMX1.2	39569.0	15.0
10346.Webster.1.F9.69	107241.0	1.0
10346.5.29.Soil	67355.0	5.0
10346.Webster.3.E9.245	131378.0	1.0
10346.Webster.5.E5.429	158643.0	1.0
10346.AW10.3.III	39158.0	1.0
10346.Webster.2.G1.166	109462.0	2.0
10346.BR14A.Nov	32643.0	1.0
10346.BR10A.Nov	70136.0	1.0
10346.Webster.4.A7.289	83340.0	1.0
10346.106	40515.0	1.0
10346.AW10.5.III	32124.0	1.0
10346.SWMX1.1	42674.0	8.0
10346.IF5.Wctr	28283.0	1.0
10346.Webster.2.F1.154	114835.0	1.0
10346.Webster.4.E1.331	10413.0	77.0
10346.AW10.10.II	35819.0	1.0
10156.6	137706.0	50.0
10156.2	102566.0	2.0
10156.35	83851.0	5.0
10156.7	172741.0	3.0
10156.2T5	129958.0	3.0
10156.CBFSNW3	99790.0	1.0
10156.E1.1	127541.0	17.0
10156.2B3	83342.0	4.0
10156.2B1	98298.0	9.0
10156.152b	116898.0	15.0
10156.3C2	156187.0	2.0
10156.32	143268.0	2.0
10156.2B5	144681.0	10.0
10156.48	99791.0	1.0
10156.16	121821.0	3.0
10156.E1.2	242393.0	7.0
10156.4T1	121853.0	7.0
10156.3S1	45565.0	1.0
10156.NW1.A	96406.0	7.0
10156.4	123725.0	5.0
10156.T6.6	77520.0	40.0
10156.4C4	179273.0	19.0
10156.1S2	176226.0	2.0
10156.BCWL4.2	65857.0	8.0
10156.1C3.2	20114.0	1.0
10156.BCWL1.3	72840.0	9.0
10156.50	91321.0	1.0
10156.37	160886.0	5.0
10156.BCWL4.3	58329.0	1.0
10156.4S4	153687.0	13.0
10156.BCWL2.1	56815.0	18.0
10156.BCWL4.1	118768.0	31.0
10156.41	88399.0	2.0
10156.BCWL5.1	115716.0	1.0
10156.3C4	124861.0	4.0
10156.4S3	89654.0	16.0
10156.11	142261.0	2.0
10156.1T2	150269.0	48.0
10156.19	110651.0	1.0
10156.N2.3	123206.0	1.0
10156.3S5	191077.0	3.0
10156.F1.2	101102.0	3.0
10156.1	136091.0	4.0
10156.3B1	174181.0	1.0
10156.2C2	174589.0	1.0
10156.31	143290.0	2.0
10156.4C2	79530.0	5.0
10156.F1.4	72341.0	1.0
10156.BCWL3.1	76751.0	1.0
10156.2T3	73194.0	4.0
10156.38	114607.0	3.0
10156.3T3	198518.0	5.0
10156.T6.1	166101.0	111.0
10156.3C1	80736.0	3.0
10156.40	121571.0	3.0
10156.24	7408.0	1.0
10156.N1.3	220802.0	1.0
10156.29	148954.0	14.0
10156.4S1	209141.0	27.0
10156.23	103939.0	1.0
10156.1B1	148733.0	8.0
10156.3T5	100595.0	1.0
10156.T6.3	118090.0	32.0
10156.T3.4	109292.0	1.0
10156.2T1	135596.0	27.0
10156.1S3.2	189964.0	1.0
10156.1B4	130082.0	8.0
10156.4T4	94925.0	23.0
10156.1T5	196730.0	19.0
10156.2B2	87672.0	3.0
10156.5	77779.0	3.0
10156.E1.4	151138.0	5.0
10156.F1.1	139457.0	7.0
10156.8	70727.0	3.0
10156.2C3	203320.0	3.0
10156.T3.2	118689.0	4.0
10156.T6.4	103997.0	26.0
10156.BCWL1.2	48602.0	6.0
10156.36	52565.0	1.0
10156.13	177268.0	6.0
10156.NW4.A	116573.0	18.0
10156.10	103934.0	8.0
10156.1B3	181237.0	4.0
10156.4B2	198276.0	38.0
10156.4C3	127706.0	22.0
10156.NW2.A	51022.0	2.0
10156.T3.1	128055.0	2.0
10156.N2.4	112320.0	1.0
10156.4B5	199018.0	72.0
10156.F1.5	76147.0	7.0
10156.44	148112.0	2.0
10156.NW3.A	102052.0	5.0
10156.2T2	153508.0	3.0
10156.1S4	128213.0	7.0
10156.3	90493.0	2.0
10156.E1.5	96977.0	2.0
10156.4B1	83020.0	6.0
10156.2S3	87179.0	3.0
10156.56	144012.0	4.0
10156.15	114304.0	5.0
10156.4T2	137266.0	13.0
10156.2C1	111095.0	6.0
10156.2B4	256860.0	6.0
10156.28	90348.0	11.0
10156.BCWL2.2	31711.0	16.0
10156.2S4	165914.0	100.0
10156.2C5	166686.0	7.0
10156.3T4	96879.0	3.0
10156.2S1	85277.0	2.0
10156.2C4	209890.0	5.0
10156.BCWL3.3	101251.0	6.0
10156.BCWL3.2	99494.0	1.0
10156.BCWL5.2	104467.0	5.0
10156.BCWL1.1	74942.0	6.0
10156.2S5	146438.0	3.0
10156.22	105853.0	1.0
10156.NW5.A	142386.0	14.0
10156.1C4	20099.0	2.0
10156.T6.2	126712.0	70.0
10156.T2.5	141130.0	1.0
10156.BCWL2.3	56018.0	49.0
10156.54	172718.0	2.0
10156.BCWL5.3	163492.0	13.0
