	N	N_genus
10156.20	118954.0	1.0
10156.E1.1	127541.0	114.0
10156.T3.6	106185.0	7.0
10156.T3.3	111556.0	45.0
10156.2B5	144681.0	1.0
10156.E1.2	242393.0	280.0
10156.4T1	121853.0	7.0
10156.NW1.A	96406.0	3.0
10156.T6.6	77520.0	5.0
10156.4C4	179273.0	8.0
10156.46	107446.0	6.0
10156.BCWL4.2	65857.0	3.0
10156.BCWL1.3	72840.0	2.0
10156.BCWL4.3	58329.0	1.0
10156.T2.4	133497.0	107.0
10156.4S4	153687.0	6.0
10156.BCWL2.1	56815.0	2.0
10156.BCWL4.1	118768.0	9.0
10156.3S2	118552.0	1.0
10156.N1.5	128115.0	300.0
10156.4S3	89654.0	13.0
10156.1T2	150269.0	1.0
10156.3S5	191077.0	1.0
10156.3B3	134640.0	4.0
10156.F1.2	101102.0	23.0
10156.4C2	79530.0	1.0
10156.F1.4	72341.0	36.0
10156.BCWL3.1	76751.0	1.0
10156.38	114607.0	1.0
10156.3T3	198518.0	3.0
10156.T6.1	166101.0	119.0
10156.40	121571.0	1.0
10156.N1.3	220802.0	140.0
10156.4S1	209141.0	6.0
10156.N1.2	168431.0	57.0
10156.1B1	148733.0	6.0
10156.T6.3	118090.0	34.0
10156.T3.4	109292.0	1.0
10156.2T1	135596.0	2.0
10156.1S3.2	189964.0	1.0
10156.1B4	130082.0	9.0
10156.4T4	94925.0	6.0
10156.1T5	196730.0	13.0
10156.T6.5	56188.0	1.0
10156.E1.4	151138.0	76.0
10156.F1.1	139457.0	51.0
10156.F1.3	106234.0	117.0
10156.56.A	118939.0	1.0
10156.47	63844.0	2.0
10156.T3.2	118689.0	37.0
10156.T6.4	103997.0	17.0
10156.BCWL1.2	48602.0	3.0
10156.13	177268.0	2.0
10156.NW4.A	116573.0	2.0
10156.1B3	181237.0	4.0
10156.4B2	198276.0	2.0
10156.4C3	127706.0	12.0
10156.T2.3	159584.0	24.0
10156.NW2.A	51022.0	3.0
10156.T3.1	128055.0	48.0
10156.N2.4	112320.0	1.0
10156.4B5	199018.0	3.0
10156.F1.5	76147.0	52.0
10156.N2.5	123105.0	1.0
10156.2T2	153508.0	2.0
10156.1S4	128213.0	3.0
10156.4B1	83020.0	6.0
10156.T2.6	153470.0	15.0
10156.2S3	87179.0	2.0
10156.E1.3	136149.0	14.0
10156.56	144012.0	1.0
10156.3T1	116037.0	10.0
10156.3B5	120668.0	2.0
10156.T2.2	40313.0	1.0
10156.4T2	137266.0	3.0
10156.2B4	256860.0	1.0
10156.BCWL2.2	31711.0	4.0
10156.3T4	96879.0	1.0
10156.2C4	209890.0	1.0
10156.BCWL3.2	99494.0	1.0
10156.BCWL1.1	74942.0	1.0
10156.N1.4	143360.0	193.0
10156.45	108913.0	2.0
10156.T6.2	126712.0	8.0
10156.T2.5	141130.0	37.0
10156.BCWL2.3	56018.0	6.0
10156.BCWL5.3	163492.0	1.0
10156.52	144740.0	1.0
10156.2T4	93442.0	1.0
10156.1S1	130705.0	3.0
2192.H03a.Foot.1352.lane6.NoIndex.L006	79899.0	28.0
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	75582.0	8.0
2192.H03a.Hand.1501.lane6.NoIndex.L006	72601.0	9.0
2192.H07b.Hand.4111.lane6.NoIndex.L006	65916.0	49.0
2192.H05b.Kitchen.Counter.2593.lane5.NoIndex.L005	84252.0	58.0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	2.0
2192.H05b.Bathroom.Door.Knob.2958.lane1.NoIndex.L001	59194.0	1.0
2192.H06b.Hand.3226.lane6.NoIndex.L006	65791.0	1.0
2192.H01a.Nose.63.lane6.NoIndex.L006	92971.0	6.0
2192.H05b.Kitchen.Floor.2594.lane5.NoIndex.L005	93080.0	2.0
2192.H05b.Foot.2987.lane5.NoIndex.L005	66212.0	1.0
2192.H03a.Front.Door.Knob.1229.lane5.NoIndex.L005	110674.0	4.0
2192.H06a.Foot.3014.lane5.NoIndex.L005	61633.0	3.0
2192.H03a.Front.Door.Knob.1277.lane5.NoIndex.L005	79520.0	3.0
2192.H04a.Foot.2003.lane6.NoIndex.L006	87969.0	2.0
2192.H03a.Foot.1400.lane6.NoIndex.L006	72279.0	10.0
2192.H06a.Foot.3032.lane5.NoIndex.L005	71730.0	5.0
2192.H01a.Kitchen.Floor.26.lane1.NoIndex.L001	76395.0	8.0
2192.H07a.Hand.3775.lane6.NoIndex.L006	74632.0	2.0
2192.H04a.Dog.Nose.1845.lane6.NoIndex.L006	70394.0	1.0
2192.H01a.Kitchen.Counter.145.lane1.NoIndex.L001	89004.0	111.0
2192.H03a.Kitchen.Floor.1226.lane5.NoIndex.L005	129196.0	2.0
2192.H02a.Kitchen.Counter.625.lane2.NoIndex.L002	54145.0	17.0
2192.H05b.Hand.2938.lane5.NoIndex.L005	49858.0	6.0
2192.H05b.Hand.2623.lane5.NoIndex.L005	92220.0	1.0
2192.H03a.Kitchen.Counter.1345.lane5.NoIndex.L005	122429.0	1.0
2192.H03a.Nose.1353.lane6.NoIndex.L006	52111.0	2.0
2192.H06b.Foot.3248.lane6.NoIndex.L006	71981.0	1.0
2192.H03a.Bedroom.Floor.1372.lane5.NoIndex.L005	117096.0	8.0
2192.H03a.Kitchen.Floor.1346.lane5.NoIndex.L005	100686.0	1.0
2192.H04a.Hand.1933.lane6.NoIndex.L006	78544.0	15.0
2192.H03a.Hand.1333.lane6.NoIndex.L006	89846.0	14.0
2192.H04a.Kitchen.Light.Switch.2091.lane2.NoIndex.L002	70764.0	2.0
2192.H01a.Nose.183.lane6.NoIndex.L006	43608.0	16.0
2192.H02a.Nose.873.lane6.NoIndex.L006	79625.0	2.0
2192.H01a.Kitchen.Floor.74.lane1.NoIndex.L001	103930.0	20.0
2192.H06b.Front.Door.Knob.3293.lane5.NoIndex.L005	61611.0	1.0
2192.H03a.Hand.1405.lane6.NoIndex.L006	78094.0	1.0
2192.H07b.Foot.4040.lane6.NoIndex.L006	45620.0	11.0
2192.H03a.Foot.1520.lane6.NoIndex.L006	61641.0	21.0
2192.H07b.Foot.3968.lane6.NoIndex.L006	73680.0	22.0
2192.H06a.Hand.3010.lane5.NoIndex.L005	64935.0	2.0
2192.H07b.Nose.4092.lane1.NoIndex.L001	106367.0	16.0
2192.H04a.Dog.Foot.1892.lane6.NoIndex.L006	82380.0	24.0
2192.H06b.Hand.3367.lane6.NoIndex.L006	78478.0	80.0
2192.H05b.Foot.2795.lane5.NoIndex.L005	67905.0	2.0
2192.H05b.Foot.2939.lane5.NoIndex.L005	62711.0	5.0
2192.H02a.Nose.921.lane6.NoIndex.L006	88515.0	1.0
2192.H07b.Hand.4138.lane6.NoIndex.L006	68286.0	1.0
2192.H07b.Bedroom.Floor.4036.lane2.NoIndex.L002	52653.0	4.0
2192.H03a.Hand.1453.lane6.NoIndex.L006	56746.0	27.0
2192.H05b.Foot.2480.lane6.NoIndex.L006	81374.0	12.0
2192.H05b.Foot.2963.lane5.NoIndex.L005	79087.0	5.0
2192.H07a.Hand.3751.lane6.NoIndex.L006	74443.0	44.0
2192.H06b.Foot.3374.lane6.NoIndex.L006	73526.0	11.0
2192.H01a.Nose.15.lane6.NoIndex.L006	70480.0	37.0
2192.H06b.Hand.3103.lane5.NoIndex.L005	47846.0	8.0
2192.H03a.Hand.1450.lane6.NoIndex.L006	65737.0	1.0
2192.H03a.Hand.1357.lane6.NoIndex.L006	51211.0	4.0
2192.H05a.Foot.2432.lane6.NoIndex.L006	76925.0	1.0
2192.H02a.Bedroom.Floor.748.lane2.NoIndex.L002	81016.0	1.0
2192.H04a.Bedroom.Floor.2068.lane2.NoIndex.L002	70244.0	1.0
2192.H06b.Kitchen.Floor.3242.lane2.NoIndex.L002	112263.0	3.0
2192.H05b.Foot.2840.lane5.NoIndex.L005	73695.0	5.0
2192.H07b.Front.Door.Knob.4085.lane2.NoIndex.L002	108360.0	9.0
2192.H07b.Front.Door.Knob.3941.lane2.NoIndex.L002	74927.0	14.0
2192.H05b.Foot.2888.lane5.NoIndex.L005	59897.0	4.0
2192.H04a.Nose.1959.lane6.NoIndex.L006	75925.0	6.0
2192.H03a.Front.Door.Knob.1325.lane5.NoIndex.L005	96326.0	10.0
2192.H03a.Kitchen.Floor.1370.lane5.NoIndex.L005	92184.0	1.0
2192.H07b.Nose.4068.lane1.NoIndex.L001	88866.0	1.0
2192.H06b.Hand.3346.lane6.NoIndex.L006	69587.0	1.0
2192.H04a.Foot.1838.lane6.NoIndex.L006	76727.0	7.0
2192.H06b.Hand.3127.lane5.NoIndex.L005	65319.0	3.0
2192.H06b.Kitchen.Counter.3217.lane2.NoIndex.L002	97833.0	2.0
2192.H04a.Foot.1811.lane6.NoIndex.L006	77367.0	1.0
2192.H03a.Front.Door.Knob.1397.lane5.NoIndex.L005	80577.0	1.0
2192.H04a.Hand.1885.lane6.NoIndex.L006	81016.0	2.0
2192.H02a.Front.Door.Knob.869.lane2.NoIndex.L002	58429.0	5.0
2192.H07a.Cat.Paw.3661.lane6.NoIndex.L006	71799.0	4.0
2192.H06b.Hand.3178.lane5.NoIndex.L005	53687.0	1.0
2192.H01a.Kitchen.Floor.218.lane2.NoIndex.L002	57861.0	2.0
2192.H05b.Hand.2671.lane5.NoIndex.L005	35841.0	1.0
2192.H03a.Bathroom.Door.Knob.1350.lane5.NoIndex.L005	86578.0	5.0
2192.H03a.Bedroom.Floor.1348.lane5.NoIndex.L005	106408.0	1.0
2192.H05b.Foot.2744.lane5.NoIndex.L005	68099.0	4.0
2192.H07b.Foot.3944.lane6.NoIndex.L006	71994.0	9.0
2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001	82127.0	1.0
2192.H01a.Kitchen.Floor.2.lane1.NoIndex.L001	74383.0	9.0
2192.H07b.Kitchen.Counter.3865.lane2.NoIndex.L002	99237.0	3.0
2192.H07b.Bathroom.Door.Knob.3870.lane2.NoIndex.L002	69965.0	3.0
2192.H05b.Hand.2791.lane5.NoIndex.L005	73125.0	7.0
2192.H04a.Foot.1934.lane6.NoIndex.L006	60736.0	11.0
2192.H06b.Hand.3229.lane6.NoIndex.L006	62152.0	3.0
2192.H07b.Hand.3874.lane6.NoIndex.L006	68094.0	4.0
2192.H05b.Foot.2456.lane6.NoIndex.L006	79949.0	14.0
2192.H03a.Kitchen.Counter.1417.lane5.NoIndex.L005	66107.0	3.0
2192.H03a.Bathroom.Door.Knob.1230.lane5.NoIndex.L005	128484.0	2.0
2192.H03a.Front.Door.Knob.1205.lane5.NoIndex.L005	107223.0	6.0
2192.H04a.Dog.Foot.1916.lane6.NoIndex.L006	73792.0	12.0
2192.H06b.Foot.3131.lane5.NoIndex.L005	43740.0	3.0
2192.H04a.Dog.Nose.1818.lane6.NoIndex.L006	76263.0	1.0
2192.H05b.Hand.2647.lane5.NoIndex.L005	52069.0	1.0
2192.H04a.Dog.Foot.1964.lane6.NoIndex.L006	78699.0	1.0
2192.H03a.Foot.1310.lane6.NoIndex.L006	77022.0	2.0
2192.H04a.Dog.Nose.2112.lane6.NoIndex.L006	82706.0	4.0
2192.H05b.Hand.2866.lane5.NoIndex.L005	67492.0	1.0
2192.H07b.Hand.3967.lane6.NoIndex.L006	71520.0	14.0
2192.H07a.Front.Door.Knob.3749.lane2.NoIndex.L002	105890.0	12.0
2192.H01a.Bedroom.Floor.4.lane1.NoIndex.L001	83053.0	3.0
2192.H02a.Kitchen.Floor.794.lane2.NoIndex.L002	89217.0	4.0
2192.H05b.Bedroom.Floor.2572.lane5.NoIndex.L005	102764.0	2.0
2192.H01a.Kitchen.Floor.266.lane2.NoIndex.L002	73818.0	1.0
2192.H06b.Bedroom.Floor.3196.lane2.NoIndex.L002	100920.0	2.0
2192.H01a.Kitchen.Counter.25.lane1.NoIndex.L001	81020.0	4.0
2192.H04a.Hand.1906.lane6.NoIndex.L006	74499.0	6.0
2192.H05b.Kitchen.Counter.2785.lane6.NoIndex.L006	61601.0	3.0
2192.H03a.Front.Door.Knob.1253.lane5.NoIndex.L005	111765.0	2.0
2192.H07a.Kitchen.Counter.3745.lane2.NoIndex.L002	91149.0	2.0
2192.H01a.Nose.9.lane6.NoIndex.L006	81733.0	9.0
2192.H05b.Foot.2771.lane5.NoIndex.L005	74098.0	10.0
2192.H04a.Dog.Foot.2057.lane6.NoIndex.L006	76878.0	1.0
2192.H04a.Nose.1836.lane6.NoIndex.L006	92348.0	1.0
2192.H06b.Foot.3152.lane5.NoIndex.L005	52453.0	9.0
2192.H02a.Bedroom.Floor.916.lane2.NoIndex.L002	90268.0	1.0
2192.H06b.Foot.3080.lane5.NoIndex.L005	52494.0	6.0
2192.H05b.Front.Door.Knob.2621.lane5.NoIndex.L005	86158.0	2.0
2192.H03a.Kitchen.Floor.1322.lane5.NoIndex.L005	76181.0	6.0
2192.H03a.Bathroom.Door.Knob.1206.lane5.NoIndex.L005	156052.0	3.0
2192.H05b.Foot.2720.lane5.NoIndex.L005	68791.0	7.0
2192.H03a.Foot.1358.lane6.NoIndex.L006	46012.0	5.0
2192.H02a.Bedroom.Floor.628.lane2.NoIndex.L002	63916.0	2.0
2192.H02a.Bedroom.Floor.844.lane2.NoIndex.L002	56029.0	2.0
2192.H05a.Front.Door.Knob.5004.lane6.NoIndex.L006	51885.0	1.0
2192.H02a.Kitchen.Floor.914.lane2.NoIndex.L002	54322.0	4.0
2192.H01a.Kitchen.Light.Switch.147.lane1.NoIndex.L001	86870.0	3.0
2192.H01a.Bedroom.Floor.220.lane2.NoIndex.L002	56096.0	3.0
2192.H04a.Foot.1982.lane6.NoIndex.L006	89720.0	17.0
2192.H06b.Foot.3230.lane6.NoIndex.L006	53907.0	3.0
2192.H01a.Kitchen.Counter.97.lane1.NoIndex.L001	90943.0	5.0
2192.H04a.Dog.Foot.1841.lane6.NoIndex.L006	81271.0	1.0
2192.H03a.Nose.1404.lane6.NoIndex.L006	68934.0	6.0
2192.H03a.Kitchen.Floor.1250.lane5.NoIndex.L005	133181.0	1.0
2192.H03a.Hand.1306.lane6.NoIndex.L006	48830.0	5.0
2192.H03a.Kitchen.Floor.1394.lane5.NoIndex.L005	141370.0	13.0
2192.H03a.Hand.1495.lane6.NoIndex.L006	76817.0	3.0
2192.H04a.Foot.1832.lane6.NoIndex.L006	77488.0	6.0
2192.H05b.Kitchen.Floor.2762.lane6.NoIndex.L006	127990.0	3.0
2192.H01a.Kitchen.Floor.146.lane1.NoIndex.L001	96783.0	5.0
2192.H03a.Kitchen.Floor.1202.lane2.NoIndex.L002	101797.0	35.0
2192.H05b.Hand.2863.lane5.NoIndex.L005	67405.0	5.0
2192.H06b.Foot.3134.lane5.NoIndex.L005	58969.0	11.0
2192.H04a.Dog.Foot.1865.lane6.NoIndex.L006	83384.0	4.0
2192.H03a.Kitchen.Counter.1297.lane5.NoIndex.L005	89387.0	3.0
2192.H06a.Hand.3031.lane5.NoIndex.L005	67397.0	4.0
2192.H03a.Hand.1330.lane6.NoIndex.L006	65414.0	426.0
2192.H04a.Dog.Nose.1914.lane6.NoIndex.L006	58695.0	6.0
2192.H04a.Nose.1860.lane6.NoIndex.L006	79162.0	5.0
2192.H05b.Kitchen.Counter.2449.lane2.NoIndex.L002	114570.0	1.0
2192.H03a.Kitchen.Light.Switch.1395.lane5.NoIndex.L005	105680.0	1.0
2192.H06b.Kitchen.Floor.3290.lane2.NoIndex.L002	48531.0	24.0
2192.H05b.Foot.2864.lane5.NoIndex.L005	77998.0	5.0
2192.H06b.Hand.3247.lane6.NoIndex.L006	73092.0	2.0
2192.H06b.Hand.3181.lane6.NoIndex.L006	67041.0	9.0
2192.H02a.Kitchen.Floor.842.lane2.NoIndex.L002	49642.0	6.0
2192.H04a.Dog.Foot.1868.lane6.NoIndex.L006	80374.0	18.0
2192.H03a.Hand.1378.lane6.NoIndex.L006	85520.0	53.0
2192.H04a.Hand.1978.lane6.NoIndex.L006	86237.0	1.0
2192.H05b.Foot.2699.lane5.NoIndex.L005	67723.0	6.0
2192.H03a.Bathroom.Door.Knob.1302.lane5.NoIndex.L005	97449.0	1.0
2192.H03a.Bedroom.Floor.1204.lane5.NoIndex.L005	197318.0	7.0
2192.H04a.Dog.Foot.2084.lane6.NoIndex.L006	68238.0	12.0
2192.H07b.Foot.4115.lane6.NoIndex.L006	664332.0	2.0
2192.H04a.Foot.1835.lane6.NoIndex.L006	80727.0	2.0
2192.H07b.Hand.3991.lane6.NoIndex.L006	88563.0	2.0
2192.H01a.Front.Door.Knob.101.lane1.NoIndex.L001	120400.0	23.0
2192.H03a.Foot.1382.lane6.NoIndex.L006	91171.0	3.0
2192.H03a.Front.Door.Knob.1301.lane5.NoIndex.L005	93638.0	5.0
2192.H06b.Front.Door.Knob.3173.lane2.NoIndex.L002	101461.0	5.0
2192.H03a.Kitchen.Light.Switch.1251.lane5.NoIndex.L005	120770.0	1.0
2192.H04a.Kitchen.Counter.2041.lane2.NoIndex.L002	123000.0	2.0
2192.H03a.Kitchen.Floor.1298.lane5.NoIndex.L005	111951.0	1.0
2192.H02a.Front.Door.Knob.845.lane2.NoIndex.L002	70815.0	1.0
2192.H07a.Front.Door.Knob.3653.lane2.NoIndex.L002	102501.0	1.0
2192.H01a.Front.Door.Knob.173.lane2.NoIndex.L002	66364.0	7.0
2192.H03a.Foot.1280.lane6.NoIndex.L006	85348.0	5.0
2192.H07b.Kitchen.Floor.3986.lane2.NoIndex.L002	78520.0	12.0
2192.H02a.Nose.657.lane6.NoIndex.L006	75723.0	1.0
