	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	ph
1001.SKB1	11875.0	2335	11875.0	2335	8.0	3	6.94
1001.SKB2	12706.0	2439	12706.0	2439	8.0	6	6.94
1001.SKB3	15287.0	2544	15287.0	2544	12.0	3	6.94
1001.SKB4	13091.0	2262	13091.0	2262	7.0	3	6.94
1001.SKB5	9823.0	1973	9823.0	1973	6.0	2	6.94
1001.SKB6	10969.0	2080	10969.0	2080	8.0	2	6.94
1001.SKB7	12750.0	834	12750.0	834	0.0	0	6.94
1001.SKB8	12713.0	865	12713.0	865	1.0	1	6.94
1001.SKB9	13453.0	1057	13453.0	1057	0.0	0	6.8
1001.SKD1	1.0	1	1.0	1	0.0	0	6.8
1001.SKD2	11900.0	2119	11900.0	2119	21.0	4	6.8
1001.SKD3	14194.0	2374	14194.0	2374	16.0	4	6.8
1001.SKD4	1.0	1	1.0	1	0.0	0	6.8
1001.SKD6	25039.0	3024	25039.0	3024	11.0	3	6.8
1001.SKD7	11930.0	1125	11930.0	1125	2.0	1	6.8
1001.SKD8	12162.0	1009	12162.0	1009	0.0	0	6.8
1001.SKD9	6428.0	927	6428.0	927	4.0	2	6.82
1001.SKM1	9290.0	2115	9290.0	2115	9.0	3	6.82
1001.SKM2	8597.0	2004	8597.0	2004	12.0	4	6.82
1001.SKM3	13676.0	2517	13676.0	2517	10.0	3	6.82
1001.SKM4	9594.0	1811	9594.0	1811	5.0	2	6.82
1001.SKM5	11004.0	2051	11004.0	2051	8.0	4	6.82
1001.SKM6	1.0	1	1.0	1	0.0	0	6.82
1001.SKM7	21163.0	1297	21163.0	1297	0.0	0	6.82
1001.SKM8	9269.0	779	9269.0	779	0.0	0	6.82
1001.SKM9	14509.0	857	14509.0	857	1.0	1	6.82
10156.1	136091.0	5695	15.0	2	241.0	13	6.6
10156.10	103934.0	4944	27.0	3	323.0	15	6.49
10156.11	142261.0	5526	23.0	1	157.0	12	6.82
10156.12	106510.0	5446	37.0	1	33.0	11	7.18
10156.13	177268.0	6609	24.0	1	70.0	12	7.24
10156.14	6280.0	1587	14.0	1	15.0	3	7.03
10156.15	114304.0	5929	12.0	2	28.0	4	6.86
10156.152b	116898.0	5649	34.0	4	191.0	15	7.44
10156.16	121821.0	6137	21.0	3	80.0	13	5.98
10156.17	122657.0	5971	30.0	3	483.0	16	7.88
10156.18	74293.0	3635	134.0	3	37.0	7	5.33
10156.19	110651.0	5371	55.0	3	18.0	6	5.82
10156.1B1	148733.0	5902	22.0	3	255.0	14	7.34
10156.1B3	181237.0	6152	58.0	1	298.0	15	7.38
10156.1B4	130082.0	4795	16.0	1	142.0	9	6.61
10156.1B5	8921.0	2292	90.0	2	14.0	5	7.0
10156.1C1	490.0	67	6.0	2	0.0	0	6.65
