	N	N_genus
10346.IO2.36	53569.0	9.0
10346.TV10.8.12	73602.0	2.0
10346.CL415	21863.0	3.0
10346.21.X.03.5.008	35571.0	1.0
10346.TW10.7.II	30047.0	1257.0
10346.SH2H2O	77675.0	235.0
10346.P110	30223.0	166.0
10346.TV10.5.7	83637.0	2.0
10346.Webster.1.D4.40	68737.0	5.0
10346.SW.19	26453.0	91.0
10346.SW.37	37055.0	2.0
10346.IF2.WI	61022.0	442.0
10346.TW10.8.I	15954.0	1263.0
10346.ALG12.104	51390.0	15.0
10346.SI06.133	37401.0	5.0
10346.CL257	7401.0	66.0
10346.GC.2.4	58989.0	126.0
10346.BR10B.Nov	70953.0	201.0
10346.TV10.8.2	64262.0	4.0
10346.TW10.9.I	41686.0	3056.0
10346.P12x71	47180.0	1.0
10346.22	40006.0	1.0
10346.Webster.3.B10.210	61391.0	1.0
10346.Webster.4.H3.369	56296.0	8.0
10346.GC.3.2	50663.0	1.0
10346.SD33SED	72952.0	1.0
10346.SS.19.2	51115.0	1.0
10346.AW11.3.I	45624.0	565.0
10346.Webster.4.H7.373	62849.0	19.0
10346.Webster.5.E3.427	75.0	1.0
10346.N50.3.1.11.BC	61139.0	318.0
10346.SH1H20	69285.0	181.0
10346.AF10.8.7	56149.0	2.0
10346.SS.25.2	54077.0	1.0
10346.SWSA.2	45795.0	1906.0
10346.P12x73	35112.0	2.0
10346.Webster.3.A5.193	62282.0	1.0
10346.Webster.5.D9.421	13004.0	158.0
10346.Webster.5.B3.391	42840.0	85.0
10346.HW4C.Jul	34078.0	551.0
10346.ALG12.110	4106.0	35.0
10346.AW10.4.I	52283.0	298.0
10346.Webster.4.B3.297	14139.0	3.0
10346.TO10.11.7	51527.0	1.0
10346.PO10.4.18.1182329	46573.0	5.0
10346.Webster.3.H2.274	59296.0	6.0
10346.SS.32.3	42482.0	1.0
10346.P12x22	34422.0	1.0
10346.Webster.3.G4.264	43325.0	2.0
10346.SI06.54	112215.0	5.0
10346.HW4C.Nov	53672.0	685.0
10346.AF10.6.15	72716.0	1.0
10346.AF10.9.15	54723.0	3.0
10346.4	43820.0	1.0
10346.CL417	20707.0	11.0
10346.HW9A.Jul	26012.0	294.0
10346.ALG12.90	58693.0	12.0
10346.ALG12.109	21051.0	21.0
10346.Webster.3.B2.202	66133.0	2.0
10346.TO11.8.7	40217.0	4.0
10346.IO2.2	46133.0	2.0
10346.P12x149	38203.0	26.0
10346.Webster.4.H2.368	50262.0	8.0
10346.Webster.3.A1.189	82934.0	3.0
10346.46	60570.0	36.0
10346.SS.8.1	30770.0	10.0
10346.Webster.2.H9.186	89186.0	2.0
10346.Webster.4.H11.No.sample	41026.0	42.0
10346.SWBH.3	57126.0	2435.0
10346.TO11.6.19	92461.0	5.0
10346.Webster.1.C6.30	45257.0	15.0
10346.Webster.5.C8.408	148626.0	372.0
10346.CL354	18026.0	1.0
10346.Webster.2.B1.107	38048.0	3.0
10346.Webster.5.B8.396	43155.0	1.0
10346.Webster.1.G3.75	76763.0	168.0
10346.Webster.4.G10.364	37263.0	6.0
10346.AF10.5.7	56298.0	1.0
10346.117	42349.0	4.0
10346.P10X38	24501.0	192.0
10346.TV10.5.12	100164.0	4.0
10346.110	35845.0	8.0
10346.SS.3.1	41269.0	1.0
10346.P12x147	32358.0	23.0
10346.TV11.7.12	58317.0	2.0
10346.P12x125	28497.0	1.0
10346.PO10.5.18.1181613	63040.0	10.0
10346.TW10.4.II	46468.0	245.0
10346.Webster.3.F8.256	67396.0	1.0
10346.77	18876.0	2.0
10346.TO10.12.19	40682.0	4.0
10346.CCBH.3	57046.0	233.0
10346.TW11.1.I	31926.0	295.0
10346.SWBHPK2	44085.0	1255.0
10346.Webster.3.D9.233	64525.0	3.0
10346.Webster.1.C9.33	59419.0	1.0
10346.Webster.3.F1.249	62300.0	1.0
10346.AF11.6.9	53701.0	1.0
10346.ALG12.112	18118.0	50.0
10346.SW.09	27832.0	59.0
10346.SS.7.1	27625.0	5.0
10346.TW10.3.I	59558.0	271.0
10346.29.V.04.1.006	57056.0	2.0
10346.Webster.3.F7.255	35934.0	4.0
10346.AF10.10.15	66605.0	2.0
10346.Webster.2.F4.157	99495.0	1.0
10346.SWBHSS2	66597.0	479.0
10346.CL51	49102.0	5.0
10346.Webster.1.B6.18	54989.0	2.0
10346.AW11.1.III	23661.0	136.0
10346.Webster.3.F2.250	59399.0	1.0
10346.SI06.66	30039.0	2.0
10346.AW11.1.II	42082.0	339.0
10346.Webster.2.B2.108	100.0	1.0
10346.IO2.WI	44058.0	1109.0
10346.TO11.8.19	45673.0	1.0
10346.ZA.14	42188.0	71.0
10346.Webster.3.F6.254	42383.0	1.0
10346.TV10.6.12	45558.0	1.0
10346.Webster.4.G4.358	56433.0	17.0
10346.SS.5.3	30906.0	1.0
10346.BCH3H2O	63328.0	255.0
10346.IO5.Wctr	53228.0	69.0
10346.Webster.5.B2.390	47907.0	594.0
10346.P12x101	30187.0	6.0
10346.ZA.38	49324.0	804.0
10346.Webster.1.E5.53	63982.0	1.0
10346.SS.9.1	111793.0	11.0
10346.Webster.3.E4.240	46323.0	6.0
10346.SS.2.1	28862.0	129.0
10346.Webster.3.E10.246	64903.0	3.0
10346.CL353	67053.0	7.0
10346.SH31SED	40280.0	2.0
10346.AF11.4.15	59125.0	1.0
10346.125	35472.0	20.0
10346.SS.20.3	26015.0	1.0
10346.Webster.1.D3.39	72323.0	3.0
10346.Webster.3.H9.281	134215.0	1.0
10346.107	38076.0	1.0
10346.10	58975.0	99.0
10346.AW11.5.III	19998.0	1921.0
10346.Webster.4.F4.346	64898.0	14.0
10346.26.IX.88.1.023	40133.0	10.0
10346.CL242	12440.0	24.0
10346.BCH33SED	22925.0	3.0
10346.P12x121	30170.0	2.0
10346.TV10.4.7	67217.0	1.0
10346.ALG12.105	59659.0	24.0
10346.HW9A.Nov	59106.0	290.0
10346.Webster.2.G3.168	76619.0	1.0
10346.TO11.2.19	46602.0	3.0
10346.Webster.5.C4.404	51720.0	231.0
10346.SS.19.3	55944.0	1.0
10346.AW10.8.III	46340.0	3909.0
10346.SH12SED	62759.0	6.0
10346.TV10.11.2	55742.0	5.0
10346.Webster.5.C1.401	82451.0	733.0
10346.SS.9.3	166434.0	15.0
10346.CL418	14782.0	18.0
10346.TW10.12.I	53772.0	270.0
10346.BH1.gDNA	50855.0	9.0
10346.60	48295.0	12.0
10346.Webster.3.D1.225	54768.0	3.0
10346.AW11.6.III	34491.0	4205.0
10346.P12x127	1615.0	2.0
10346.Webster.3.C8.220	62554.0	9.0
10346.CL52	31362.0	58.0
10346.CCBH.2	42917.0	154.0
10346.TO11.4.19	41466.0	1.0
10346.SWBHPK3	40130.0	943.0
10346.TO10.7.22	41627.0	1.0
10346.Webster.5.B11.399	36736.0	66.0
10346.116	30216.0	16.0
10346.ZA.48	65279.0	2.0
10346.Webster.4.A9.291	79847.0	2.0
10346.ALG12.1	66301.0	34.0
10346.ZA.41	11561.0	4.0
10346.Webster.5.C3.403	162831.0	1175.0
10346.TW10.9.II	49921.0	3021.0
10346.AW10.5.I	42838.0	1793.0
10346.AW11.8.III	46453.0	5693.0
10346.Webster.4.F1.343	46980.0	1.0
10346.SW.245	47001.0	1433.0
10346.Webster.5.B7.395	16337.0	29.0
10346.P12x116	33947.0	90.0
10346.P12x51	41295.0	126.0
10346.BCH31SED	56439.0	10.0
10346.5.IV.91.2.003	51124.0	19.0
10346.GC.4.5	5660.0	30.0
10346.CCSA.1	44655.0	95.0
10346.P12x19	24720.0	13.0
10346.SS.26.3	27346.0	1.0
10346.BCD21SED	28059.0	3.0
10346.Webster.3.D5.229	43233.0	7.0
10346.CL293	76397.0	1.0
10346.CL251	19331.0	36.0
10346.TW10.4.III	52315.0	364.0
10346.ALG12.113	7705.0	90.0
10346.P12x119	42710.0	4.0
10346.27	104455.0	1.0
10346.BR10B.Jan	36166.0	103.0
10346.SD31SED	50915.0	2.0
10346.57	35978.0	8.0
10346.ZA.12	28003.0	7.0
10346.SWBHSS1	65908.0	524.0
10346.11	49829.0	86.0
10346.SWBHSS3	67957.0	548.0
10346.TO10.11.19	47150.0	1.0
10346.SWPRD1	71601.0	179.0
10346.Webster.3.C7.219	74487.0	6.0
10346.128	39540.0	27.0
10346.N50.11.10.11.BC	57414.0	80.0
10346.P12x13	38427.0	51.0
10346.SS.8.2	78252.0	42.0
10346.Webster.3.D3.227	26665.0	2.0
10346.SW.234	1754.0	17.0
10346.AW11.1.I	64724.0	472.0
10346.SWBH.2	50796.0	2255.0
10346.SS.32.1	40647.0	2.0
10346.SW.32	33056.0	4.0
10346.SW.227	2385.0	14.0
10346.3	45405.0	3.0
10346.14.VIII.09.2.001	35351.0	1.0
10346.SWBHMPV1	68380.0	174.0
10346.TO11.8.22	32271.0	1.0
10346.CL109	24196.0	9.0
10346.SI06.78	7421.0	11.0
10346.SD21SED	8036.0	1.0
10346.ZA.13	40475.0	55.0
10346.AW10.10.III	43321.0	1121.0
10346.Webster.3.E5.241	61550.0	3.0
10346.SW.35	24489.0	2.0
10346.Webster.5.B9.397	29870.0	316.0
10346.Webster.5.A9.385	51358.0	211.0
10346.SD23SED	64832.0	210.0
10346.GC.1.2	59550.0	1.0
10346.TO11.7.19	91648.0	8.0
10346.PO10.5.1.1181804	47427.0	13.0
10346.Webster.4.D4.322	52399.0	23.0
10346.20.X.00.1.015	30785.0	1.0
10346.AW10.4.III	56084.0	219.0
10346.CL301	39115.0	2.0
10346.TW11.5.III	43061.0	817.0
10346.41	80335.0	134.0
10346.TW10.8.II	39759.0	3606.0
10346.TW11.1.II	26011.0	208.0
10346.HW14A.Jul	30221.0	1821.0
10346.SS.23.2	59290.0	1.0
10346.Webster.3.A3.191	53729.0	8.0
10346.PO10.3.1.1181087	44677.0	1.0
10346.SS.15.1	46336.0	2.0
10346.Webster.3.B5.205	53852.0	2.0
10346.SH3H2O	63042.0	437.0
10346.Webster.1.E4.52	50874.0	5.0
10346.N31.5.9.11.DC	49616.0	95.0
10346.5.11.142I	26070.0	1.0
10346.SW.60	26823.0	164.0
10346.P12x12	33748.0	34.0
10346.Webster.3.C6.218	39133.0	5.0
10346.AW10.9.II	40307.0	3525.0
10346.BCD1H2O	61132.0	230.0
10346.11.XII.84.1.014	93843.0	1.0
10346.TV10.7.7	66857.0	4.0
10346.5.11.Soil	24615.0	1.0
10346.ZA.39	33023.0	422.0
10346.109	27578.0	8.0
10346.Webster.3.C3.215	53169.0	2.0
10346.SS.1.3	24284.0	1.0
10346.TW10.10.I	64334.0	1997.0
10346.SS.11.2	79747.0	1.0
10346.SS.12.1	84568.0	1.0
10346.SS.9.2	124896.0	20.0
10346.Webster.5.C11.411	77323.0	205.0
10346.ML2.water.gDNA	37443.0	2206.0
10346.Webster.3.A9.197	122600.0	4.0
10346.113	37001.0	3.0
10346.P12x11	68178.0	1.0
10346.Webster.2.D3.132	62991.0	1.0
10346.CL183	17144.0	2.0
10346.Webster.3.D8.232	96511.0	13.0
10346.AF11.5.15	65286.0	3.0
10346.SWMX1.2	39569.0	340.0
10346.Webster.1.E1.49	41312.0	2.0
10346.Webster.2.B6.112	35217.0	2.0
10346.SW.H2O.6	53105.0	951.0
10346.Webster.4.B8.302	93769.0	1.0
10346.Webster.4.A11.293	66182.0	2.0
10346.Webster.1.F9.69	107241.0	2.0
10346.ALG12.93	54861.0	12.0
10346.Webster.3.F10.258	79723.0	2.0
10346.Webster.3.F4.252	56070.0	2.0
10346.N32.12.6.10.DC	48673.0	84.0
10346.AF10.4.7	78087.0	1.0
10346.AW10.3.I	44971.0	206.0
10346.Webster.4.H9.375	53989.0	10.0
10346.Webster.5.A11.387	38661.0	266.0
10346.IS1.water.gDNA	732.0	42.0
10346.Webster.2.H5.182	119603.0	1.0
10346.AW11.4.III	42896.0	1390.0
10346.P12x23	101406.0	3.0
10346.TO10.6.19	54329.0	1.0
10346.SS.16.3	34882.0	8.0
10346.AW10.12.I	42572.0	231.0
10346.BCH2H2O	58224.0	143.0
10346.IF2.18	58739.0	1.0
10346.118	29284.0	2.0
