	N	N_genus
2192.H06b.Kitchen.Counter.3193.lane2.NoIndex.L002	95526.0	76.0
2192.H02a.Bedroom.Floor.604.lane2.NoIndex.L002	70807.0	1.0
2192.H05b.Foot.2411.lane6.NoIndex.L006	83347.0	2.0
2192.H04a.Dog.Foot.2012.lane5.NoIndex.L005	62954.0	2.0
2192.H07b.Kitchen.Counter.3961.lane2.NoIndex.L002	83987.0	86.0
2192.H04a.Nose.1911.lane6.NoIndex.L006	78011.0	3.0
2192.H01a.Hand.208.lane2.NoIndex.L002	77153.0	6.0
2192.H03a.Foot.1352.lane6.NoIndex.L006	79899.0	39.0
2192.H03a.Hand.1231.lane5.NoIndex.L005	63531.0	1.0
2192.H02a.Bathroom.Door.Knob.774.lane2.NoIndex.L002	93271.0	1.0
2192.H03a.Foot.1478.lane6.NoIndex.L006	79158.0	37.0
2192.H04a.Dog.Nose.1920.lane6.NoIndex.L006	82886.0	37.0
2192.H03a.Foot.1526.lane6.NoIndex.L006	76150.0	2.0
2192.H05b.Front.Door.Knob.2429.lane2.NoIndex.L002	109150.0	14.0
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006	51772.0	7.0
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	138229.0	15.0
2192.H03a.Kitchen.Counter.1369.lane5.NoIndex.L005	93531.0	21.0
2192.H06b.Kitchen.Light.Switch.3339.lane5.NoIndex.L005	49928.0	2.0
2192.H05b.Kitchen.Counter.2737.lane5.NoIndex.L005	78958.0	3.0
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	75582.0	18.0
2192.H05b.Foot.2891.lane5.NoIndex.L005	58032.0	3.0
2192.H05b.Kitchen.Floor.2858.lane1.NoIndex.L001	58766.0	8.0
2192.H06b.Hand.3277.lane6.NoIndex.L006	78229.0	21.0
2192.H03a.Hand.1501.lane6.NoIndex.L006	72601.0	18.0
2192.H06b.Bedroom.Floor.3148.lane5.NoIndex.L005	65474.0	2.0
2192.H05b.Kitchen.Counter.2593.lane5.NoIndex.L005	84252.0	58.0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	19.0
2192.H05b.Hand.2962.lane5.NoIndex.L005	68008.0	1.0
2192.H05b.Hand.2575.lane6.NoIndex.L006	49787.0	3.0
2192.H05b.Bathroom.Door.Knob.2958.lane1.NoIndex.L001	59194.0	1.0
2192.H03a.Bedroom.Floor.1420.lane5.NoIndex.L005	96790.0	16.0
2192.H05b.Foot.2552.lane6.NoIndex.L006	53612.0	1.0
2192.H07a.Cat.Fur.3782.lane6.NoIndex.L006	76240.0	28.0
2192.H04a.Dog.Nose.1896.lane6.NoIndex.L006	58209.0	15.0
2192.H05b.Kitchen.Floor.2666.lane5.NoIndex.L005	75752.0	3.0
2192.H01a.Kitchen.Counter.289.lane2.NoIndex.L002	60696.0	11.0
2192.H01a.Hand.205.lane2.NoIndex.L002	90515.0	1.0
2192.H01a.Front.Door.Knob.77.lane1.NoIndex.L001	115984.0	2.0
2192.H06b.Hand.3226.lane6.NoIndex.L006	65791.0	10.0
2192.H04a.Dog.Foot.1919.lane6.NoIndex.L006	82024.0	2.0
2192.H01a.Nose.63.lane6.NoIndex.L006	92971.0	61.0
2192.H06b.Bedroom.Floor.3124.lane5.NoIndex.L005	63110.0	20.0
2192.H01a.Foot.230.lane2.NoIndex.L002	78732.0	1.0
2192.H03a.Nose.1236.lane6.NoIndex.L006	61815.0	27.0
2192.H03a.Kitchen.Counter.1513.lane5.NoIndex.L005	113173.0	2.0
2192.H05b.Kitchen.Floor.2594.lane5.NoIndex.L005	93080.0	9.0
2192.H05b.Foot.2648.lane5.NoIndex.L005	55486.0	6.0
2192.H07a.Bathroom.Door.Knob.3750.lane2.NoIndex.L002	89474.0	2.0
2192.H07a.Nose.3660.lane6.NoIndex.L006	80229.0	1.0
2192.H05b.Foot.2987.lane5.NoIndex.L005	66212.0	47.0
2192.H02a.Hand.679.lane2.NoIndex.L002	63872.0	4.0
2192.H03a.Bathroom.Door.Knob.1470.lane5.NoIndex.L005	55883.0	1.0
2192.H03a.Front.Door.Knob.1229.lane5.NoIndex.L005	110674.0	33.0
