	N	N_genus
10346.Webster.3.E11.247	43180.0	2.0
10346.Webster.4.G12.366	83889.0	6.0
10346.Webster.5.E4.428	85969.0	1.0
10346.Webster.4.B10.304	47650.0	1.0
10346.P12x144	48861.0	2.0
10346.46	60570.0	1.0
10346.ALG12.97	54365.0	1.0
10346.SW.227	2385.0	1.0
10346.P12x130	22242.0	5.0
10346.ALG12.114	24388.0	1.0
10346.P12x124	8338.0	1.0
10346.88	51753.0	1.0
10346.P12x143	41414.0	1.0
10346.ZA.41	11561.0	1.0
10346.5.29.Soil	67355.0	6.0
10346.ALG12.108	29066.0	1.0
10346.CCSA.2	46493.0	1.0
10346.P12x133	9174.0	8.0
10346.P12x132	6098.0	10.0
10346.TV10.10.7	50045.0	2.0
10346.P12x126	18091.0	2.0
10346.P12x75	43650.0	1.0
10346.SI06.80	29076.0	20.0
10346.P12x145	32076.0	1.0
10346.SD13SED	37692.0	2.0
10346.SI06.133	37401.0	1.0
10346.P12x116	33947.0	1.0
10346.SD33SED	72952.0	5.0
10346.P12x121	30170.0	4.0
10346.SW.H2O.6	53105.0	1.0
10346.P12x54	73195.0	10.0
10346.P12x18	30436.0	1.0
10346.SW.31	24798.0	80.0
10346.SW.38	23589.0	925.0
10346.P10X53	60813.0	102.0
10346.SWPRD1	71601.0	8.0
10346.21.X.03.1.001	40652.0	1.0
10346.N50.9.1.11.BC	119582.0	5.0
10346.SWBHSS1	65908.0	2.0
10346.67	41737.0	1.0
10346.SW.16	23715.0	1.0
10346.SD11SED	46495.0	6.0
10346.ZA.44	35631.0	1.0
10346.CCBH.3	57046.0	1.0
10346.CL11	14621.0	1.0
10346.SWPRD3	66419.0	5.0
10346.CL417	20707.0	1.0
10346.SH31SED	40280.0	1.0
10346.SH11SED	64964.0	2.0
10346.IF5.7	43114.0	25.0
10346.AW11.6.I	30311.0	4.0
10346.TV11.6.12	63455.0	3.0
10346.TV10.10.12	66687.0	1.0
10346.N32.5.9.11.DC	53662.0	2.0
10346.26.IX.88.1.023	40133.0	1.0
10346.SD22SED	70528.0	1.0
10346.BCD32SED	25537.0	6.0
10346.CL299	11010.0	3.0
10346.P12x129	6400.0	1.0
10346.P12x119	42710.0	6.0
10346.TW10.10.II	31280.0	2.0
10346.SWSA.1	56354.0	1.0
10346.HW9A.Nov	59106.0	14.0
10346.AW11.4.III	42896.0	1.0
10346.TO10.7.22	41627.0	1.0
10346.SH33SED	40320.0	1.0
10346.P12x56	28479.0	80.0
10346.HW4C.Nov	53672.0	21.0
10346.TW10.3.I	59558.0	5.0
10346.IF2.WIII	64886.0	2.0
10346.AW11.6.II	14793.0	4.0
10346.SH23SED	44888.0	2.0
10346.IF2.31	46812.0	98.0
10346.SWPRD2	70845.0	4.0
10346.SWBHSS2	66597.0	1.0
10346.IF5.Wnh	36671.0	3.0
10346.AW10.3.II	55030.0	4.0
10346.TW11.3.I	53616.0	1.0
10346.ZA.53	61631.0	1.0
10346.BR10A.Nov	70136.0	14.0
10346.TW10.3.II	62043.0	3.0
