	N	N_genus
10346.Webster.4.B9.303	461.0	197.0
10346.CL415	21863.0	84.0
10346.Webster.1.D11.47	48125.0	1.0
10346.TV11.4.7	71037.0	1.0
10346.SW.19	26453.0	4.0
10346.SW.37	37055.0	2.0
10346.IF2.WI	61022.0	5.0
10346.TW10.8.I	15954.0	1.0
10346.ALG12.104	51390.0	74.0
10346.GC.2.4	58989.0	1.0
10346.52	3037.0	25.0
10346.TW10.9.I	41686.0	2.0
10346.Webster.3.B10.210	61391.0	1.0
10346.SD33SED	72952.0	3.0
10346.BCD32SED	25537.0	6.0
10346.Webster.2.E10.151	61242.0	2.0
10346.SH1H20	69285.0	1.0
10346.Webster.4.G1.355	23207.0	1.0
10346.P12x73	35112.0	1.0
10346.124	37016.0	36.0
10346.Webster.5.B3.391	42840.0	1.0
10346.ALG12.110	4106.0	2.0
10346.Webster.4.B3.297	14139.0	1.0
10346.HW4C.Nov	53672.0	1.0
10346.Webster.2.E8.149	62352.0	1.0
10346.ALG12.90	58693.0	2.0
10346.ALG12.109	21051.0	3.0
10346.21.X.03.1.001	40652.0	5.0
10346.Webster.2.F11.164	47246.0	1.0
10346.Webster.4.H11.No.sample	41026.0	16.0
10346.SWBH.3	57126.0	2.0
10346.Webster.5.C8.408	148626.0	1.0
10346.CL354	18026.0	3.0
10346.Webster.5.B8.396	43155.0	5.0
10346.Webster.1.G3.75	76763.0	2.0
10346.Webster.1.G9.81	50668.0	50.0
10346.P10X38	24501.0	17.0
10346.PO10.5.18.1181613	63040.0	1.0
10346.P12x74	44948.0	1.0
10346.ZA.40	15951.0	10.0
10346.CCBH.3	57046.0	1.0
10346.TW11.1.I	31926.0	1.0
10346.Webster.3.F1.249	62300.0	1.0
10346.ALG12.112	18118.0	3.0
10346.SW.09	27832.0	11.0
10346.SS.7.1	27625.0	24.0
10346.TW10.3.I	59558.0	1.0
10346.29.V.04.1.006	57056.0	2.0
10346.CL302	15608.0	5.0
10346.Webster.2.C7.124	124164.0	1.0
10346.Webster.2.F4.157	99495.0	15.0
10346.CL51	49102.0	3.0
10346.AW11.1.III	23661.0	1.0
10346.SI06.66	30039.0	2.0
10346.AW11.1.II	42082.0	1.0
10346.Webster.2.B2.108	100.0	3.0
10346.IO2.WI	44058.0	12.0
10346.ZA.14	42188.0	2.0
10346.5.11.143I	27933.0	9.0
10346.SS.5.3	30906.0	2.0
10346.BCH3H2O	63328.0	1.0
10346.SS.29.2	40452.0	2.0
10346.IO5.Wctr	53228.0	15.0
10346.Webster.5.B2.390	47907.0	1.0
10346.3.VIII.05.1.008	51081.0	3.0
10346.ZA.38	49324.0	1.0
10346.SS.9.1	111793.0	3.0
10346.Webster.1.B2.14	17477.0	6.0
10346.CL353	67053.0	2.0
10346.SH31SED	40280.0	2.0
10346.26.IX.88.1.023	40133.0	16.0
10346.CL242	12440.0	3.0
10346.Webster.2.C8.125	63167.0	4.0
10346.BCH33SED	22925.0	31.0
10346.TV10.4.7	67217.0	1.0
10346.ALG12.105	59659.0	5.0
10346.CL266	12898.0	120.0
10346.SH12SED	62759.0	2.0
10346.Webster.5.C1.401	82451.0	1.0
10346.TW10.12.I	53772.0	1.0
10346.Webster.3.C8.220	62554.0	1.0
10346.SS.27.1	16828.0	6.0
10346.CL52	31362.0	8.0
10346.27.V.93.2.7	47432.0	13.0
10346.ALG12.1	66301.0	1.0
10346.Webster.4.H4.370	27771.0	4.0
10346.Webster.3.H12.Negative.control	25177.0	18.0
10346.Webster.4.F1.343	46980.0	3.0
10346.SW.245	47001.0	4.0
10346.Webster.5.B7.395	16337.0	16.0
10346.P12x51	41295.0	44.0
10346.BCH31SED	56439.0	2.0
10346.5.IV.91.2.003	51124.0	46.0
10346.GC.4.5	5660.0	8.0
10346.BCD21SED	28059.0	3.0
10346.Webster.3.D5.229	43233.0	1.0
10346.CL293	76397.0	6.0
10346.TW10.4.III	52315.0	1.0
10346.ALG12.113	7705.0	8.0
10346.SD31SED	50915.0	1.0
10346.11	49829.0	2.0
10346.SWPRD1	71601.0	1.0
10346.SWBH.2	50796.0	4.0
10346.SW.32	33056.0	2.0
10346.SW.227	2385.0	1.0
10346.CL268	28708.0	61.0
10346.CL109	24196.0	29.0
10346.SW.31	24798.0	58.0
10346.ZA.13	40475.0	4.0
10346.AW10.10.III	43321.0	4.0
10346.Webster.3.E5.241	61550.0	1.0
10346.CL24	15371.0	10.0
10346.SW.35	24489.0	3.0
10346.Webster.5.A9.385	51358.0	2.0
10346.SD23SED	64832.0	3.0
10346.SS.13.1	30229.0	2.0
10346.20.X.00.1.015	30785.0	59.0
10346.TW11.5.III	43061.0	1.0
10346.TW11.1.II	26011.0	2.0
10346.SW.60	26823.0	1.0
10346.11.XII.84.1.014	93843.0	7.0
10346.5.29.8I	28125.0	2.0
10346.Webster.2.D12.141	43349.0	32.0
10346.5.11.Soil	24615.0	1.0
10346.ZA.39	33023.0	7.0
10346.TW10.10.I	64334.0	2.0
10346.5.11.143D	23186.0	14.0
10346.SS.9.2	124896.0	2.0
10346.Webster.2.G9.174	89673.0	1.0
10346.Webster.2.C6.123	68936.0	195.0
10346.Webster.1.E1.49	41312.0	3.0
10346.SW.H2O.6	53105.0	4.0
10346.Webster.4.B8.302	93769.0	8.0
10346.Webster.4.A11.293	66182.0	1.0
10346.ALG12.93	54861.0	1.0
10346.N32.12.6.10.DC	48673.0	2.0
10346.Webster.4.H9.375	53989.0	1.0
10346.Webster.5.A11.387	38661.0	12.0
10346.AW11.4.III	42896.0	2.0
10346.SS.16.3	34882.0	1.0
10346.AW10.12.I	42572.0	2.0
10346.Webster.5.A2.378	90.0	2.0
10346.112	36430.0	6.0
10346.SS.7.2	26263.0	4.0
10346.TO11.2.7	58287.0	44.0
10346.SS.16.2	46688.0	2.0
10346.Webster.2.E7.148	84708.0	1.0
10346.Webster.5.D11.423	59.0	2.0
10346.ALG12.95	56678.0	2.0
10346.5.29.Soil	67355.0	23.0
10346.GC.4.2	5509.0	2.0
10346.Webster.5.A10.386	29671.0	56.0
10346.SI06.97	86374.0	62.0
10346.AW11.8.I	50664.0	1.0
10346.AW10.8.I	39386.0	1.0
10346.14.VIII.09.2.003	44094.0	1.0
10346.Webster.4.H5.371	47035.0	1.0
10346.SS.16.1	34164.0	8.0
10346.CL356	27040.0	2.0
10346.ALG12.103	14235.0	3.0
10346.Webster.2.H8.185	71478.0	1.0
10346.SI06.81	47905.0	3.0
10346.SWBHMPV2	54841.0	1.0
10346.SW.05	37560.0	10.0
10346.BR10A.Jan	34415.0	7.0
10346.SS.11.3	44652.0	1.0
10346.GC.4.4	6332.0	2.0
10346.Webster.2.A5.99	919.0	27.0
10346.SS.14.1	71633.0	15.0
10346.BCD13SED	33996.0	1.0
10346.SW.10	11404.0	12.0
10346.5.11.136H	41423.0	7.0
10346.CL12	10136.0	2.0
10346.SI06.96	30687.0	18.0
10346.Webster.2.H6.183	121732.0	49.0
10346.IF2.7	53246.0	1.0
10346.P12x143	41414.0	1.0
10346.5.11.4D	29735.0	1.0
10346.Webster.5.B5.393	25485.0	2.0
10346.Webster.2.E11.152	22626.0	2.0
10346.ALG12.94	46531.0	10.0
10346.AW11.6.II	14793.0	1.0
10346.ALG12.115	6781.0	3.0
10346.SS.27.2	26080.0	10.0
10346.Webster.2.C5.122	74035.0	3.0
10346.P12x126	18091.0	52.0
10346.TO10.8.22	54564.0	1.0
