	N	N_genus
10346.Webster.3.D9.233	64525.0	1.0
10346.TW10.12.I	53772.0	1.0
10346.P12x51	41295.0	4.0
10346.Webster.3.D8.232	96511.0	1.0
10346.115	50152.0	19.0
10346.Webster.2.A5.99	919.0	36.0
10346.P12x54	73195.0	2.0
10346.P31	26589.0	1.0
10156.12	106510.0	1.0
10156.7	172741.0	6.0
10156.2T5	129958.0	3.0
10156.E1.1	127541.0	9.0
10156.T3.6	106185.0	1.0
10156.CBFSNW2	140814.0	5.0
10156.152b	116898.0	3.0
10156.2B5	144681.0	1.0
10156.48	99791.0	1.0
10156.16	121821.0	2.0
10156.E1.2	242393.0	62.0
10156.4T1	121853.0	1.0
10156.4	123725.0	2.0
10156.T6.6	77520.0	4.0
10156.4C4	179273.0	4.0
10156.46	107446.0	20.0
10156.BCWL4.2	65857.0	2.0
10156.37	160886.0	22.0
10156.T2.4	133497.0	22.0
10156.BCWL4.1	118768.0	1.0
10156.3S2	118552.0	2.0
10156.3C4	124861.0	2.0
10156.11	142261.0	1.0
10156.1T2	150269.0	5.0
10156.2C2	174589.0	1.0
10156.1T1	40229.0	1.0
10156.BCWL3.1	76751.0	1.0
10156.2T3	73194.0	1.0
10156.38	114607.0	1.0
10156.3T3	198518.0	2.0
10156.T6.1	166101.0	8.0
10156.1B5	8921.0	1.0
10156.23	103939.0	1.0
10156.1B1	148733.0	2.0
10156.3T5	100595.0	4.0
10156.42	31621.0	1.0
10156.2T1	135596.0	6.0
10156.1S3.2	189964.0	32.0
10156.1B4	130082.0	1.0
10156.E1.4	151138.0	2.0
10156.F1.1	139457.0	2.0
10156.F1.3	106234.0	2.0
10156.34	77129.0	2.0
10156.2C3	203320.0	2.0
10156.T6.4	103997.0	1.0
10156.53	129592.0	4.0
10156.BCWL1.2	48602.0	1.0
10156.36	52565.0	5.0
10156.10	103934.0	1.0
10156.1B3	181237.0	1.0
10156.4B2	198276.0	1.0
10156.T2.3	159584.0	1.0
10156.T3.1	128055.0	4.0
10156.N2.4	112320.0	1.0
10156.4B5	199018.0	4.0
10156.F1.5	76147.0	13.0
10156.33	189008.0	4.0
10156.44	148112.0	1.0
10156.2S2	125066.0	9.0
10156.2T2	153508.0	5.0
10156.1S4	128213.0	1.0
10156.4B1	83020.0	2.0
10156.T2.6	153470.0	2.0
10156.E1.3	136149.0	5.0
10156.56	144012.0	4.0
10156.3B5	120668.0	2.0
10156.2C1	111095.0	1.0
10156.2B4	256860.0	6.0
10156.2C5	166686.0	6.0
10156.3T4	96879.0	1.0
10156.BCWL5.2	104467.0	10.0
10156.BCWL1.1	74942.0	1.0
10156.22	105853.0	1.0
10156.NW5.A	142386.0	5.0
10156.45	108913.0	1.0
10156.BCWL2.3	56018.0	2.0
10156.BCWL5.3	163492.0	3.0
10156.2T4	93442.0	1.0
10156.1S1	130705.0	6.0
2192.H07b.Kitchen.Counter.3961.lane2.NoIndex.L002	83987.0	2.0
2192.H03a.Foot.1352.lane6.NoIndex.L006	79899.0	2.0
2192.H03a.Foot.1478.lane6.NoIndex.L006	79158.0	1.0
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	138229.0	4.0
2192.H03a.Kitchen.Counter.1369.lane5.NoIndex.L005	93531.0	1.0
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	75582.0	2.0
2192.H06b.Hand.3277.lane6.NoIndex.L006	78229.0	3.0
2192.H07b.Hand.4111.lane6.NoIndex.L006	65916.0	1.0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	1.0
2192.H05b.Hand.2962.lane5.NoIndex.L005	68008.0	1.0
2192.H07a.Cat.Fur.3782.lane6.NoIndex.L006	76240.0	8.0
2192.H04a.Dog.Nose.1896.lane6.NoIndex.L006	58209.0	1.0
2192.H06b.Hand.3226.lane6.NoIndex.L006	65791.0	2.0
2192.H01a.Nose.63.lane6.NoIndex.L006	92971.0	1.0
2192.H07a.Bathroom.Door.Knob.3750.lane2.NoIndex.L002	89474.0	1.0
2192.H05b.Foot.2987.lane5.NoIndex.L005	66212.0	7.0
2192.H03a.Front.Door.Knob.1229.lane5.NoIndex.L005	110674.0	3.0
2192.H03a.Nose.1212.lane6.NoIndex.L006	83423.0	2.0
2192.H04a.Hand.1957.lane6.NoIndex.L006	65707.0	1.0
