	N	N_genus
10346.AW11.3.I	45624.0	2.0
10346.Webster.5.B3.391	42840.0	1.0
10346.Webster.2.G11.176	57057.0	1.0
10346.SWBH.3	57126.0	1.0
10346.PO10.5.18.1181613	63040.0	1.0
10346.AW10.8.III	46340.0	1.0
10346.Webster.5.C3.403	162831.0	1.0
10346.AW10.5.I	42838.0	1.0
10346.AW11.8.III	46453.0	4.0
10346.Webster.3.D5.229	43233.0	1.0
10346.Webster.5.A9.385	51358.0	1.0
10346.Webster.3.C3.215	53169.0	1.0
10346.Webster.5.C11.411	77323.0	1.0
10346.Webster.3.D8.232	96511.0	1.0
10346.Webster.5.A11.387	38661.0	1.0
10346.TV11.3.12	78128.0	2.0
10346.AW11.8.I	50664.0	3.0
10346.Webster.3.G8.268	75081.0	1.0
10346.TW11.3.III	32758.0	2.0
10346.Webster.5.B5.393	25485.0	2.0
10346.TW10.3.III	60771.0	2.0
10346.TW11.4.II	34686.0	1.0
10346.AW11.4.II	35883.0	2.0
10346.BCH21SED	66132.0	1.0
10346.IO2.25	51704.0	1.0
10346.TO10.12.7	57215.0	2.0
10346.TV10.12.12	77886.0	1.0
10346.Webster.2.B7.113	69120.0	1.0
10346.Webster.5.E6.430	96622.0	1.0
10346.AW10.12.II	13030.0	1.0
10346.AW10.5.III	32124.0	2.0
10346.Webster.3.B1.201	62077.0	1.0
10346.IF5.Wctr	28283.0	4.0
10346.Webster.1.G8.80	63235.0	1.0
10346.Webster.2.D6.135	176360.0	1.0
10346.Webster.3.F5.253	87261.0	1.0
10346.TW10.9.III	65723.0	1.0
10346.TW10.11.I	34612.0	1.0
10346.AW10.5.II	46079.0	1.0
10346.IF5.Wnh	36671.0	1.0
10346.BCD33SED	64073.0	1.0
10346.TW10.3.II	62043.0	2.0
10346.Webster.1.D7.43	331958.0	1.0
10346.Webster.5.A7.383	395.0	125.0
10346.TW10.11.III	58625.0	2.0
10346.Webster.3.G1.261	70565.0	2.0
