protein_id KEGG_Orthology species phylum genus num
G_02086 K02836 bsu Firmicutes Bacilli 630
G_00059 K01687 bsu Firmicutes Bacilli 1107
G_01081 K03308 bsu Firmicutes Bacilli 760
G_04173 K04567 bsu Firmicutes Bacilli 1025
G_00323 K01262 bsu Firmicutes Bacilli 677
G_01715 K01591 bsu Firmicutes Bacilli 489
G_03052 K01567 bsu Firmicutes Bacilli 518
G_01741 K00949 bsu Firmicutes Bacilli 440
G_02535 K02313 bsu Firmicutes Bacilli 916
G_03576 K18926 bsu Firmicutes Bacilli 875
G_03887 K01809 bsu Firmicutes Bacilli 632
G_01323 K03790 bsu Firmicutes Bacilli 372
G_02018 K10441 bsu Firmicutes Bacilli 1003
G_03542 K02002 bsu Firmicutes Bacilli 570
G_01769 K01903 bsu Firmicutes Bacilli 743
G_01517 K13532 bsu Firmicutes Bacilli 974
G_02342 K00537 bsu Firmicutes Bacilli 243
G_00128 K03886 bsu Firmicutes Bacilli 352
G_04064 K13955 bsu Firmicutes Bacilli 651
G_01970 K03569 bsu Firmicutes Bacilli 664
G_03061 K00161 bsu Firmicutes Bacilli 667
G_01221 K00390 bsu Firmicutes Bacilli 494
G_03974 K03839 pll Firmicutes Bacilli 66
G_02613 K06714 bsu Firmicutes Bacilli 954
G_04161 K03525 bsu Firmicutes Bacilli 532
G_02179 K19417 bsu Firmicutes Bacilli 307
G_01752 K02078 bao Firmicutes Bacilli 110
G_00424 K09761 bsu Firmicutes Bacilli 504
G_00414 K06217 bsu Firmicutes Bacilli 615
G_00776 K02916 bsu Firmicutes Bacilli 107
G_02963 K18198 bsu Firmicutes Bacilli 1245
G_00368 K01934 bsu Firmicutes Bacilli 390
G_01513 K08967 bsu Firmicutes Bacilli 363
G_02895 K01588 bsu Firmicutes Bacilli 303
G_00169 K00384 bjs Firmicutes Bacilli 623
G_02905 K00602 bsu Firmicutes Bacilli 1044
G_03039 K05520 bjs Firmicutes Bacilli 340
G_00150 K01495 bjs Firmicutes Bacilli 389
G_01162 K15640 bsu Firmicutes Bacilli 404
G_01506 K08963 bsu Firmicutes Bacilli 728
G_02256 K03664 bjs Firmicutes Bacilli 296
G_01114 K02495 bsu Firmicutes Bacilli 1043
G_01164 K01897 bsu Firmicutes Bacilli 959
G_00808 K00850 bsu Firmicutes Bacilli 637
G_01347 K02301 bsu Firmicutes Bacilli 579
G_01763 K00554 bsu Firmicutes Bacilli 503
G_02013 K11748 esi Firmicutes Bacilli 216
G_02707 K04023 bjs Firmicutes Bacilli 664
G_01782 K02410 bsu Firmicutes Bacilli 674
G_03578 K01304 bsu Firmicutes Bacilli 425
G_03278 K09769 bsu Firmicutes Bacilli 538
G_02411 K00364 bsu Firmicutes Bacilli 647
G_00961 K00426 bsu Firmicutes Bacilli 579
G_02687 K11633 bsu Firmicutes Bacilli 637
G_03380 K17763 bsu Firmicutes Bacilli 555
G_00970 K08680 bsu Firmicutes Bacilli 567
G_01757 K09787 bjs Firmicutes Bacilli 142
G_02418 K01255 bsu Firmicutes Bacilli 1030
G_00864 K02557 bsu Firmicutes Bacilli 395
G_01017 K15555 bsu Firmicutes Bacilli 518
G_02000 K07240 bsu Firmicutes Bacilli 367
G_00701 K01698 bsu Firmicutes Bacilli 674
G_03709 K06323 bsu Firmicutes Bacilli 534
G_00911 K00652 bsu Firmicutes Bacilli 772
G_01873 K01990 bsu Firmicutes Bacilli 494
G_04298 K15518 bsu Firmicutes Bacilli 426
