protein_id KEGG_Orthology species phylum genus num
G_02546 K02892 mup Bacteroidetes Others 186
G_02546 K02892 mup Bacteroidetes Others 186
G_02086 K18682 mup Bacteroidetes Others 919
G_02086 K18682 mup Bacteroidetes Others 919
G_01959 K00790 mup Bacteroidetes Others 842
G_01959 K00790 mup Bacteroidetes Others 842
G_01499 K01595 mup Bacteroidetes Others 1529
G_01499 K01595 mup Bacteroidetes Others 1529
G_00059 K03294 mup Bacteroidetes Others 611
G_00059 K03294 mup Bacteroidetes Others 611
G_01695 K07124 mup Bacteroidetes Others 341
G_01695 K07124 mup Bacteroidetes Others 341
G_02805 K00639 mup Bacteroidetes Others 771
G_02805 K00639 mup Bacteroidetes Others 771
G_00816 K00874 mup Bacteroidetes Others 507
G_00816 K00874 mup Bacteroidetes Others 507
G_02058 K06942 mup Bacteroidetes Others 625
G_02058 K06942 mup Bacteroidetes Others 625
G_00461 K00342 mup Bacteroidetes Others 815
G_00461 K00342 mup Bacteroidetes Others 815
G_01096 K06221 hau Chloroflexi Others 385
G_01096 K06221 hau Chloroflexi Others 385
G_00896 K01589 mup Bacteroidetes Others 697
G_00896 K01589 mup Bacteroidetes Others 697
G_01741 K01921 mup Bacteroidetes Others 556
G_01741 K01921 mup Bacteroidetes Others 556
G_03161 K03723 mup Bacteroidetes Others 2119
G_03161 K03723 mup Bacteroidetes Others 2119
G_02535 K02954 mup Bacteroidetes Others 172
G_02535 K02954 mup Bacteroidetes Others 172
G_00429 K06909 mup Bacteroidetes Others 570
G_00429 K06909 mup Bacteroidetes Others 570
G_02472 K00612 cpi Bacteroidetes Others 876
G_02472 K00612 cpi Bacteroidetes Others 876
G_01411 K12410 mup Bacteroidetes Others 401
G_01411 K12410 mup Bacteroidetes Others 401
G_01323 K03704 mup Bacteroidetes Others 119
G_01323 K03704 mup Bacteroidetes Others 119
G_02018 K03501 mup Bacteroidetes Others 378
G_02018 K03501 mup Bacteroidetes Others 378
G_03542 K02838 mup Bacteroidetes Others 306
G_03542 K02838 mup Bacteroidetes Others 306
G_00065 K01190 mup Bacteroidetes Others 1282
G_00065 K01190 mup Bacteroidetes Others 1282
G_02292 K00661 meb Euryarchaeota Others 87
G_02292 K00661 meb Euryarchaeota Others 87
G_01965 K03544 mup Bacteroidetes Others 779
G_01965 K03544 mup Bacteroidetes Others 779
G_02544 K02965 mup Bacteroidetes Others 180
G_02544 K02965 mup Bacteroidetes Others 180
G_03983 K02825 mup Bacteroidetes Others 283
G_03983 K02825 mup Bacteroidetes Others 283
G_01986 K01867 mup Bacteroidetes Others 590
G_01986 K01867 mup Bacteroidetes Others 590
G_02742 K18336 trs Acidobacteria Others 319
G_02742 K18336 trs Acidobacteria Others 319
G_03630 K18954 pfv Gammaproteobacteria Others 62
G_03061 K02017 mup Bacteroidetes Others 296
G_03061 K02017 mup Bacteroidetes Others 296
G_03974 K03696 mup Bacteroidetes Others 1570
G_03974 K03696 mup Bacteroidetes Others 1570
G_03822 K01870 mup Bacteroidetes Others 2070
G_03822 K01870 mup Bacteroidetes Others 2070
G_03697 K01875 mup Bacteroidetes Others 786
G_03697 K01875 mup Bacteroidetes Others 786
G_03774 K11942 mup Bacteroidetes Others 1185
G_03774 K11942 mup Bacteroidetes Others 1185
G_02670 K09811 mup Bacteroidetes Others 474
G_02670 K09811 mup Bacteroidetes Others 474
G_02963 K01679 mup Bacteroidetes Others 886
G_02963 K01679 mup Bacteroidetes Others 886
G_02089 K01890 mup Bacteroidetes Others 1372
G_02089 K01890 mup Bacteroidetes Others 1372
G_00891 K00332 mup Bacteroidetes Others 284
G_00891 K00332 mup Bacteroidetes Others 284
G_01557 K03168 mup Bacteroidetes Others 1402
G_01557 K03168 mup Bacteroidetes Others 1402
G_01232 K00104 mup Bacteroidetes Others 770
G_01232 K00104 mup Bacteroidetes Others 770
G_01936 K00013 mup Bacteroidetes Others 779
G_01936 K00013 mup Bacteroidetes Others 779
G_03318 K02564 mup Bacteroidetes Others 1149
G_03318 K02564 mup Bacteroidetes Others 1149
G_00050 K08995 aba Acidobacteria Others 125
G_00050 K08995 aba Acidobacteria Others 125
G_02761 K00184 mup Bacteroidetes Others 1721
G_02761 K00184 mup Bacteroidetes Others 1721
G_01923 K09780 mup Bacteroidetes Others 171
G_01923 K09780 mup Bacteroidetes Others 171
G_00488 K01665 mup Bacteroidetes Others 636
G_00488 K01665 mup Bacteroidetes Others 636
G_01513 K11752 mup Bacteroidetes Others 568
G_01513 K11752 mup Bacteroidetes Others 568
G_00490 K03711 mup Bacteroidetes Others 325
G_00490 K03711 mup Bacteroidetes Others 325
G_03354 K03929 mup Bacteroidetes Others 714
G_03354 K03929 mup Bacteroidetes Others 714
G_02679 K00057 mup Bacteroidetes Others 615
G_02679 K00057 mup Bacteroidetes Others 615
G_03251 K02528 mup Bacteroidetes Others 466
G_03251 K02528 mup Bacteroidetes Others 466
G_01368 K04082 mup Bacteroidetes Others 275
G_01368 K04082 mup Bacteroidetes Others 275
G_03349 K01807 mup Bacteroidetes Others 372
G_03349 K01807 mup Bacteroidetes Others 372
G_02821 K00128 mup Bacteroidetes Others 936
G_02821 K00128 mup Bacteroidetes Others 936
G_01192 K08999 mup Bacteroidetes Others 375
G_01192 K08999 mup Bacteroidetes Others 375
G_01506 K03316 ndk Actinobacteria Others 100
G_01506 K03316 ndk Actinobacteria Others 100
G_02256 K03925 mup Bacteroidetes Others 274
G_02256 K03925 mup Bacteroidetes Others 274
G_02611 K02067 mup Bacteroidetes Others 532
G_02611 K02067 mup Bacteroidetes Others 532
G_02948 K04564 mup Bacteroidetes Others 392
G_02948 K04564 mup Bacteroidetes Others 392
G_01224 K07152 mup Bacteroidetes Others 303
G_01224 K07152 mup Bacteroidetes Others 303
G_03374 K03797 mup Bacteroidetes Others 987
G_03374 K03797 mup Bacteroidetes Others 987
G_02841 K03286 mup Bacteroidetes Others 570
G_02841 K03286 mup Bacteroidetes Others 570
G_03578 K20810 mup Bacteroidetes Others 625
G_03578 K20810 mup Bacteroidetes Others 625
G_03944 K04755 mup Bacteroidetes Others 209
G_03944 K04755 mup Bacteroidetes Others 209
G_03278 K00239 mup Bacteroidetes Others 1225
G_03278 K00239 mup Bacteroidetes Others 1225
G_02687 K03088 mup Bacteroidetes Others 395
G_02687 K03088 mup Bacteroidetes Others 395
G_03380 K04756 mup Bacteroidetes Others 317
G_03380 K04756 mup Bacteroidetes Others 317
G_01019 K06147 phe Bacteroidetes Others 1102
G_01019 K06147 phe Bacteroidetes Others 1102
G_00864 K04487 mup Bacteroidetes Others 784
G_00864 K04487 mup Bacteroidetes Others 784
G_00604 K05522 mup Bacteroidetes Others 391
G_00604 K05522 mup Bacteroidetes Others 391
G_03709 K02428 mup Bacteroidetes Others 306
G_03709 K02428 mup Bacteroidetes Others 306
G_03788 K09776 mup Bacteroidetes Others 318
G_03788 K09776 mup Bacteroidetes Others 318
G_00911 K00330 mup Bacteroidetes Others 268
G_00911 K00330 mup Bacteroidetes Others 268
G_03290 K08301 mup Bacteroidetes Others 967
G_03290 K08301 mup Bacteroidetes Others 967
G_01302 K01887 mup Bacteroidetes Others 1042
G_01302 K01887 mup Bacteroidetes Others 1042
G_03007 K01515 bfr Bacteroidetes Others 119
G_03007 K01515 bfr Bacteroidetes Others 119
G_03022 K00338 mup Bacteroidetes Others 327
G_03022 K00338 mup Bacteroidetes Others 327
G_02276 K01953 mup Bacteroidetes Others 750
G_02276 K01953 mup Bacteroidetes Others 750
G_01374 K07501 mup Bacteroidetes Others 415
G_01374 K07501 mup Bacteroidetes Others 415
G_01995 K01937 mup Bacteroidetes Others 1059
G_01995 K01937 mup Bacteroidetes Others 1059
G_00454 K06142 mup Bacteroidetes Others 227
G_00454 K06142 mup Bacteroidetes Others 227
G_02625 K03526 mup Bacteroidetes Others 1118
G_02625 K03526 mup Bacteroidetes Others 1118
G_00847 K03719 psn Bacteroidetes Others 244
G_00847 K03719 psn Bacteroidetes Others 244
G_01053 K01144 psn Bacteroidetes Others 585
G_01053 K01144 psn Bacteroidetes Others 585
G_03224 K01733 mup Bacteroidetes Others 756
G_03224 K01733 mup Bacteroidetes Others 756
G_03836 K03701 mup Bacteroidetes Others 285
G_03836 K03701 mup Bacteroidetes Others 285
G_02518 K19302 mup Bacteroidetes Others 248
G_02518 K19302 mup Bacteroidetes Others 248
G_00044 K02108 psn Bacteroidetes Others 327
G_00044 K02108 psn Bacteroidetes Others 327
G_01030 K00817 mup Bacteroidetes Others 567
