type	number	misc	seq_id	start	finish
UN	776	.	G_contig000001	1	4
UN	777	.	G_contig000001	298	298
UN	778	.	G_contig000002	1	2
UN	779	.	G_contig000002	7790	7795
UN	780	.	G_contig000003	1	1
UN	781	.	G_contig000003	226173	226205
UN	782	.	G_contig000003	321603	321641
UN	783	.	G_contig000003	440788	440793
UN	784	.	G_contig000003	479685	479687
UN	785	.	G_contig000004	1	6
UN	786	.	G_contig000004	9	9
UN	787	.	G_contig000004	11	11
UN	788	.	G_contig000006	1	1
UN	789	.	G_contig000006	12887	12945
UN	790	.	G_contig000006	66939	66939
UN	791	.	G_contig000006	66941	66941
UN	792	.	G_contig000006	66943	66956
UN	793	.	G_contig000006	66959	66960
UN	794	.	G_contig000006	104921	104985
UN	795	.	G_contig000006	186773	186816
UN	796	.	G_contig000006	193537	193540
UN	797	.	G_contig000007	1	11
UN	798	.	G_contig000007	16084	16092
UN	799	.	G_contig000008	1	2
UN	800	.	G_contig000008	62142	62142
UN	801	.	G_contig000009	1	10
UN	802	.	G_contig000009	142	150
UN	803	.	G_contig000009	17670	17725
UN	804	.	G_contig000009	26044	26046
UN	805	.	G_contig000009	26049	26051
UN	806	.	G_contig000009	103847	103890
UN	807	.	G_contig000009	146800	146825
UN	808	.	G_contig000009	153453	153453
UN	809	.	G_contig000009	162137	162211
UN	810	.	G_contig000009	179504	179519
UN	811	.	G_contig000009	199785	199785
UN	812	.	G_contig000009	200292	200344
UN	813	.	G_contig000010	9733	9793
UN	814	.	G_contig000010	9796	9797
UN	815	.	G_contig000010	9799	9800
UN	816	.	G_contig000010	9803	9803
UN	817	.	G_contig000010	24674	24709
UN	818	.	G_contig000010	39140	39149
UN	819	.	G_contig000010	63075	63075
UN	820	.	G_contig000010	73453	73482
UN	821	.	G_contig000010	73730	73737
UN	822	.	G_contig000010	83033	83079
UN	823	.	G_contig000010	158990	158990
UN	824	.	G_contig000010	158995	158995
UN	825	.	G_contig000010	174714	174714
UN	826	.	G_contig000010	174727	174727
UN	827	.	G_contig000010	213322	213329
UN	828	.	G_contig000010	213332	213332
UN	829	.	G_contig000010	224747	224747
UN	830	.	G_contig000010	224749	224751
UN	831	.	G_contig000010	228948	228948
UN	832	.	G_contig000010	338734	338737
UN	833	.	G_contig000010	339047	339076
UN	834	.	G_contig000010	339774	339778
